Matrix size,Eigenvalue 1,Adjusted Eigenvalue 1,Log(Adjusted Eigenvalue 1),Eigenvalue 2,Adjusted Eigenvalue 2,Log(Adjusted Eigenvalue 2),Eigenvalue 3,Adjusted Eigenvalue 3,Log(Adjusted Eigenvalue 3),Eigenvalue 4,Adjusted Eigenvalue 4,Log(Adjusted Eigenvalue 4)
1,0.536844929114528343918880273712156099,0.036844929114528343918880273712156099,-1.433622274673794105837032475392334163188934326171875,,,,,,,,,
2,0.503227070346064374012295817994211804,0.003227070346064374012295817994211804,-2.491191567420826036283187931985594332218170166015625,1.90850862679815670935783502815494480,0.062277689146809069697701323226295256,-1.2056675105774001810488016417366452515125274658203125,,,,,,
3,0.500966546529793417523068733672653522,0.000966546529793417523068733672653522,-3.01477723408641917757222472573630511760711669921875,1.85538194129764085294856945985748542,0.009151003646293213288435754928835876,-2.0385312716009451605714275501668453216552734375,4.01161811812140808117963658682167033,0.075280508415665347613634027759182606,-1.12331745651262249197088749497197568416595458984375,,,
4,0.500417399452992985002890011285029941,0.000417399452992985002890011285029941,-3.3794481244183458557017729617655277252197265625,1.84955906520274977931465281201352159,0.003328127551402139654519107084872046,-2.477800037607099881142858066596090793609619140625,3.95094425990918447415835376319957804,0.014606650203441740592351204137090316,-1.8354493709900765452402993105351924896240234375,6.88109085947779325665017258155866330,0.081425581661907964518016010428053026,-1.08923913037862885033746351837180554866790771484375
5,0.500217960522471971158284126805621138,0.000217960522471971158284126805621138,-3.6616221597217641914312480366788804531097412109375,1.84784587546169504262572145816733936,0.001614937810347402965587753238689816,-2.79184419726042332143833846203051507472991943359375,3.94230582142403574391089585125190080,0.005968211718293010344893292189413076,-2.22415577895773086680719643482007086277008056640625,6.81848906126662115460458903745300180,0.018823783450735862472432466322391526,-1.72529308193761465872739790938794612884521484375
6,0.500128104671212273503428080419334000,0.000128104671212273503428080419334000,-3.892435033840584868158885001321323215961456298828125,1.84714396797449172464550712735039655,0.000913030323144084985373422421747006,-3.03951479863715423590520003926940262317657470703125,3.93945858107176105691470788868530686,0.003120971366018323348705329622819136,-2.50571021583876341054519798490218818187713623046875,6.80798546585435699684889291430279881,0.008320188038471704716736343172188536,-2.079866858427085407612366907414980232715606689453125
7,0.500081664405705688082489478314484013,0.000081664405705688082489478314484013,-4.08796719406700059806780700455419719219207763671875,1.84679963492977472800226136227299362,0.000568697278427088342127657344344076,-3.245118850114151687336061513633467257022857666015625,3.93819952392861693724187090082658722,0.001861914222874203675868341764099496,-2.7300403305461333758330511045642197132110595703125,6.80425096647330733070197045903013921,0.004585688657422038569813887899528936,-2.338595434768233172206919334712438285350799560546875
8,0.500055247114567288987596029634417437,0.000055247114567288987596029634417437,-4.257690399275933401668225997127592563629150390625,1.84660993469649944981989885767433568,0.000378997045151810159765152745686136,-3.421364175993052203494926288840360939502716064453125,3.93754580194433253374296211603223170,0.001208192238589800176959556969743976,-2.917863958499325338635799198527820408344268798828125,6.80250991863628076854034623820937334,0.002844640820395476408189667078763066,-2.545972562157448493280753609724342823028564453125
9,0.500039112799761668449755917251697326,0.000039112799761668449755917251697326,-4.40768109538708330319423112086951732635498046875,1.84649650245800814896819297263815928,0.000265564806660509308059267709509736,-3.575829479326051885124115869984962046146392822265625,3.93716930083644486087918553791643270,0.000831691130702127313182978853944976,-3.080037929883287173282724324963055551052093505859375,6.80156847338828541477058003366224807,0.001903195572400122638423462531637796,-2.720516581313597637148404828622005879878997802734375
10,0.500028702462125662622459941835775763,0.000028702462125662622459941835775763,-4.54208084745675844118295572116039693355560302734375,1.84642438541629276263537507763443352,0.000193447764945122975241372705783976,-3.71343628366104727689389619627036154270172119140625,3.93693594346641230466089577073652337,0.000598333760669571094893211674035646,-3.223056491627546815692539894371293485164642333984375,6.80100825712292392060932632392376587,0.001342979307038628477169752793155596,-2.87193067899783205376706973765976727008819580078125
