n,Original_Energy,Ecorr,Diff,Log_Diff
1,0.5000000000000308,0.5368947363329696,0.03689473633293883,-3.299686384914504
2,1.8462309376513153,1.8748930645683672,0.028662126917051944,-3.5521786472961927
3,3.9363376097055656,3.9562313090534413,0.01989369934787577,-3.917352213069653
4,6.799665277815471,6.814045089035107,0.014379811219636274,-4.241930054756197
5,10.448046575287828,10.458920598800912,0.010874023513084197,-4.521378497939227
6,14.887065996873584,14.895599421160076,0.008533424286492064,-4.763764557648243
7,20.119720824009175,20.126617119065784,0.006896295056609603,-4.976770959904744
8,26.147783843070638,26.15348921955539,0.0057053764847516675,-5.166346305776825
9,32.97238355306372,32.977194058854494,0.004810505790771913,-5.336953046386127
10,40.594280208136695,40.5983999908235,0.0041197826868071274,-5.491954862932417
