Matrix size,Eigenvalue 1,Adjusted Eigenvalue 1,Log(Adjusted Eigenvalue 1),Eigenvalue 2,Adjusted Eigenvalue 2,Log(Adjusted Eigenvalue 2),Eigenvalue 3,Adjusted Eigenvalue 3,Log(Adjusted Eigenvalue 3),Eigenvalue 4,Adjusted Eigenvalue 4,Log(Adjusted Eigenvalue 4)
1,0.536844929114528343918880273712156099,-1.309386008536786956081119726287843901,0.1170676959507770675816828997994889505207538604736328125,,,,,,,,,
2,0.503227070346064374012295817994211804,-1.343003867305250925987704182005788196,0.128077263262097396090410938995773904025554656982421875,1.90850862679815670935783502815494480,-2.02782898290740889064216497184505520,0.30703132595153836970069960443652234971523284912109375,,,,,,
3,0.500966546529793417523068733672653522,-1.345264391121521882476931266327346478,0.128807646658866181699210073929862119257450103759765625,1.85538194129764085294856945985748542,-2.08095566840792474705143054014251458,0.31826282832749031026509101138799451291561126708984375,4.01161811812140808117963658682167033,-2.78804715969406291882036341317832967,0.445300115560003206827133226397563703358173370361328125,,,
4,0.500417399452992985002890011285029941,-1.345813538198322314997109988714970059,0.1289848927697422042992769775082706473767757415771484375,1.84955906520274977931465281201352159,-2.08677854450281582068534718798647841,0.31947636281555891191175078347441740334033966064453125,3.95094425990918447415835376319957804,-2.84872101790628652584164623680042196,0.4546499198198841185103447060100734233856201171875,6.88109085947779325665017258155866330,-3.56695571581003474334982741844133670,0.5522977175528975823937116729211993515491485595703125
5,0.500217960522471971158284126805621138,-1.346012977128843328841715873194378862,0.1290492470114938949876659535220824182033538818359375,1.84784587546169504262572145816733936,-2.08849173424387055737427854183266064,0.319832760769739599115979444832191802561283111572265625,3.94230582142403574391089585125190080,-2.85735945639143525608910414874809920,0.45596487815227160211861701100133359432220458984375,6.81848906126662115460458903745300180,-3.62955751402120684539541096254699820,0.5598536826305247071644544121227227151393890380859375
6,0.500128104671212273503428080419334000,-1.346102832980103026496571919580666000,0.1290782382608574863080974637341569177806377410888671875,1.84714396797449172464550712735039655,-2.08919364173107387535449287264960345,0.31997869543160784022717280095093883574008941650390625,3.93945858107176105691470788868530686,-2.86020669674370994308529211131469314,0.456397419147073046818974262350820936262607574462890625,6.80798546585435699684889291430279881,-3.64006110943347100315110708569720119,0.5611086746564666327685699798166751861572265625
7,0.500081664405705688082489478314484013,-1.346149273245609611917510521685515987,0.129093221070976149622566708785598166286945343017578125,1.84679963492977472800226136227299362,-2.08953797477579087199773863772700638,0.320050268317985719956908496897085569798946380615234375,3.93819952392861693724187090082658722,-2.86146575388685406275812909917341278,0.456588552625339094692691332966205663979053497314453125,6.80425096647330733070197045903013921,-3.64379560881452066929802954096986079,0.561554008132593818203304181224666535854339599609375
8,0.500055247114567288987596029634417437,-1.346175690536748011012403970365582563,0.12910174372995897318361357974936254322528839111328125,1.84660993469649944981989885767433568,-2.08972767500906615018010114232566432,0.32008969427052746947737205118755809962749481201171875,3.93754580194433253374296211603223170,-2.86211947587113846625703788396776830,0.456687758923598419169564976982655934989452362060546875,6.80250991863628076854034623820937334,-3.64553665665154723145965376179062666,0.5617614695173112071557852686964906752109527587890625
9,0.500039112799761668449755917251697326,-1.346191824851553631550244082748302674,0.12910694884690487871381492368527688086032867431640625,1.84649650245800814896819297263815928,-2.08984110724755745103180702736184072,0.32011326751352220387758507058606483042240142822265625,3.93716930083644486087918553791643270,-2.86249597697902613912081446208356730,0.456744884980420484676955084069049917161464691162109375,6.80156847338828541477058003366224807,-3.64647810189954258522941996633775193,0.56187360984944934028106899859267286956310272216796875
10,0.500028702462125662622459941835775763,-1.346202235189189637377540058164224237,0.129110307309365623940067280273069627583026885986328125,1.84642438541629276263537507763443352,-2.08991322428927283736462492236556648,0.320128254056168959351680314284749329090118408203125,3.93693594346641230466089577073652337,-2.86272933434905869533910422926347663,0.45678028823973748639986069974838756024837493896484375,6.80100825712292392060932632392376587,-3.64703831816490407939067367607623413,0.56194032631903267915873811944038607180118560791015625
