Matrix size,Predicted Coefficient,Original Coefficient,Error,Formula
2,0.22430980852010407,0.3008143618642685,-0.2543248030780004,-108.59067 x^0.00003 + 108.81698
3,0.2231412794738219,0.2667118180618078,-0.16336185964541283,-108.59067 x^0.00003 + 108.81698
4,0.2223121872954863,0.2514843934063438,-0.116000065513893,-108.59067 x^0.00003 + 108.81698
5,0.22166908908117477,0.2428571613373241,-0.08724499676877753,-108.59067 x^0.00003 + 108.81698
6,0.22114363675345317,0.2372921729089967,-0.0680533873392302,-108.59067 x^0.00003 + 108.81698
7,0.22069937115701066,0.2333951407922438,-0.05439603237727324,-108.59067 x^0.00003 + 108.81698
8,0.22031452932355933,0.2305067744333118,-0.04421668358689043,-108.59067 x^0.00003 + 108.81698
9,0.21997507363704472,0.2282751664112051,-0.03636003383394299,-108.59067 x^0.00003 + 108.81698
10,0.21967141927908074,0.2264954067324395,-0.03012859091407532,-108.59067 x^0.00003 + 108.81698
11,0.21939672976810698,0.2250400784598464,-0.0250770828483618,-108.59067 x^0.00003 + 108.81698
12,0.21914595728540576,0.2238257664546558,-0.02090826826319885,-108.59067 x^0.00003 + 108.81698
13,0.2189152684523208,0.2227955538922404,-0.017416350425899393,-108.59067 x^0.00003 + 108.81698
14,0.2187016835164144,0.2219092559750989,-0.014454432937418485,-108.59067 x^0.00003 + 108.81698
15,0.21850284032065304,0.2211376813294991,-0.011914934591902957,-108.59067 x^0.00003 + 108.81698
16,0.2183168346035984,0.2204591026873837,-0.009717303834004416,-108.59067 x^0.00003 + 108.81698
17,0.21814210879981033,0.2198570064550102,-0.007800059151404769,-108.59067 x^0.00003 + 108.81698
18,0.21797737267262107,0.2193186141720335,-0.006115493226490805,-108.59067 x^0.00003 + 108.81698
19,0.21782154543413412,0.2188338764593741,-0.00462602519143291,-108.59067 x^0.00003 + 108.81698
20,0.21767371272878222,0.2183947792437655,-0.0033016655319330623,-108.59067 x^0.00003 + 108.81698
21,0.2175330941229845,0.2179948504156159,-0.0021181981673009343,-108.59067 x^0.00003 + 108.81698
22,0.21739901816472695,0.2176288041193576,-0.0010558618633249005,-108.59067 x^0.00003 + 108.81698
23,0.2172709029916291,0.2172922793314981,-9.837597513715611e-05,-108.59067 x^0.00003 + 108.81698
24,0.2171482410689265,0.2169816446868317,0.0007677902079470311,-108.59067 x^0.00003 + 108.81698
25,0.21703058704538591,0.2166938510357501,0.001553971227269709,-108.59067 x^0.00003 + 108.81698
26,0.2169175479921961,0.2164263185614407,0.0022697305670610094,-108.59067 x^0.00003 + 108.81698
27,0.21680877548513422,0.2161768489236543,0.0029231925834162574,-108.59067 x^0.00003 + 108.81698
28,0.2167039591272868,0.2159435569028834,0.0035213008218873726,-108.59067 x^0.00003 + 108.81698
29,0.21660282120906516,0.2157248159578808,0.004070024337653357,-108.59067 x^0.00003 + 108.81698
30,0.21650511227367986,0.2155192149434085,0.0045745217220201475,-108.59067 x^0.00003 + 108.81698
31,0.21641060741015394,0.2153255239313545,0.0050392701199015975,-108.59067 x^0.00003 + 108.81698
32,0.21631910313496405,0.215142664327814,0.005468179967119386,-108.59067 x^0.00003 + 108.81698
33,0.2162304147537526,0.2149696875343689,0.005864674381973656,-108.59067 x^0.00003 + 108.81698
34,0.2161443741170075,0.2148057548904398,0.006231766124005607,-108.59067 x^0.00003 + 108.81698
35,0.2160608277010141,0.2146501224017276,0.006572115047045241,-108.59067 x^0.00003 + 108.81698
36,0.2159796349593961,0.2145021273912142,0.006888078855680499,-108.59067 x^0.00003 + 108.81698
37,0.21590066690050946,0.2143611777281415,0.007181753658399745,-108.59067 x^0.00003 + 108.81698
38,0.2158238048543808,0.2142267426129249,0.007455008753699539,-108.59067 x^0.00003 + 108.81698
39,0.21574893940027096,0.2140983441271848,0.00770951909887559,-108.59067 x^0.00003 + 108.81698
40,0.21567596942955447,0.2139755519943311,0.007946783730079671,-108.59067 x^0.00003 + 108.81698
41,0.2156048013247016,0.2138579765066187,0.00816815368132342,-108.59067 x^0.00003 + 108.81698
42,0.2155353482370117,0.213745264354646,0.008374846983255732,-108.59067 x^0.00003 + 108.81698
43,0.21546752944936998,0.2136370943349333,0.008567964847747727,-108.59067 x^0.00003 + 108.81698
44,0.21540126981236085,0.2135331737450686,0.008748505136361199,-108.59067 x^0.00003 + 108.81698
45,0.21533649924369058,0.2134332353120499,0.008917373757924833,-108.59067 x^0.00003 + 108.81698
46,0.21527315228250643,0.2133370339989243,0.009075397024559173,-108.59067 x^0.00003 + 108.81698
47,0.2152111676919759,0.2132443456262724,0.009223325757722629,-108.59067 x^0.00003 + 108.81698
48,0.21515048810336168,0.2131549637943084,0.009361847707093206,-108.59067 x^0.00003 + 108.81698
49,0.21509105969703057,0.2130686985231001,0.009491592091886856,-108.59067 x^0.00003 + 108.81698
50,0.21503283191552214,0.2129853745985939,0.009613135741301522,-108.59067 x^0.00003 + 108.81698
