Matrix size,Predicted Coefficient,Original Coefficient,Error,Formula
2,0.20839744231749924,0.3008143618642685,-0.307222431050247,0.20840 * exp(-((x)^2)(2 * 35091.16047^-2))
3,0.2083974418944052,0.2667118180618078,-0.21864189067875814,0.20840 * exp(-((x)^2)(2 * 35091.16047^-2))
4,0.20839744130207352,0.2514843934063438,-0.17133052083534742,0.20840 * exp(-((x)^2)(2 * 35091.16047^-2))
5,0.20839744054050421,0.2428571613373241,-0.14189295718958014,0.20840 * exp(-((x)^2)(2 * 35091.16047^-2))
6,0.20839743960969728,0.2372921729089967,-0.12176858994156865,0.20840 * exp(-((x)^2)(2 * 35091.16047^-2))
7,0.20839743850965273,0.2333951407922438,-0.1071046389300912,0.20840 * exp(-((x)^2)(2 * 35091.16047^-2))
8,0.20839743724037055,0.2305067744333118,-0.09591621438153321,0.20840 * exp(-((x)^2)(2 * 35091.16047^-2))
9,0.20839743580185077,0.2282751664112051,-0.0870779372187487,0.20840 * exp(-((x)^2)(2 * 35091.16047^-2))
10,0.2083974341940934,0.2264954067324395,-0.07990436892049364,0.20840 * exp(-((x)^2)(2 * 35091.16047^-2))
11,0.2083974324170984,0.2250400784598464,-0.07395414255384518,0.20840 * exp(-((x)^2)(2 * 35091.16047^-2))
12,0.20839743047086584,0.2238257664546558,-0.06893011572425704,0.20840 * exp(-((x)^2)(2 * 35091.16047^-2))
13,0.20839742835539563,0.2227955538922404,-0.0646248333295229,0.20840 * exp(-((x)^2)(2 * 35091.16047^-2))
14,0.20839742607068784,0.2219092559750989,-0.06088898746038449,0.20840 * exp(-((x)^2)(2 * 35091.16047^-2))
15,0.2083974236167425,0.2211376813294991,-0.057612332896687095,0.20840 * exp(-((x)^2)(2 * 35091.16047^-2))
16,0.20839742099355954,0.2204591026873837,-0.05471165194266399,0.20840 * exp(-((x)^2)(2 * 35091.16047^-2))
17,0.20839741820113902,0.2198570064550102,-0.05212291588358439,0.20840 * exp(-((x)^2)(2 * 35091.16047^-2))
18,0.20839741523948094,0.2193186141720335,-0.04979604204495825,0.20840 * exp(-((x)^2)(2 * 35091.16047^-2))
19,0.2083974121085853,0.2188338764593741,-0.047691264806188696,0.20840 * exp(-((x)^2)(2 * 35091.16047^-2))
20,0.20839740880845212,0.2183947792437655,-0.045776599925745565,0.20840 * exp(-((x)^2)(2 * 35091.16047^-2))
21,0.20839740533908138,0.2179948504156159,-0.04402601739553296,0.20840 * exp(-((x)^2)(2 * 35091.16047^-2))
22,0.2083974017004731,0.2176288041193576,-0.04241810938694291,0.20840 * exp(-((x)^2)(2 * 35091.16047^-2))
23,0.20839739789262732,0.2172922793314981,-0.040935101174491735,0.20840 * exp(-((x)^2)(2 * 35091.16047^-2))
24,0.20839739391554402,0.2169816446868317,-0.03956210574252622,0.20840 * exp(-((x)^2)(2 * 35091.16047^-2))
25,0.2083973897692232,0.2166938510357501,-0.03828655601841762,0.20840 * exp(-((x)^2)(2 * 35091.16047^-2))
26,0.20839738545366487,0.2164263185614407,-0.03709776685729892,0.20840 * exp(-((x)^2)(2 * 35091.16047^-2))
