Matrix size,Predicted Coefficient,Original Coefficient,Error,Formula
2,0.2775490512698827,0.3008143618642685,-0.07734108986752243,0.25400 * exp(-x^0.36775) + 0.20765
3,0.2644522065313311,0.2667118180618078,-0.008472108761048864,0.25400 * exp(-x^0.36775) + 0.20765
4,0.25570934648074095,0.2514843934063438,0.016800060700269896,0.25400 * exp(-x^0.36775) + 0.20765
5,0.24933138188019902,0.2428571613373241,0.02665855314796479,0.25400 * exp(-x^0.36775) + 0.20765
6,0.2444216849297558,0.2372921729089967,0.030045289456274285,0.25400 * exp(-x^0.36775) + 0.20765
7,0.2405019325142944,0.2333951407922438,0.03044961303790246,0.25400 * exp(-x^0.36775) + 0.20765
8,0.23728839884028582,0.2305067744333118,0.029420499348213405,0.25400 * exp(-x^0.36775) + 0.20765
9,0.2345999191573498,0.2282751664112051,0.02770670522588319,0.25400 * exp(-x^0.36775) + 0.20765
10,0.23231434460707914,0.2264954067324395,0.025691195943384336,0.25400 * exp(-x^0.36775) + 0.20765
11,0.23034578549440116,0.2250400784598464,0.02357672051514797,0.25400 * exp(-x^0.36775) + 0.20765
12,0.2286317940774489,0.2238257664546558,0.021472182130410584,0.25400 * exp(-x^0.36775) + 0.20765
13,0.22712570974982987,0.2227955538922404,0.019435557765590968,0.25400 * exp(-x^0.36775) + 0.20765
14,0.2257918661303562,0.2219092559750989,0.017496386701837237,0.25400 * exp(-x^0.36775) + 0.20765
15,0.22460247082525775,0.2211376813294991,0.015668019466099286,0.25400 * exp(-x^0.36775) + 0.20765
16,0.22353550654764884,0.2204591026873837,0.013954533166305938,0.25400 * exp(-x^0.36775) + 0.20765
17,0.22257327933669843,0.2198570064550102,0.012354725125596936,0.25400 * exp(-x^0.36775) + 0.20765
18,0.22170138990443936,0.2193186141720335,0.010864448243033365,0.25400 * exp(-x^0.36775) + 0.20765
19,0.22090798932155684,0.2188338764593741,0.009478024589889236,0.25400 * exp(-x^0.36775) + 0.20765
20,0.22018323039738527,0.2183947792437655,0.008189074664754537,0.25400 * exp(-x^0.36775) + 0.20765
21,0.21951885661458814,0.2179948504156159,0.00699101926521049,0.25400 * exp(-x^0.36775) + 0.20765
22,0.21890788958153243,0.2176288041193576,0.005877372103158415,0.25400 * exp(-x^0.36775) + 0.20765
23,0.21834438823798957,0.2172922793314981,0.004841906531277986,0.25400 * exp(-x^0.36775) + 0.20765
24,0.2178232611169137,0.2169816446868317,0.003878744818699698,0.25400 * exp(-x^0.36775) + 0.20765
25,0.2173401183778856,0.2166938510357501,0.0029823981577995922,0.25400 * exp(-x^0.36775) + 0.20765
26,0.2168911540277706,0.2164263185614407,0.002147776986734297,0.25400 * exp(-x^0.36775) + 0.20765
27,0.21647305131627045,0.2161768489236543,0.0013701855406392984,0.25400 * exp(-x^0.36775) + 0.20765
28,0.21608290610987524,0.2159435569028834,0.0006453038423115393,0.25400 * exp(-x^0.36775) + 0.20765
29,0.21571816434782298,0.2157248159578808,-3.083377324148432e-05,0.25400 * exp(-x^0.36775) + 0.20765
30,0.21537657062668392,0.2155192149434085,-0.0006618635686940683,0.25400 * exp(-x^0.36775) + 0.20765
31,0.21505612565241553,0.2153255239313545,-0.0012511209726575232,0.25400 * exp(-x^0.36775) + 0.20765
32,0.21475505081254248,0.215142664327814,-0.0018016580601647658,0.25400 * exp(-x^0.36775) + 0.20765
33,0.21447175850643607,0.2149696875343689,-0.0023162755346761293,0.25400 * exp(-x^0.36775) + 0.20765
34,0.21420482716341163,0.2148057548904398,-0.002797540165228162,0.25400 * exp(-x^0.36775) + 0.20765
35,0.21395298010124597,0.2146501224017276,-0.003247807607474314,0.25400 * exp(-x^0.36775) + 0.20765
36,0.21371506754942013,0.2145021273912142,-0.0036692402605341015,0.25400 * exp(-x^0.36775) + 0.20765
37,0.21349005129471485,0.2143611777281415,-0.004063825561415048,0.25400 * exp(-x^0.36775) + 0.20765
38,0.21327699151107105,0.2142267426129249,-0.004433391883150242,0.25400 * exp(-x^0.36775) + 0.20765
