Matrix size,Predicted Coefficient,Original Coefficient,Error,Formula
2,0.22435673801489267,0.3008143618642685,-0.2541687949190224,0.61532 * exp(-((x)^0.01279)
3,0.22318323121330128,0.2667118180618078,-0.16320456725475596,0.61532 * exp(-((x)^0.01279)
4,0.22235066521130648,0.2514843934063438,-0.11584706231835074,0.61532 * exp(-((x)^0.01279)
5,0.2217049139781105,0.2428571613373241,-0.08709748249850252,0.61532 * exp(-((x)^0.01279)
6,0.22117732499873843,0.2372921729089967,-0.0679114178639109,0.61532 * exp(-((x)^0.01279)
7,0.2207312769926712,0.2333951407922438,-0.054259329292743554,0.61532 * exp(-((x)^0.01279)
8,0.22034491047469418,0.2305067744333118,-0.044084882032643095,0.61532 * exp(-((x)^0.01279)
9,0.22000412576994882,0.2282751664112051,-0.036232765794406124,0.61532 * exp(-((x)^0.01279)
10,0.21969929583159442,0.2264954067324395,-0.030005513131104583,0.61532 * exp(-((x)^0.01279)
11,0.2194235541653322,0.2250400784598464,-0.024957884537515053,0.61532 * exp(-((x)^0.01279)
12,0.2191718308721141,0.2238257664546558,-0.0207926712650598,0.61532 * exp(-((x)^0.01279)
13,0.21894027586612513,0.2227955538922404,-0.01730410665187668,0.61532 * exp(-((x)^0.01279)
14,0.2187258964550464,0.2219092559750989,-0.014345321046048265,0.61532 * exp(-((x)^0.01279)
15,0.2185263202607111,0.2211376813294991,-0.011808756667286544,0.61532 * exp(-((x)^0.01279)
16,0.21833963481114388,0.2204591026873837,-0.009613882350075938,0.61532 * exp(-((x)^0.01279)
17,0.21816427584864861,0.2198570064550102,-0.007699234305311814,0.61532 * exp(-((x)^0.01279)
18,0.21799894761202077,0.2193186141720335,-0.006017120639735492,0.61532 * exp(-((x)^0.01279)
19,0.21784256470134397,0.2188338764593741,-0.004529973942193395,0.61532 * exp(-((x)^0.01279)
20,0.21769420887228055,0.2183947792437655,-0.003207816477622767,0.61532 * exp(-((x)^0.01279)
21,0.21755309638299203,0.2179948504156159,-0.0020264425135806774,0.61532 * exp(-((x)^0.01279)
22,0.217418552944358,0.2176288041193576,-0.0009660999418270084,0.61532 * exp(-((x)^0.01279)
23,0.21728999424319062,0.2172922793314981,-1.0516196500497234e-05,0.61532 * exp(-((x)^0.01279)
24,0.21716691061378815,0.2169816446868317,0.0008538322549072723,0.61532 * exp(-((x)^0.01279)
25,0.217048854840755,0.2166938510357501,0.0016382735518708745,0.61532 * exp(-((x)^0.01279)
26,0.21693543235554918,0.2164263185614407,0.002352365449324722,0.61532 * exp(-((x)^0.01279)
27,0.21682629328425948,0.2161768489236543,0.0030042271586378034,0.61532 * exp(-((x)^0.01279)
28,0.2167211259423466,0.2159435569028834,0.003600797590885814,0.61532 * exp(-((x)^0.01279)
29,0.21661965147147058,0.2157248159578808,0.0041480416131841995,0.61532 * exp(-((x)^0.01279)
30,0.21652161938593686,0.2155192149434085,0.004651114021511135,0.61532 * exp(-((x)^0.01279)
31,0.21642680384968907,0.2153255239313545,0.005114488511290674,0.61532 * exp(-((x)^0.01279)
32,0.2163350005446033,0.215142664327814,0.00554207237562387,0.61532 * exp(-((x)^0.01279)
33,0.2162460240208497,0.2149696875343689,0.005937285861648429,0.61532 * exp(-((x)^0.01279)
34,0.21615970544292998,0.2148057548904398,0.006303139099698508,0.61532 * exp(-((x)^0.01279)
35,0.21607589066253813,0.2146501224017276,0.0066422895307841606,0.61532 * exp(-((x)^0.01279)
36,0.21599443856297715,0.2145021273912142,0.006957092640117493,0.61532 * exp(-((x)^0.01279)
37,0.2159152196304691,0.2143611777281415,0.007249642490294975,0.61532 * exp(-((x)^0.01279)
38,0.21583811471603934,0.2142267426129249,0.0075218064909194715,0.61532 * exp(-((x)^0.01279)
39,0.21576301395825967,0.2140983441271848,0.007775257851064876,0.61532 * exp(-((x)^0.01279)
40,0.21568981584240665,0.2139755519943311,0.00801149398656985,0.61532 * exp(-((x)^0.01279)
41,0.21561842637581666,0.2138579765066187,0.008231864426826635,0.61532 * exp(-((x)^0.01279)
42,0.21554875836263124,0.213745264354646,0.008437585803037415,0.61532 * exp(-((x)^0.01279)
43,0.21548073076389573,0.2136370943349333,0.008629758023538915,0.61532 * exp(-((x)^0.01279)
44,0.2154142681312344,0.2135331737450686,0.008809377733558067,0.61532 * exp(-((x)^0.01279)
45,0.21534930010417794,0.2134332353120499,0.008977349705291416,0.61532 * exp(-((x)^0.01279)
46,0.21528576096274624,0.2133370339989243,0.00913449918794572,0.61532 * exp(-((x)^0.01279)
47,0.2152235892281555,0.2132443456262724,0.009281576006483529,0.61532 * exp(-((x)^0.01279)
48,0.21516272730556782,0.2131549637943084,0.009419266976099527,0.61532 * exp(-((x)^0.01279)
49,0.21510312116368116,0.2130686985231001,0.009548200438087831,0.61532 * exp(-((x)^0.01279)
50,0.2150447200466927,0.2129853745985939,0.009668952396285306,0.61532 * exp(-((x)^0.01279)
51,0.21498747621478811,0.2129048300789408,0.009782052079678624,0.61532 * exp(-((x)^0.01279)
52,0.2149313447098326,0.2128269151188369,0.009887986159178495,0.61532 * exp(-((x)^0.01279)
53,0.21487628314338245,0.2127514907612471,0.009987203260163339,0.61532 * exp(-((x)^0.01279)
54,0.21482225150451323,0.2126784280291683,0.01008011717601608,0.61532 * exp(-((x)^0.01279)
55,0.21476921198528326,0.2126076069840854,0.010167110348782881,0.61532 * exp(-((x)^0.01279)
56,0.21471712882192381,0.2125389159274834,0.010248536767655352,0.61532 * exp(-((x)^0.01279)
57,0.21466596815008696,0.2124722507409852,0.010324724294355127,0.61532 * exp(-((x)^0.01279)
58,0.21461569787268334,0.2124075141964397,0.010395977207291567,0.61532 * exp(-((x)^0.01279)
59,0.2145662875390178,0.212344615421698,0.010462578073419722,0.61532 * exp(-((x)^0.01279)
