Matrix size,Predicted Coefficient,Original Coefficient,Error,Formula
2,8.38905609893065,0.3008143618642685,26.8878177456032,1.00000exp(1.00000x) + 1.00000
3,21.085536923187668,0.2667118180618078,78.0573776460903,1.00000exp(1.00000x) + 1.00000
4,55.598150033144236,0.2514843934063438,220.07992181968038,1.00000exp(1.00000x) + 1.00000
5,149.4131591025766,0.2428571613373241,614.2306083123672,1.00000exp(1.00000x) + 1.00000
6,404.4287934927351,0.2372921729089967,1703.3494883745554,1.00000exp(1.00000x) + 1.00000
7,1097.6331584284585,0.2333951407922438,4701.896361520716,1.00000exp(1.00000x) + 1.00000
8,2981.9579870417283,0.2305067744333118,12935.530799898213,1.00000exp(1.00000x) + 1.00000
9,8104.083927575384,0.2282751664112051,35500.38219142521,1.00000exp(1.00000x) + 1.00000
10,22027.465794806718,0.2264954067324395,97252.47684788992,1.00000exp(1.00000x) + 1.00000
11,59875.14171519782,0.2250400784598464,266063.3478485156,1.00000exp(1.00000x) + 1.00000
12,162755.79141900392,0.2238257664546558,727152.9554941104,1.00000exp(1.00000x) + 1.00000
13,442414.3920089205,0.2227955538922404,1985740.5656638425,1.00000exp(1.00000x) + 1.00000
14,1202605.2841647768,0.2219092559750989,5419355.11869982,1.00000exp(1.00000x) + 1.00000
15,3269018.3724721107,0.2211376813294991,14782727.808670172,1.00000exp(1.00000x) + 1.00000
16,8886111.520507872,0.2204591026873837,40307300.50030861,1.00000exp(1.00000x) + 1.00000
17,24154953.7535753,0.2198570064550102,109866653.4362241,1.00000exp(1.00000x) + 1.00000
18,65659970.13733051,0.2193186141720335,299381656.07096267,1.00000exp(1.00000x) + 1.00000
19,178482301.96318725,0.2188338764593741,815606361.4651917,1.00000exp(1.00000x) + 1.00000
20,485165196.4097903,0.2183947792437655,2221505467.627819,1.00000exp(1.00000x) + 1.00000
21,1318815735.4832146,0.2179948504156159,6049756371.54201,1.00000exp(1.00000x) + 1.00000
22,3584912847.131592,0.2176288041193576,16472602794.563135,1.00000exp(1.00000x) + 1.00000
