Matrix size,Coefficient,Coefficient Difference,R square
1,1.0,0.0,-inf
2,0.3008143618642685,-0.6991856381357315,0.999505749636873
3,0.2667118180618078,-0.034102543802460694,0.9747855459720908
4,0.2514843934063438,-0.015227424655464006,0.9702805955313611
5,0.24285716133732418,-0.008627232069019636,0.9718592795799524
6,0.2372921729089967,-0.0055649884283274775,0.9749044388567835
7,0.23339514079224388,-0.0038970321167528243,0.9780307627248078
8,0.23050677443331186,-0.0028883663589320263,0.9808430483572163
9,0.22827516641120515,-0.0022316080221067014,0.9832633328749192
10,0.2264954067324395,-0.0017797596787656467,0.9853142239991982
11,0.22504007845984642,-0.0014553282725930927,0.9870454855659854
12,0.22382576645465582,-0.0012143120051905931,0.988509028288388
13,0.22279555389224048,-0.001030212562415339,0.9897510477205261
14,0.22190925597509897,-0.0008862979171415097,0.9908103164338217
15,0.22113768132949913,-0.0007715746455998485,0.9917185948827512
16,0.22045910268738378,-0.0006785786421153461,0.9925016540809929
17,0.21985700645501022,-0.0006020962323735612,0.993180358852646
18,0.21931861417203352,-0.0005383922829766963,0.9937716285362777
19,0.2188338764593741,-0.00048473771265941656,0.9942892326706644
20,0.21839477924376557,-0.00043909721560853043,0.9947444299988104
21,0.2179948504156159,-0.00039992882814968156,0.995146474462692
22,0.21762880411935762,-0.00036604629625827667,0.9955030136492351
23,0.2172922793314981,-0.00033652478785950457,0.9958204022687659
24,0.21698164468683173,-0.0003106346446663799,0.9961039492296221
25,0.21669385103575015,-0.00028779365108158594,0.9963581130332195
26,0.21642631856144076,-0.0002675324743093843,0.9965866569632831
27,0.21617684892365432,-0.00024946963778643694,0.9967927729355851
28,0.2159435569028834,-0.00023329202077093658,0.9969791808387493
29,0.21572481595788082,-0.00021874094500257124,0.99714820862881
30,0.21551921494340853,-0.00020560101447228418,0.9973018572404462
31,0.2153255239313545,-0.00019369101205402028,0.9974418534616951
32,0.21514266432781404,-0.00018285960354047504,0.9975696932191094
33,0.21496968753436896,-0.00017297679344507877,0.9976866771845436
34,0.21480575489043982,-0.00016393264392913776,0.9977939402033016
35,0.21465012240172765,-0.00015563248871217072,0.9978924757261534
36,0.21450212739121424,-0.00014799501051340758,0.9979831561821405
37,0.21436117772814156,-0.00014094966307268142,0.9980667500380762
38,0.21422674261292496,-0.00013443511521660234,0.9981439361414101
39,0.21409834412718481,-0.00012839848574014434,0.9982153158259742
40,0.2139755519943311,-0.0001227921328537107,0.9982814231677363
41,0.2138579765066187,-0.00011757548771240689,0.9983427337044742
42,0.21374526435464603,-0.00011271215197267148,0.9983996718750309
43,0.21363709433493336,-0.00010817001971266671,0.9984526173872169
44,0.21353317374506864,-0.00010392058986471997,0.9985019106860344
45,0.21343323531204994,-9.993843301869809e-05,0.9985478576637299
46,0.2133370339989243,-9.620131312562674e-05,0.9985907337287668
47,0.21324434562627245,-9.268837265186125e-05,0.9986307873309572
48,0.21315496379430843,-8.938183196402494e-05,0.99866824302379
49,0.2130686985231001,-8.62652712083356e-05,0.998703304131725
50,0.2129853745985939,-8.332392450619008e-05,0.9987361550793086
51,0.2129048300789408,-8.054451965311404e-05,0.9987669634299691
52,0.21282691511883692,-7.791496010386978e-05,0.9987958816748945
53,0.21275149076124716,-7.542435758975397e-05,0.9988230488062066
54,0.2126784280291683,-7.306273207885461e-05,0.9988485917034882
55,0.21260760698408543,-7.082104508288056e-05,0.9988726263584068
56,0.21253891592748347,-6.869105660195496e-05,0.9988952589585661
57,0.2124722507409852,-6.666518649828257e-05,0.9989165868486736
58,0.21240751419643975,-6.47365445454462e-05,0.9989366993845518
59,0.21234461542169802,-6.28987747417209e-05,0.9989556786933551
60,0.21228346935351358,-6.114606818444224e-05,0.9989736003515111
61,0.212223996307915,-5.9473045598584795e-05,0.9989905339903496
62,0.2121661214515973,-5.787485631769673e-05,0.9990065438380501
63,0.2121097746314629,-5.634682013438974e-05,0.9990216892053971
64,0.21205488980622203,-5.4884825240880675e-05,0.9990360249218675
65,0.21200140484588564,-5.348496033638628e-05,0.9990496017277312
66,0.21194926123144367,-5.214361444197402e-05,0.9990624666271332
67,0.2118984037724043,-5.085745903937733e-05,0.9990746632065017
68,0.21184878038291352,-4.962338949077161e-05,0.9990862319220972
69,0.21180034185828717,-4.843852462635412e-05,0.9990972103600474
70,0.21175304159668296,-4.7300261604210636e-05,0.9991076334718186
71,0.21170683573371496,-4.6205862967996225e-05,0.9991175337877214
72,0.21166168255099738,-4.5153182717583285e-05,0.9991269416107427
73,0.2116175424035587,-4.414014743867045e-05,0.9991358851927372
74,0.211574377846784,-4.316455677469411e-05,0.999144390894775
75,0.21153215333177242,-4.22245150115963e-05,0.9991524833332392
76,0.21149083501722277,-4.131831454964874e-05,0.9991601855130955
77,0.21145039076145059,-4.04442557721818e-05,0.999167518949591
78,0.2114107899981707,-3.960076327988449e-05,0.9991745037795103
79,0.2113720035992218,-3.87863989488868e-05,0.9991811588629912
80,0.21133400386481063,-3.799973441118154e-05,0.9991875018767973
81,0.2112967643280512,-3.723953675943692e-05,0.9991935493998496
82,0.21126025978603713,-3.650454201406528e-05,0.9991993169917384
83,0.21122446617943003,-3.579360660710407e-05,0.9992048192648579
84,0.21118936050113468,-3.5105678295344056e-05,0.9992100699507468
85,0.21115492081566403,-3.4439685470649684e-05,0.9992150819611527
86,0.2111211262159618,-3.379459970223597e-05,0.9992198674442933
87,0.21108795632523236,-3.3169890729434215e-05,0.9992244378367346
88,0.21105539220870817,-3.256411652419189e-05,0.9992288039112714
89,0.21102341536425517,-3.1976844452996644e-05,0.9992329758211512
90,0.21099200816910701,-3.1407195148158706e-05,0.9992369631409583
91,0.21096115365823676,-3.085451087025959e-05,0.9992407749044376
92,0.21093083566843623,-3.031798980052125e-05,0.999244419639515
93,0.2109010386332817,-2.9797035154544016e-05,0.9992479054007483
94,0.21087174757768795,-2.929105559373868e-05,0.9992512397994173
95,0.2108429481396793,-2.8799438008653144e-05,0.9992544300314484
96,0.21081462667944284,-2.8321460236457874e-05,0.999257482903345
97,0.21078676978408642,-2.7856895356420663e-05,0.9992604048562848
98,0.21075936476033885,-2.7405023747567592e-05,0.9992632019885289
99,0.2107323993470188,-2.6965413320062526e-05,0.9992658800762745
100,0.210705861746731,-2.6537600287784846e-05,0.9992684445930725
101,0.2106797405884993,-2.6121158231695585e-05,0.9992709007279202
102,0.2106540249291329,-2.5715659366404298e-05,0.9992732534021308
103,0.21062870421493823,-2.5320714194670968e-05,0.9992755072850709
104,0.2106037682300529,-2.4935984885343654e-05,0.9992776668088529
105,0.210579207344755,-2.456088529789735e-05,0.999279736182058
106,0.21055501187539494,-2.4195469360055455e-05,0.9992817194025626
107,0.21053117279163883,-2.383908375611088e-05,0.9992836202695328
108,0.21050768128061195,-2.349151102687408e-05,0.9992854423946472
109,0.21048452881847646,-2.3152462135495044e-05,0.999287189212606
110,0.21046170718493648,-2.2821633539976682e-05,0.9992888639909714
111,0.2104392084292761,-2.249875566037729e-05,0.9992904698393943
112,0.21041702486559796,-2.2183563678140894e-05,0.9992920097182638
113,0.21039514906761242,-2.1875797985543288e-05,0.9992934864468229
114,0.21037357384767955,-2.157521993287337e-05,0.9992949027107868
115,0.21035229225270766,-2.1281594971889195e-05,0.9992962610694976
116,0.21033129754505223,-2.0994707655430656e-05,0.9992975639626468
117,0.210310583221745,-2.071432330721934e-05,0.9992988137165945
118,0.2102901429431507,-2.044027859429698e-05,0.9993000125503135
119,0.21026997062374006,-2.0172319410649564e-05,0.999301162580982
120,0.21025006032622276,-1.9910297517300446e-05,0.9993022658292479
121,0.21023040630871043,-1.9654017512332755e-05,0.9993033242241871
122,0.2102110030022542,-1.940330645622268e-05,0.9993043396079764
123,0.21019184500907456,-1.9157993179641508e-05,0.9993053137402955
124,0.2101729270864921,-1.8917922582462054e-05,0.9993062483024817
125,0.21015424415422757,-1.8682932264535435e-05,0.9993071449014467
126,0.21013579127690218,-1.8452877325381145e-05,0.9993080050733745
127,0.21011756366639822,-1.8227610503962488e-05,0.9993088302872132
128,0.2100995566691027,-1.800699729551103e-05,0.9993096219479729
129,0.21008176577171325,-1.779089738945805e-05,0.9993103813998419
130,0.21006418658087062,-1.7579190842637038e-05,0.9993111099291326
131,0.21004681483485987,-1.737174601074143e-05,0.9993118087670679
