Matrix size,Predicted Coefficient,Original Coefficient,Original - Constant,Error,Formula
2,0.25276643813963207,0.3008143618642685,0.09532436186426851,-0.15972616276318724,0.15552exp(-x^0.25187) + 0.20549
3,0.2470849460456968,0.2667118180618078,0.06122181806180782,-0.07358831025463854,0.15552exp(-x^0.25187) + 0.20549
4,0.24316032929386125,0.2514843934063438,0.045994393406343814,-0.033099724399329636,0.15552exp(-x^0.25187) + 0.20549
5,0.24019554621901534,0.2428571613373241,0.037367161337324095,-0.010959590829655724,0.15552exp(-x^0.25187) + 0.20549
6,0.23783361700713604,0.2372921729089967,0.0318021729089967,0.0022817613050683293,0.15552exp(-x^0.25187) + 0.20549
7,0.23588403669914576,0.2333951407922438,0.027905140792243793,0.010663872000306324,0.15552exp(-x^0.25187) + 0.20549
8,0.23423333935297191,0.2305067744333118,0.025016774433311795,0.016166834700722648,0.15552exp(-x^0.25187) + 0.20549
9,0.23280860785773178,0.2282751664112051,0.022785166411205093,0.019859547220131377,0.15552exp(-x^0.25187) + 0.20549
10,0.23156028582152866,0.2264954067324395,0.021005406732439502,0.02236195056737871,0.15552exp(-x^0.25187) + 0.20549
11,0.23045321199386926,0.2250400784598464,0.01955007845984638,0.024054086592352156,0.15552exp(-x^0.25187) + 0.20549
12,0.2294615710457498,0.2238257664546558,0.01833576645465579,0.0251794271962685,0.15552exp(-x^0.25187) + 0.20549
13,0.2285658742706584,0.2227955538922404,0.017305553892240394,0.025899620874880295,0.15552exp(-x^0.25187) + 0.20549
14,0.227751064831302,0.2219092559750989,0.016419255975098884,0.02632521491964553,0.15552exp(-x^0.25187) + 0.20549
15,0.22700528047702737,0.2211376813294991,0.01564768132949909,0.026533692097392668,0.15552exp(-x^0.25187) + 0.20549
16,0.22631901818578679,0.2204591026873837,0.01496910268738369,0.026580510520867857,0.15552exp(-x^0.25187) + 0.20549
17,0.2256845539167131,0.2198570064550102,0.014367006455010184,0.026506080273113415,0.15552exp(-x^0.25187) + 0.20549
18,0.22509552957055912,0.2193186141720335,0.013828614172033488,0.026340287714905087,0.15552exp(-x^0.25187) + 0.20549
19,0.22454665263026005,0.2188338764593741,0.013343876459374099,0.026105538426298033,0.15552exp(-x^0.25187) + 0.20549
20,0.22403347360168627,0.2183947792437655,0.012904779243765485,0.025818814796973878,0.15552exp(-x^0.25187) + 0.20549
21,0.22355221833397632,0.2179948504156159,0.012504850415615887,0.02549311558399237,0.15552exp(-x^0.25187) + 0.20549
22,0.22309965979493995,0.2176288041193576,0.012138804119357582,0.025138472353052572,0.15552exp(-x^0.25187) + 0.20549
23,0.22267301869922188,0.2172922793314981,0.011802279331498106,0.024762680865963865,0.15552exp(-x^0.25187) + 0.20549
24,0.22226988556176033,0.2169816446868317,0.011491644686831698,0.024371835150208743,0.15552exp(-x^0.25187) + 0.20549
25,0.22188815888329713,0.2166938510357501,0.011203851035750084,0.023970721009015095,0.15552exp(-x^0.25187) + 0.20549
26,0.22152599563661704,0.2164263185614407,0.0109363185614407,0.0235631096489247,0.15552exp(-x^0.25187) + 0.20549
27,0.22118177124083765,0.2161768489236543,0.01068684892365429,0.023151981084481958,0.15552exp(-x^0.25187) + 0.20549
28,0.22085404693198624,0.2159435569028834,0.010453556902883382,0.022739692258154524,0.15552exp(-x^0.25187) + 0.20549
29,0.22054154295563672,0.2157248159578808,0.010234815957880783,0.02232810804064549,0.15552exp(-x^0.25187) + 0.20549
30,0.22024311638381783,0.2155192149434085,0.010029214943408499,0.02191870196654964,0.15552exp(-x^0.25187) + 0.20549
31,0.21995774263554616,0.2153255239313545,0.009835523931354506,0.021512631756876104,0.15552exp(-x^0.25187) + 0.20549
32,0.21968449998667414,0.215142664327814,0.009652664327814003,0.021110808834921318,0.15552exp(-x^0.25187) + 0.20549
33,0.21942255650997147,0.2149696875343689,0.009479687534368897,0.0207139389123904,0.15552exp(-x^0.25187) + 0.20549
34,0.2191711590042711,0.2148057548904398,0.009315754890439787,0.020322565920349013,0.15552exp(-x^0.25187) + 0.20549
35,0.2189296235618944,0.2146501224017276,0.009160122401727588,0.01993710095425677,0.15552exp(-x^0.25187) + 0.20549
36,0.218697327493438,0.2145021273912142,0.00901212739121418,0.0195578484616729,0.15552exp(-x^0.25187) + 0.20549
37,0.218473702383444,0.2143611777281415,0.0088711777281415,0.019185025473773508,0.15552exp(-x^0.25187) + 0.20549
38,0.21825822809321044,0.2142267426129249,0.008736742612924897,0.018818777857112896,0.15552exp(-x^0.25187) + 0.20549
39,0.2180504275607819,0.2140983441271848,0.00860834412718478,0.018459196635586293,0.15552exp(-x^0.25187) + 0.20549
40,0.217849862275043,0.2139755519943311,0.008485551994331098,0.018106322169060385,0.15552exp(-x^0.25187) + 0.20549
41,0.2176561283223641,0.2138579765066187,0.00836797650661869,0.01776015969938753,0.15552exp(-x^0.25187) + 0.20549
42,0.21746885292159007,0.213745264354646,0.008255264354645991,0.017420683345601047,0.15552exp(-x^0.25187) + 0.20549
43,0.21728769137720516,0.2136370943349333,0.008147094334933297,0.017087842603534808,0.15552exp(-x^0.25187) + 0.20549
44,0.21711232439194822,0.2135331737450686,0.008043173745068605,0.016761567226798484,0.15552exp(-x^0.25187) + 0.20549
45,0.21694245568951143,0.2134332353120499,0.007943235312049907,0.016441770993776392,0.15552exp(-x^0.25187) + 0.20549
46,0.21677780990565518,0.2133370339989243,0.007847033998924308,0.016128357286284447,0.15552exp(-x^0.25187) + 0.20549
47,0.2166181307124325,0.2132443456262724,0.007754345626272391,0.015821217093713345,0.15552exp(-x^0.25187) + 0.20549
48,0.2164631791454931,0.2131549637943084,0.007664963794308394,0.01552023603999707,0.15552exp(-x^0.25187) + 0.20549
49,0.2163127321088362,0.2130686985231001,0.007578698523100086,0.015225294040008415,0.15552exp(-x^0.25187) + 0.20549
50,0.21616658103505915,0.2129853745985939,0.007495374598593896,0.014936267067448897,0.15552exp(-x^0.25187) + 0.20549
51,0.21602453068223862,0.2129048300789408,0.007414830078940782,0.014653028783523182,0.15552exp(-x^0.25187) + 0.20549
52,0.2158863980511856,0.2128269151188369,0.007336915118836884,0.014375451200053182,0.15552exp(-x^0.25187) + 0.20549
53,0.21575201140901734,0.2127514907612471,0.0072614907612471025,0.014103405983356713,0.15552exp(-x^0.25187) + 0.20549
54,0.21562120940685836,0.2126784280291683,0.007188428029168303,0.013836764757761216,0.15552exp(-x^0.25187) + 0.20549
55,0.21549384028107432,0.2126076069840854,0.007117606984085395,0.013575399948906667,0.15552exp(-x^0.25187) + 0.20549
