Eigenstate,Energy,Diagonal Energy,Residual Energy
1,0.500000000000030689828436286854532810,0.536844929114528343918880273712156099,-0.036844929114497654090443986857623289
2,1.84623093765131520967594916235360147,1.87489076802969273945125057243700050,-0.02865983037837752977530141008339903
3,3.93633760970556589167263549498642586,3.95623090880462126828114393420265306,-0.01989329909905537660850843921622720
4,6.79966527781547135606476808385020286,6.81404497809387814347479438770497591,-0.01437970027840678741002630385477305
5,10.4480465752878278125809600409357374,10.4589205604037613019573308558617471,-0.0108739851159334893763708149260097
6,14.8870659968735847230937604460240200,14.8955994064923315731409527566250607,-0.0085334096187468500471923106010407
7,20.1197208240091743710359572245702272,20.1266171135078377374844725488408885,-0.0068962894986633664485153242706613
8,26.1477838430706350697886085237085983,26.1534892178572856918972045498453335,-0.0057053747866506221085960261367352
9,32.9723835530637258816629045583843710,32.9771940588831219579913553382310225,-0.0048105058193960763284507798466515
10,40.5942802081366955061603380124271915,40.5983999916340077251454415544766917,-0.0041197834973122189851035420495002
11,49.0140093784303671693959126648900799,49.0175839000481967961866582146988277,-0.0035745216178296267907455498087478
12,58.2319621592492171444553999981086236,58.2350979899342027116710280813451923,-0.0031358306849855672156280832365687
13,68.2484326806589376362932270571668866,68.2512097825246746433708230672610958,-0.0027771018657370070775960100942092
14,79.0636476403425816706426125846561791,79.0661272573988691307691123566637355,-0.0024796170562874601264997720075564
15,90.6777854194147379409275201766195127,90.6800153064125366839088072862919660,-0.0022298869977987429812871096724533
16,103.090988887291969635455005070571392,103.093006869880569662333591700522130,-0.002017982588600026878586629950738
17,116.303374235154314814933440022921391,116.305210692609005460118978413410298,-0.001836457454690645185538390488907
18,130.315037226951483309064007474824889,130.316716860716175406879466435057939,-0.001679633764692097815458960233050
19,145.126057722506832634184803694698771,145.127600840100963072626022049245840,-0.001543117594130438441218354547069
20,160.736503015151303282587791753922947,160.737926478224652085852001631018433,-0.001423463073348803264209877095486
21,177.146430337805115099657533244416346,177.147748273000955453977286302779321,-0.001317935195840354319753058362975
22,194.355888774136506848048669343844370,194.357113113549403638498165500224013,-0.001224339412896790449496156379643
23,212.364920736498260450651905352509171,212.366061633790230971324794508877277,-0.001140897291970520672889156368106
24,231.173563123328122845887629353750061,231.174629277820242129573093367686383,-0.001066154492119283685464013936322
25,250.781848235944732151982561877072000,250.782847147712966790853848986364826,-0.000998911768234638871287109292826
26,271.189804512355205245306867786017463,271.190742684976690991560729478464572,-0.000938172621485746253861692447109
27,292.397457120217713463836120363239697,292.398340223359353240361538697763530,-0.000883103141639776525418334523833
28,314.404828440200522342538298742545926,314.405661441088413290542690310243762,-0.000833000887890948004391567697836
29,337.211938463183943469329372475832343,337.212725733730089550598322393748976,-0.000787270546146081268949917916633
30,360.818805119102158983287097200428481,360.819550523822258708435284858398332,-0.000745404720099725148187657969851
31,385.225444551075940738400306851525513,385.226151519725501387219549567223435,-0.000706968649560648819242715697922
32,410.431871345409386572610444600586638,410.432542933369762541150065205031277,-0.000671587960375968539620604444639
