Matrix size,Eigenvalue 1,Adjusted Eigenvalue 1,Log(Adjusted Eigenvalue 1),Eigenvalue 2,Adjusted Eigenvalue 2,Log(Adjusted Eigenvalue 2),Eigenvalue 3,Adjusted Eigenvalue 3,Log(Adjusted Eigenvalue 3),Eigenvalue 4,Adjusted Eigenvalue 4,Log(Adjusted Eigenvalue 4)
1,0.536844929114528343918880273712156099,0.036844929114528343918880273712156099,-1.433622274673794105837032475392334163188934326171875,,,,,,,,,
2,0.503227070346064374012295817994211804,0.003227070346064374012295817994211804,-2.491191567420826036283187931985594332218170166015625,1.90850862679815670935783502815494480,0.062277689147042189510322152663564031642485300832630,-1.20566751057577459249614548753015697002410888671875,,,,,,
3,0.500966546529793417523068733672653522,0.000966546529793417523068733672653522,-3.01477723408641917757222472573630511760711669921875,1.85538194129764085294856945985748542,0.0091510036465263331010565843661046516424853008326301,-2.038531271589881566086432940210215747356414794921875,4.01161811812140808117963658682167033,0.075280508416422879335437378769591712477551148435420,-1.123317456508252210056753028766252100467681884765625,,,
4,0.500417399452992985002890011285029941,0.000417399452992985002890011285029941,-3.3794481244183458557017729617655277252197265625,1.84955906520274977931465281201352159,0.0033281275516352594671399365221408216424853008326301,-2.4778000375766797702681287773884832859039306640625,3.95094425990918447415835376319957804,0.014606650204199272314154555147499422477551148435420,-1.8354493709675530066505189097370021045207977294921875,6.88109085947779325665017258155866330,0.081425581663502590413840784509570636013157104344530,-1.08923913037012365379041511914692819118499755859375
5,0.500217960522471971158284126805621138,0.000217960522471971158284126805621138,-3.6616221597217641914312480366788804531097412109375,1.84784587546169504262572145816733936,0.0016149378105805227782085826759585916424853008326301,-2.79184419719773213586222482263110578060150146484375,3.94230582142403574391089585125190080,0.0059682117190505420666966431998221824775511484354202,-2.22415577890260696136692786240018904209136962890625,6.81848906126662115460458903745300180,0.018823783452330488368257240403909136013157104344530,-1.725293081900824088137369471951387822628021240234375
6,0.500128104671212273503428080419334000,0.000128104671212273503428080419334000,-3.892435033840584868158885001321323215961456298828125,1.84714396797449172464550712735039655,0.00091303032337720479799425185901578164248530083263012,-3.0395147985262678247408985043875873088836669921875,3.93945858107176105691470788868530686,0.0031209713667758550705086806332282424775511484354202,-2.5057102157333499548030886217020452022552490234375,6.80798546585435699684889291430279881,0.0083201880400663306125611172537061460131571043445304,-2.079866858343849767010169671266339719295501708984375
7,0.500081664405705688082489478314484013,0.000081664405705688082489478314484013,-4.08796719406700059806780700455419719219207763671875,1.84679963492977472800226136227299362,0.00056869727866020815474848678161285164248530083263012,-3.245118849936126093069788112188689410686492919921875,3.93819952392861693724187090082658722,0.0018619142236317353976716927745086024775511484354202,-2.730040330369437828750278640654869377613067626953125,6.80425096647330733070197045903013921,0.0045856886590166644656386619810465460131571043445304,-2.338595434617211754613208540831692516803741455078125
8,0.500055247114567288987596029634417437,0.000055247114567288987596029634417437,-4.257690399275933401668225997127592563629150390625,1.84660993469649944981989885767433568,0.00037899704538492997238598218295491164248530083263012,-3.421364175725919221093818123335950076580047607421875,3.93754580194433253374296211603223170,0.0012081922393473318987629079801530824775511484354202,-2.91786395822702449009966585435904562473297119140625,6.80250991863628076854034623820937334,0.0028446408219901023040144411602806760131571043445304,-2.545972561913995235727270483039319515228271484375
9,0.500039112799761668449755917251697326,0.000039112799761668449755917251697326,-4.40768109538708330319423112086951732635498046875,1.84649650245800814896819297263815928,0.00026556480689362912068009714677851164248530083263012,-3.5758294789448168415901818661950528621673583984375,3.93716930083644486087918553791643270,0.00083169113145965903498632986435408247755114843542019,-3.080037929487717374144040149985812604427337646484375,6.80156847338828541477058003366224807,0.0019031955739947485342482366131554060131571043445304,-2.720516580949716711756991571746766567230224609375
10,0.500028702462125662622459941835775763,0.000028702462125662622459941835775763,-4.54208084745675844118295572116039693355560302734375,1.84642438541629276263537507763443352,0.00019344776517824278786220214305275164248530083263012,-3.71343628313768814308559740311466157436370849609375,3.93693594346641230466089577073652337,0.00059833376142710281669656268444475247755114843542019,-3.22305649107769998096273411647416651248931884765625,6.80100825712292392060932632392376587,0.0013429793086332543729945268746732060131571043445304,-2.871930678482159660092065678327344357967376708984375
