State,Predicted energy,Original energy,Error,Formula
1,-0.04042640249520475,-0.0368449291144976,0.09720396990254844,-0.04203x^(0.78806)+0.00160
2,-0.02273702530698385,-0.0286598303783775,-0.2066587622187091,-0.04203x^(0.78806)+0.00160
3,-0.0160796919950454,-0.0198932990990553,-0.1917030998740174,-0.04203x^(0.78806)+0.00160
4,-0.012492717047347151,-0.0143797002784067,-0.13122549111076673,-0.04203x^(0.78806)+0.00160
5,-0.010219638181338066,-0.0108739851159334,-0.06017544879995597,-0.04203x^(0.78806)+0.00160
6,-0.008637308577677638,-0.0085334096187468,0.012175550403977413,-0.04203x^(0.78806)+0.00160
7,-0.007465871391713678,-0.0068962894986633,0.08259251488221013,-0.04203x^(0.78806)+0.00160
8,-0.00656001231716917,-0.0057053747866506,0.14979516026155648,-0.04203x^(0.78806)+0.00160
9,-0.005836394417870309,-0.004810505819396,0.2132600264899206,-0.04203x^(0.78806)+0.00160
10,-0.005243622240000804,-0.0041197834973122,0.27279072878994987,-0.04203x^(0.78806)+0.00160
11,-0.004748187179946369,-0.0035745216178296,0.32834199582471735,-0.04203x^(0.78806)+0.00160
12,-0.004327260286961548,-0.0031358306849855,0.37994066697563333,-0.04203x^(0.78806)+0.00160
13,-0.00396472343644791,-0.002777101865737,0.42764782428884124,-0.04203x^(0.78806)+0.00160
14,-0.003648855190381485,-0.0024796170562874,0.471539801329131,-0.04203x^(0.78806)+0.00160
15,-0.003370916585385667,-0.0022298869977987,0.5116983904177067,-0.04203x^(0.78806)+0.00160
16,-0.003124252232307726,-0.0020179825886,0.5482057426844371,-0.04203x^(0.78806)+0.00160
17,-0.0029036995463507702,-0.0018364574546906,0.5811417459926811,-0.04203x^(0.78806)+0.00160
18,-0.0027051891559918195,-0.001679633764692,0.61058274301117,-0.04203x^(0.78806)+0.00160
19,-0.0025254677730724793,-0.0015431175941304,0.6366009840589418,-0.04203x^(0.78806)+0.00160
20,-0.0023619017212100565,-0.0014234630733488,0.6592644835201181,-0.04203x^(0.78806)+0.00160
21,-0.002212334908239586,-0.0013179351958403,0.6786370947693122,-0.04203x^(0.78806)+0.00160
22,-0.002074984356973576,-0.0012243394128967,0.6947786987141993,-0.04203x^(0.78806)+0.00160
23,-0.001948362154803828,-0.0011408972919705,0.7077454460766717,-0.04203x^(0.78806)+0.00160
24,-0.0018312163146832583,-0.0010661544921192,0.7175900192882381,-0.04203x^(0.78806)+0.00160
25,-0.0017224853894293206,-0.0009989117682346,0.7243618948183073,-0.04203x^(0.78806)+0.00160
26,-0.001621263233089601,-0.0009381726214857,0.7281075955106765,-0.04203x^(0.78806)+0.00160
27,-0.001526771347686996,-0.0008831031416397,0.7288709276383804,-0.04203x^(0.78806)+0.00160
28,-0.0014383369690552771,-0.0008330008878909,0.7266932004082802,-0.04203x^(0.78806)+0.00160
29,-0.0013553755432300792,-0.000787270546146,0.7216134273855123,-0.04203x^(0.78806)+0.00160
30,-0.0012773765962544462,-0.0007454047200997,0.7136685102873959,-0.04203x^(0.78806)+0.00160
31,-0.0012038922516738682,-0.0007069686495606,0.7028934061250377,-0.04203x^(0.78806)+0.00160
32,-0.0011345278321228907,-0.0006715879603759,0.6893212789101743,-0.04203x^(0.78806)+0.00160
33,-0.0010689341148658422,-0.0006389387744574,0.6729836372406778,-0.04203x^(0.78806)+0.00160
34,-0.0010068009100049984,-0.0006087396717812,0.6539104590621688,-0.04203x^(0.78806)+0.00160
35,-0.0009478517040206239,-0.0005807451164924,0.6321303048495427,-0.04203x^(0.78806)+0.00160
36,-0.0008918391671499677,-0.0005547400486168,0.607670420359405,-0.04203x^(0.78806)+0.00160
