State,Predicted energy,Original energy,Error,Formula
1,-0.0368449291145283,-0.0368449291144976,8.333468475233939e-13,-x^(0.00948)+-0.0368449291145283
2,-0.030292186698899104,-0.0286598303783775,0.05695624499414833,-x^(0.00948)+-0.0368449291145283
3,-0.02647900124299918,-0.0198932990990553,0.33105128069263406,-x^(0.00948)+-0.0368449291145283
4,-0.023782382716435513,-0.0143797002784067,0.6538858429579626,-x^(0.00948)+-0.0368449291145283
5,-0.02169578409727091,-0.0108739851159334,0.9952008271080469,-x^(0.00948)+-0.0368449291145283
6,-0.019994184082611,-0.0085334096187468,1.3430475010465166,-x^(0.00948)+-0.0368449291145283
7,-0.01855779565537219,-0.0068962894986633,1.690982688439809,-x^(0.00948)+-0.0368449291145283
8,-0.017315235802645268,-0.0057053747866506,2.034898924284404,-x^(0.00948)+-0.0368449291145283
9,-0.016220525832107757,-0.004810505819396,2.371896104294575,-x^(0.00948)+-0.0368449291145283
10,-0.015242310126756808,-0.0041197834973122,2.699784257279803,-x^(0.00948)+-0.0368449291145283
11,-0.014358248109853089,-0.0035745216178296,3.016830682526748,-x^(0.00948)+-0.0368449291145283
12,-0.013551860258687487,-0.0031358306849855,3.321617338453384,-x^(0.00948)+-0.0368449291145283
13,-0.012810642795458405,-0.002777101865737,3.6129538687478635,-x^(0.00948)+-0.0368449291145283
14,-0.012124884114821155,-0.0024796170562874,3.8898212262562453,-x^(0.00948)+-0.0368449291145283
15,-0.01148689117030599,-0.0022298869977987,4.151333310452781,-x^(0.00948)+-0.0368449291145283
16,-0.010890466436745072,-0.0020179825886,4.3967098121993535,-x^(0.00948)+-0.0368449291145283
17,-0.010330543970100803,-0.0018364574546906,4.625256356315239,-x^(0.00948)+-0.0368449291145283
18,-0.009802929818664374,-0.001679633764692,4.836349580923058,-x^(0.00948)+-0.0368449291145283
19,-0.009304112827608235,-0.0015431175941304,5.0294256659366425,-x^(0.00948)+-0.0368449291145283
20,-0.008831124108857447,-0.0014234630733488,5.203971338772834,-x^(0.00948)+-0.0368449291145283
21,-0.008381430890257668,-0.0013179351958403,5.359516702119611,-x^(0.00948)+-0.0368449291145283
22,-0.007952855122629998,-0.0012243394128967,5.495629429925897,-x^(0.00948)+-0.0368449291145283
23,-0.0075435102247579655,-0.0011408972919705,5.611910009646177,-x^(0.00948)+-0.0368449291145283
24,-0.0071517513233402275,-0.0010661544921192,5.707987797457627,-x^(0.00948)+-0.0368449291145283
25,-0.006776135674767314,-0.0009989117682346,5.783517714225088,-x^(0.00948)+-0.0368449291145283
26,-0.006415390867221538,-0.0009381726214857,5.8381774529532295,-x^(0.00948)+-0.0368449291145283
27,-0.006068389037397592,-0.0008831031416397,5.871665099197953,-x^(0.00948)+-0.0368449291145283
28,-0.005734125786577726,-0.0008330008878909,5.883697088362212,-x^(0.00948)+-0.0368449291145283
29,-0.005411702804534846,-0.000787270546146,5.874006440387319,-x^(0.00948)+-0.0368449291145283
30,-0.005100313445491,-0.0007454047200997,5.842341224789694,-x^(0.00948)+-0.0368449291145283
31,-0.004799230674173649,-0.0007069686495606,5.7884632184984435,-x^(0.00948)+-0.0368449291145283
32,-0.004507796929579477,-0.0006715879603759,5.71214672618071,-x^(0.00948)+-0.0368449291145283
33,-0.004225415551688538,-0.0006389387744574,5.613177538453271,-x^(0.00948)+-0.0368449291145283
34,-0.003951543490631648,-0.0006087396717812,5.491352007779044,-x^(0.00948)+-0.0368449291145283
35,-0.0036856850748375747,-0.0005807451164924,5.346476225402419,-x^(0.00948)+-0.0368449291145283
36,-0.0034273866588246937,-0.0005547400486168,5.178365285453265,-x^(0.00948)+-0.0368449291145283
37,-0.0031762320057642235,-0.0005305354098803,4.986842624662599,-x^(0.00948)+-0.0368449291145283
38,-0.0029318382870233695,-0.0005079644227945,4.771739427919466,-x^(0.00948)+-0.0368449291145283
39,-0.002693852602356439,-0.0004868794807631,4.532894091437757,-x^(0.00948)+-0.0368449291145283
40,-0.002461948941512193,-0.0004671495365968,4.270151736524397,-x^(0.00948)+-0.0368449291145283
