State,Predicted energy,Original energy,Error,Formula
1,0.03097421473573027,-0.0368449291144976,-1.8406642509604572,0.03391x^(27.89686)+27.86001584012893
2,-0.002935357053714456,-0.0286598303783775,-0.8975793989370905,0.03391x^(27.89686)+27.86001584012893
3,-0.0029353571893973585,-0.0198932990990553,-0.8524449275717795,0.03391x^(27.89686)+27.86001584012893
4,-0.002935357189399017,-0.0143797002784067,-0.7958679852453601,0.03391x^(27.89686)+27.86001584012893
5,-0.002935357189399017,-0.0108739851159334,-0.7300569057154671,0.03391x^(27.89686)+27.86001584012893
6,-0.002935357189399017,-0.0085334096187468,-0.6560159044808519,0.03391x^(27.89686)+27.86001584012893
7,-0.002935357189399017,-0.0068962894986633,-0.5743570234445677,0.03391x^(27.89686)+27.86001584012893
8,-0.002935357189399017,-0.0057053747866506,-0.4855101900987912,0.03391x^(27.89686)+27.86001584012893
9,-0.002935357189399017,-0.004810505819396,-0.389802798374418,0.03391x^(27.89686)+27.86001584012893
10,-0.002935357189399017,-0.0041197834973122,-0.28749722131901306,0.03391x^(27.89686)+27.86001584012893
11,-0.002935357189399017,-0.0035745216178296,-0.17881118000306712,0.03391x^(27.89686)+27.86001584012893
12,-0.002935357189399017,-0.0031358306849855,-0.06392994894346789,0.03391x^(27.89686)+27.86001584012893
13,-0.002935357189399017,-0.002777101865737,0.05698578277394888,0.03391x^(27.89686)+27.86001584012893
14,-0.002935357189399017,-0.0024796170562874,0.18379456293705793,0.03391x^(27.89686)+27.86001584012893
15,-0.002935357189399017,-0.0022298869977987,0.3163703776454785,0.03391x^(27.89686)+27.86001584012893
16,-0.002935357189399017,-0.0020179825886,0.4545998592760191,0.03391x^(27.89686)+27.86001584012893
17,-0.002935357189399017,-0.0018364574546906,0.5983801758661247,0.03391x^(27.89686)+27.86001584012893
18,-0.002935357189399017,-0.001679633764692,0.7476173979732319,0.03391x^(27.89686)+27.86001584012893
19,-0.002935357189399017,-0.0015431175941304,0.9022252099025493,0.03391x^(27.89686)+27.86001584012893
20,-0.002935357189399017,-0.0014234630733488,1.0621238754675781,0.03391x^(27.89686)+27.86001584012893
21,-0.002935357189399017,-0.0013179351958403,1.2272393958850667,0.03391x^(27.89686)+27.86001584012893
22,-0.002935357189399017,-0.0012243394128967,1.3975028153787605,0.03391x^(27.89686)+27.86001584012893
23,-0.002935357189399017,-0.0011408972919705,1.5728496421699947,0.03391x^(27.89686)+27.86001584012893
24,-0.002935357189399017,-0.0010661544921192,1.7532193608868023,0.03391x^(27.89686)+27.86001584012893
25,-0.002935357189399017,-0.0009989117682346,1.938555018314322,0.03391x^(27.89686)+27.86001584012893
26,-0.002935357189399017,-0.0009381726214857,2.128802868656042,0.03391x^(27.89686)+27.86001584012893
27,-0.002935357189399017,-0.0008831031416397,2.3239120675630236,0.03391x^(27.89686)+27.86001584012893
28,-0.002935357189399017,-0.0008330008878909,2.523834406504819,0.03391x^(27.89686)+27.86001584012893
29,-0.002935357189399017,-0.000787270546146,2.7285240807861397,0.03391x^(27.89686)+27.86001584012893
30,-0.002935357189399017,-0.0007454047200997,2.9379374858350835,0.03391x^(27.89686)+27.86001584012893
31,-0.002935357189399017,-0.0007069686495606,3.1520330374245313,0.03391x^(27.89686)+27.86001584012893
32,-0.002935357189399017,-0.0006715879603759,3.3707710122677663,0.03391x^(27.89686)+27.86001584012893
33,-0.002935357189399017,-0.0006389387744574,3.5941134060799214,0.03391x^(27.89686)+27.86001584012893
34,-0.002935357189399017,-0.0006087396717812,3.822023806679181,0.03391x^(27.89686)+27.86001584012893
35,-0.002935357189399017,-0.0005807451164924,4.054467280117767,0.03391x^(27.89686)+27.86001584012893
36,-0.002935357189399017,-0.0005547400486168,4.291410268139276,0.03391x^(27.89686)+27.86001584012893
37,-0.002935357189399017,-0.0005305354098803,4.532820495546744,0.03391x^(27.89686)+27.86001584012893
38,-0.002935357189399017,-0.0005079644227945,4.778666886256585,0.03391x^(27.89686)+27.86001584012893
39,-0.002935357189399017,-0.0004868794807631,5.028919487012162,0.03391x^(27.89686)+27.86001584012893
40,-0.002935357189399017,-0.0004671495365968,5.283549397872022,0.03391x^(27.89686)+27.86001584012893
41,-0.002935357189399017,-0.0004486578997352,5.542528708692031,0.03391x^(27.89686)+27.86001584012893
42,-0.002935357189399017,-0.0004313003703009,5.805830440978157,0.03391x^(27.89686)+27.86001584012893
43,-0.002935357189399017,-0.0004149836520841,6.073428494489565,0.03391x^(27.89686)+27.86001584012893
44,-0.002935357189399017,-0.0003996239975549,6.345297598139762,0.03391x^(27.89686)+27.86001584012893
45,-0.002935357189399017,-0.0003851460467293,6.621413264724832,0.03391x^(27.89686)+27.86001584012893
46,-0.002935357189399017,-0.0003714818286622,6.901751749123181,0.03391x^(27.89686)+27.86001584012893
47,-0.002935357189399017,-0.0003585698999127,7.186290009601141,0.03391x^(27.89686)+27.86001584012893
48,-0.002935357189399017,-0.000346354598807,7.475005671960754,0.03391x^(27.89686)+27.86001584012893
49,-0.002935357189399017,-0.000334785397954,7.7678769962432455,0.03391x^(27.89686)+27.86001584012893
50,-0.002935357189399017,-0.0003238163404144,8.064882845759202,0.03391x^(27.89686)+27.86001584012893
51,-0.002935357189399017,-0.0003134055473301,8.366002658234057,0.03391x^(27.89686)+27.86001584012893
52,-0.002935357189399017,-0.0003035147867911,8.67121641891976,0.03391x^(27.89686)+27.86001584012893
53,-0.002935357189399017,-0.0002941090953436,8.980504635430316,0.03391x^(27.89686)+27.86001584012893
54,-0.002935357189399017,-0.0002851564448778,9.293848314236506,0.03391x^(27.89686)+27.86001584012893
55,-0.002935357189399017,-0.0002766274487501,9.611228938639284,0.03391x^(27.89686)+27.86001584012893
56,-0.002935357189399017,-0.0002684951019176,9.93262844809685,0.03391x^(27.89686)+27.86001584012893
57,-0.002935357189399017,-0.0002607345506342,10.25802921883262,0.03391x^(27.89686)+27.86001584012893
58,-0.002935357189399017,-0.0002533228879067,10.587414045588028,0.03391x^(27.89686)+27.86001584012893
59,-0.002935357189399017,-0.0002462389714514,10.920766124457137,0.03391x^(27.89686)+27.86001584012893
60,-0.002935357189399017,-0.0002394632613513,11.25806903670604,0.03391x^(27.89686)+27.86001584012893
61,-0.002935357189399017,-0.000232977675001,11.599306733516066,0.03391x^(27.89686)+27.86001584012893
62,-0.002935357189399017,-0.0002267654572553,11.944463521594894,0.03391x^(27.89686)+27.86001584012893
63,-0.002935357189399017,-0.0002208110639784,12.293524049529315,0.03391x^(27.89686)+27.86001584012893
64,-0.002935357189399017,-0.0002151000574258,12.646473294929663,0.03391x^(27.89686)+27.86001584012893
65,-0.002935357189399017,-0.0002096190120982,13.003296552241613,0.03391x^(27.89686)+27.86001584012893
66,-0.002935357189399017,-0.0002043554298799,13.363979421168944,0.03391x^(27.89686)+27.86001584012893
67,-0.002935357189399017,-0.0001992976634234,13.728507795713421,0.03391x^(27.89686)+27.86001584012893
68,-0.002935357189399017,-0.0001944348468719,14.096867853800536,0.03391x^(27.89686)+27.86001584012893
69,-0.002935357189399017,-0.0001897568331241,14.46904604736583,0.03391x^(27.89686)+27.86001584012893
70,-0.002935357189399017,-0.0001852541369396,14.845029092959239,0.03391x^(27.89686)+27.86001584012893
71,-0.002935357189399017,-0.0001809178832685,15.224803962815864,0.03391x^(27.89686)+27.86001584012893
72,-0.002935357189399017,-0.0001767397602613,15.608357876344593,0.03391x^(27.89686)+27.86001584012893
73,-0.002935357189399017,-0.0001727119764782,15.995678292000338,0.03391x^(27.89686)+27.86001584012893
74,-0.002935357189399017,-0.0001688272218717,16.386752899539726,0.03391x^(27.89686)+27.86001584012893
75,-0.002935357189399017,-0.0001650786321643,16.78156961270133,0.03391x^(27.89686)+27.86001584012893
76,-0.002935357189399017,-0.000161459756288,17.180116562068527,0.03391x^(27.89686)+27.86001584012893
77,-0.002935357189399017,-0.0001579645265841,17.582382088400326,0.03391x^(27.89686)+27.86001584012893
78,-0.002935357189399017,-0.0001545872314994,17.988354736208663,0.03391x^(27.89686)+27.86001584012893
79,-0.002935357189399017,-0.0001513224905415,18.39802324753569,0.03391x^(27.89686)+27.86001584012893
80,-0.002935357189399017,-0.0001481652312793,18.811376556121317,0.03391x^(27.89686)+27.86001584012893
81,-0.002935357189399017,-0.0001451106682005,19.2284037817483,0.03391x^(27.89686)+27.86001584012893
82,-0.002935357189399017,-0.0001421542832553,19.64909422480998,0.03391x^(27.89686)+27.86001584012893
83,-0.002935357189399017,-0.000139291807933,20.073437361161517,0.03391x^(27.89686)+27.86001584012893
84,-0.002935357189399017,-0.000136519206735,20.50142283713158,0.03391x^(27.89686)+27.86001584012893
85,-0.002935357189399017,-0.0001338326619198,20.933040464801085,0.03391x^(27.89686)+27.86001584012893
86,-0.002935357189399017,-0.0001312285594101,21.368280217309902,0.03391x^(27.89686)+27.86001584012893
87,-0.002935357189399017,-0.000128703475759,21.80713222458371,0.03391x^(27.89686)+27.86001584012893
88,-0.002935357189399017,-0.0001262541660874,22.249586769018006,0.03391x^(27.89686)+27.86001584012893
89,-0.002935357189399017,-0.0001238775529082,22.69563428149308,0.03391x^(27.89686)+27.86001584012893
90,-0.002935357189399017,-0.000121570715765,23.145265337362613,0.03391x^(27.89686)+27.86001584012893
91,-0.002935357189399017,-0.0001193308816159,23.598470652779465,0.03391x^(27.89686)+27.86001584012893
92,-0.002935357189399017,-0.0001171554159029,24.055241081060057,0.03391x^(27.89686)+27.86001584012893
93,-0.002935357189399017,-0.0001150418142512,24.5155676090913,0.03391x^(27.89686)+27.86001584012893
94,-0.002935357189399017,-0.0001129876947461,24.97944135416867,0.03391x^(27.89686)+27.86001584012893
95,-0.002935357189399017,-0.0001109907907449,25.446853560540973,0.03391x^(27.89686)+27.86001584012893
96,-0.002935357189399017,-0.0001090489441783,25.91779559643947,0.03391x^(27.89686)+27.86001584012893
97,-0.002935357189399017,-0.0001071600993059,26.39225895097134,0.03391x^(27.89686)+27.86001584012893
98,-0.002935357189399017,-0.0001053222968892,26.870235231263887,0.03391x^(27.89686)+27.86001584012893
99,-0.002935357189399017,-0.0001035336687513,27.351716159601075,0.03391x^(27.89686)+27.86001584012893
100,-0.002935357189399017,-0.0001017924326932,27.836693570789436,0.03391x^(27.89686)+27.86001584012893
