State,Predicted energy,Original energy,Error,Formula
1,-0.04221638770445415,-0.0368449291144976,0.14578555907284976,-0.04222x^(-0.98270)
2,-0.02136285295931203,-0.0286598303783775,-0.25460644123597803,-0.04222x^(-0.98270)
3,-0.014342160576175435,-0.0198932990990553,-0.2790456472422655,-0.04222x^(-0.98270)
4,-0.010810292196388845,-0.0143797002784067,-0.248225485435038,-0.04222x^(-0.98270)
5,-0.008681686085028995,-0.0108739851159334,-0.2016095302256832,-0.04222x^(-0.98270)
6,-0.007257595549212547,-0.0085334096187468,-0.14950812471622765,-0.04222x^(-0.98270)
7,-0.006237409131335123,-0.0068962894986633,-0.09554128599965056,-0.04222x^(-0.98270)
8,-0.005470356304651035,-0.0057053747866506,-0.041192470396416235,-0.04222x^(-0.98270)
9,-0.004872457857665028,-0.004810505819396,0.012878487334790497,-0.04222x^(-0.98270)
10,-0.004393212999932055,-0.0041197834973122,0.06636987181443973,-0.04222x^(-0.98270)
11,-0.004000421176875143,-0.0035745216178296,0.1191486874554539,-0.04222x^(-0.98270)
12,-0.0036725772854229034,-0.0031358306849855,0.1711656828308272,-0.04222x^(-0.98270)
13,-0.003394769279056403,-0.002777101865737,0.22241438851775203,-0.04222x^(-0.98270)
14,-0.003156330073824001,-0.0024796170562874,0.27291029307154696,-0.04222x^(-0.98270)
15,-0.002949426577544353,-0.0022298869977987,0.32267984003492917,-0.04222x^(-0.98270)
16,-0.002768176618744093,-0.0020179825886,0.37175446130313206,-0.04222x^(-0.98270)
17,-0.0026080768205915864,-0.0018364574546906,0.42016729760341015,-0.04222x^(-0.98270)
18,-0.002465620732224805,-0.001679633764692,0.4679513975339344,-0.04222x^(-0.98270)
19,-0.002338037261261657,-0.0015431175941304,0.5151387490849146,-0.04222x^(-0.98270)
20,-0.0022231073864850005,-0.0014234630733488,0.5617597871752159,-0.04222x^(-0.98270)
21,-0.0021190331102505194,-0.0013179351958403,0.6078431753994161,-0.04222x^(-0.98270)
22,-0.0020243420629729755,-0.0012243394128967,0.6534157453802178,-0.04222x^(-0.98270)
23,-0.0019378169315234326,-0.0011408972919705,0.6985025253031616,-0.04222x^(-0.98270)
24,-0.001858442486350414,-0.0010661544921192,0.7431268170679277,-0.04222x^(-0.98270)
25,-0.0017853652900537908,-0.0009989117682346,0.7873102978945863,-0.04222x^(-0.98270)
26,-0.0017178626804116644,-0.0009381726214857,0.831073132033249,-0.04222x^(-0.98270)
27,-0.0016553186285028017,-0.0008831031416397,0.8744340841425298,-0.04222x^(-0.98270)
28,-0.001597204756840018,-0.0008330008878909,0.9174106295180895,-0.04222x^(-0.98270)
29,-0.001543065274682868,-0.000787270546146,0.960019058552084,-0.04222x^(-0.98270)
30,-0.0014925049185039365,-0.0007454047200997,1.0022745741458543,-0.04222x^(-0.98270)
31,-0.0014451792205047121,-0.0007069686495606,1.0441913816163275,-0.04222x^(-0.98270)
32,-0.0014007865970350729,-0.0006715879603759,1.0857827711071937,-0.04222x^(-0.98270)
33,-0.0013590618717248173,-0.0006389387744574,1.1270611928020187,-0.04222x^(-0.98270)
34,-0.0013197709385971367,-0.0006087396717812,1.1680383253738449,-0.04222x^(-0.98270)
35,-0.0012827063376725518,-0.0005807451164924,1.2087251381808877,-0.04222x^(-0.98270)
36,-0.001247683566028848,-0.0005547400486168,1.2491319477291163,-0.04222x^(-0.98270)
37,-0.0012145379854868437,-0.0005305354098803,1.2892684689243818,-0.04222x^(-0.98270)
38,-0.0011831222172629322,-0.0005079644227945,1.329143861599873,-0.04222x^(-0.98270)
39,-0.0011533039363800723,-0.0004868794807631,1.3687667727801267,-0.04222x^(-0.98270)
40,-0.0011249639960367516,-0.0004671495365968,1.408145375102268,-0.04222x^(-0.98270)
41,-0.0010979948257265949,-0.0004486578997352,1.447287401770116,-0.04222x^(-0.98270)
