State,Predicted energy,Original energy,Error,Formula
1,-0.0033915886979940524,-0.0368449291144976,-0.9079496479025781,28.35880x^(0.00002)+-28.36220
2,-0.0030460295070398047,-0.0286598303783775,-0.8937178110677901,28.35880x^(0.00002)+-28.36220
3,-0.0028438883865788966,-0.0198932990990553,-0.8570428980925567,28.35880x^(0.00002)+-28.36220
4,-0.002700466105356014,-0.0143797002784067,-0.8122028934489564,28.35880x^(0.00002)+-28.36220
5,-0.0025892186418126073,-0.0108739851159334,-0.7618887083063334,28.35880x^(0.00002)+-28.36220
6,-0.0024983225217631855,-0.0085334096187468,-0.7072304467519416,28.35880x^(0.00002)+-28.36220
7,-0.002421470719994545,-0.0068962894986633,-0.6488733948213896,28.35880x^(0.00002)+-28.36220
8,-0.0023548984929000483,-0.0057053747866506,-0.5872491149205439,28.35880x^(0.00002)+-28.36220
9,-0.0022961774973033755,-0.004810505819396,-0.5226744164729688,28.35880x^(0.00002)+-28.36220
10,-0.0022436496737796574,-0.0041197834973122,-0.455396217970327,28.35880x^(0.00002)+-28.36220
11,-0.0021961323936672272,-0.0035745216178296,-0.38561501972376144,28.35880x^(0.00002)+-28.36220
12,-0.0021527524461291137,-0.0031358306849855,-0.31349850728976203,28.35880x^(0.00002)+-28.36220
13,-0.0021128467041684473,-0.002777101865737,-0.23919005988362246,28.35880x^(0.00002)+-28.36220
14,-0.00207589970790778,-0.0024796170562874,-0.1628143940032759,28.35880x^(0.00002)+-28.36220
15,-0.0020415028340359243,-0.0022298869977987,-0.08448148446479341,28.35880x^(0.00002)+-28.36220
16,-0.0020093266696150636,-0.0020179825886,-0.004289392303895785,28.35880x^(0.00002)+-28.36220
17,-0.001979101775845038,-0.0018364574546906,0.07767363234585267,28.35880x^(0.00002)+-28.36220
18,-0.0019506049584840923,-0.001679633764692,0.1613275462117071,28.35880x^(0.00002)+-28.36220
19,-0.0019236492553424966,-0.0015431175941304,0.24659926285562148,28.35880x^(0.00002)+-28.36220
20,-0.0018980764948999251,-0.0014234630733488,0.3334216604822511,28.35880x^(0.00002)+-28.36220
21,-0.0018737516724698366,-0.0013179351958403,0.4217327819939997,28.35880x^(0.00002)+-28.36220
22,-0.0018505586357697723,-0.0012243394128967,0.5114751810459831,28.35880x^(0.00002)+-28.36220
23,-0.0018283967303958093,-0.0011408972919705,0.602595381077551,28.35880x^(0.00002)+-28.36220
24,-0.0018071781596447067,-0.0010661544921192,0.6950434228838364,28.35880x^(0.00002)+-28.36220
25,-0.0017868258837694384,-0.0009989117682346,0.7887724828063017,28.35880x^(0.00002)+-28.36220
26,-0.0017672719314241192,-0.0009381726214857,0.8837385476304446,28.35880x^(0.00002)+-28.36220
27,-0.0017484560299507734,-0.0008831031416397,0.9799001356787512,28.35880x^(0.00002)+-28.36220
28,-0.0017303244849529165,-0.0008330008878909,1.0772180559542706,28.35880x^(0.00002)+-28.36220
29,-0.0017128292564763115,-0.000787270546146,1.1756551986623742,28.35880x^(0.00002)+-28.36220
30,-0.0016959271919461116,-0.0007454047200997,1.2751763521423323,28.35880x^(0.00002)+-28.36220
31,-0.0016795793848736196,-0.0007069686495606,1.375748041893404,28.35880x^(0.00002)+-28.36220
32,-0.001663750635451322,-0.0006715879603759,1.4773383884369975,28.35880x^(0.00002)+-28.36220
33,-0.0016484089941180002,-0.0006389387744574,1.5799169811189862,28.35880x^(0.00002)+-28.36220
34,-0.0016335253733785748,-0.0006087396717812,1.683454765809505,28.35880x^(0.00002)+-28.36220
35,-0.0016190732157745913,-0.0005807451164924,1.7879239442485773,28.35880x^(0.00002)+-28.36220
36,-0.0016050282087824996,-0.0005547400486168,1.8932978839088854,28.35880x^(0.00002)+-28.36220
37,-0.0015913680386461238,-0.0005305354098803,1.9995510365748632,28.35880x^(0.00002)+-28.36220
38,-0.0015780721771747608,-0.0005079644227945,2.106658864991376,28.35880x^(0.00002)+-28.36220
39,-0.0015651216961103387,-0.0004868794807631,2.214597776142217,28.35880x^(0.00002)+-28.36220
40,-0.0015524991051201198,-0.0004671495365968,2.3233450608345407,28.35880x^(0.00002)+-28.36220
41,-0.0015401882097059172,-0.0004486578997352,2.4328788384534037,28.35880x^(0.00002)+-28.36220
42,-0.0015281739862835764,-0.0004313003703009,2.5431780065883878,28.35880x^(0.00002)+-28.36220
43,-0.001516442471963586,-0.0004149836520841,2.6542221948932725,28.35880x^(0.00002)+-28.36220
44,-0.0015049806669793497,-0.0003996239975549,2.765991722688267,28.35880x^(0.00002)+-28.36220
45,-0.0014937764480968951,-0.0003851460467293,2.8784675599871763,28.35880x^(0.00002)+-28.36220
46,-0.0014828184915494091,-0.0003714818286622,2.9916312916015664,28.35880x^(0.00002)+-28.36220
47,-0.0014720962042495955,-0.0003585698999127,3.1054650839571383,28.35880x^(0.00002)+-28.36220
48,-0.001461599662246016,-0.000346354598807,3.2199516544039497,28.35880x^(0.00002)+-28.36220
49,-0.0014513195555210245,-0.000334785397954,3.335074242755468,28.35880x^(0.00002)+-28.36220
50,-0.001441247138377122,-0.0003238163404144,3.4508165848971784,28.35880x^(0.00002)+-28.36220
51,-0.0014313741847331585,-0.0003134055473301,3.567162888235472,28.35880x^(0.00002)+-28.36220
52,-0.0014216929477584017,-0.0003035147867911,3.684097808838914,28.35880x^(0.00002)+-28.36220
53,-0.0014121961233435343,-0.0002941090953436,3.8016064300687544,28.35880x^(0.00002)+-28.36220
54,-0.0014028768170142314,-0.0002851564448778,3.919674242731619,28.35880x^(0.00002)+-28.36220
