Eigenstate,Residual Energy_10000
1,-0.036844929114497654090443986857623289
2,-0.02865983037837752977530141008339903
3,-0.01989329909905537660850843921622720
4,-0.01437970027840678741002630385477305
5,-0.0108739851159334893763708149260097
6,-0.0085334096187468500471923106010407
7,-0.0068962894986633664485153242706613
8,-0.0057053747866506221085960261367352
9,-0.0048105058193960763284507798466515
10,-0.0041197834973122189851035420495002
11,-0.0035745216178296267907455498087478
12,-0.0031358306849855672156280832365687
13,-0.0027771018657370070775960100942092
14,-0.0024796170562874601264997720075564
15,-0.0022298869977987429812871096724533
16,-0.002017982588600026878586629950738
17,-0.001836457454690645185538390488907
18,-0.001679633764692097815458960233050
19,-0.001543117594130438441218354547069
20,-0.001423463073348803264209877095486
21,-0.001317935195840354319753058362975
22,-0.001224339412896790449496156379643
23,-0.001140897291970520672889156368106
24,-0.001066154492119283685464013936322
25,-0.000998911768234638871287109292826
26,-0.000938172621485746253861692447109
27,-0.000883103141639776525418334523833
28,-0.000833000887890948004391567697836
29,-0.000787270546146081268949917916633
30,-0.000745404720099725148187657969851
31,-0.000706968649560648819242715697922
32,-0.000671587960375968539620604444639
33,-0.000638938774457494736309674643537
34,-0.000608739671781239360113958716989
35,-0.000580745116492433556036615112126
36,-0.000554740048616808191445392778587
37,-0.000530535409880331638693989442372
38,-0.000507964422794558340388803003185
39,-0.000486879480763114521266567664674
40,-0.000467149536596886907261052052985
41,-0.000448657899735202525107133921635
42,-0.000431300370300929448847166126544
43,-0.000414983652084127911478362131578
44,-0.000399623997554948085457322971104
45,-0.000385146046729312415480982537656
46,-0.000371481828662256795983487700285
47,-0.000358569899912767985903935897093
48,-0.000346354598807031662923089373510
49,-0.000334785397954009354186839596529
50,-0.00032381634041447445245608504012
51,-0.00031340554733010313538084063302
52,-0.00030351478679114495314672284461
53,-0.00029410909534367681440333166085
54,-0.00028515644487785402371380564944
55,-0.00027662744875017290012902848811
56,-0.00026849510191764171601089234748
57,-0.00026073455063423831839536239043
58,-0.00025332288790674800415760417539
59,-0.00024623897145148273142796487453
60,-0.00023946326135139240953436851319
61,-0.00023297767500101952646312385044
62,-0.00022676545725536245120993354911
63,-0.00022081106397846056778529436026
64,-0.00021510005742580014086436514538
65,-0.00020961901209822154702450967833
66,-0.00020435542987998677857871809044
67,-0.00019929766342343600487699795551
68,-0.00019443484687193647782694297587
69,-0.00018975683312416805591525843318
70,-0.00018525413693967627048494051518
71,-0.00018091788326853729502715957830
72,-0.00017673976026134745436169262066
73,-0.00017271197647829593359755404112
74,-0.00016882722187172902983181202567
75,-0.00016507863216439463530199489482
76,-0.00016145975628809364479897736256
77,-0.00015796452658410081887802593537
78,-0.00015458723149942675302586930770
79,-0.00015132249054151652370823646955
80,-0.00014816523127930527048309017612
81,-0.00014511066820056041802238668281
82,-0.00014215428325538529773308865812
83,-0.00013929180793307889074349650306
84,-0.00013651920673500615064677667958
85,-0.00013383266191987462780304541097
86,-0.00013122855941016283685639857374
87,-0.00012870347575908221360004939226
88,-0.00012625416608743443477613063043
89,-0.00012387755290827336312943837938
90,-0.00012157071576505890342748910665
91,-0.00011933088161592361777635345675
92,-0.00011715541590299456058019243925
93,-0.00011504181425120346665135939500
94,-0.00011298769474613614121378464797
95,-0.00011099079074491392985142951059
96,-0.00010904894417834242803457360913
97,-0.00010716009930595375597715419117
98,-0.00010532229688929322383948884396
99,-0.00010353366875136174513260803043
100,-0.00010179243269324274243319125478
101,-0.00010009688774111588992699286687
102,-0.00009844540969923792009705123698
103,-0.00009683644698653160882245431054
104,-0.00009526851673601484307336653381
105,-0.00009374020113836354430285861718
106,-0.00009225014401208501920127831050
107,-0.00009079704758433160476316555705
108,-0.00008937966946766492681076570355
109,-0.00008799681981908622940257950182
110,-0.00008664735866891695161138108247
111,-0.00008533019340788980478250252207
112,-0.00008404427642178800582558245986
113,-0.00008278860286379170037143581380
114,-0.00008156220855534974564435540186
115,-0.00008036416800714875318153832334
116,-0.00007919359255234192991759552508
117,-0.00007804962858480114415482101730
118,-0.00007693145589559794991845074157
119,-0.00007583828610155404253075657354
120,-0.00007476936115997469827525641615
121,-0.00007372395196421808100388303503
122,-0.00007270135701507068220435182310
123,-0.00007170090116326475317535678896
124,-0.00007072193441880928437869880816
125,-0.00006976383082304828424134059946
126,-0.00006882598737971656890828561387
127,-0.00006790782304145735893591163088
128,-0.00006700877774850250876701793782
129,-0.00006612831151648828438773755792
130,-0.00006526590357052333329650883207
131,-0.00006442105152283116015201039206
132,-0.00006359327059142578405223806641
133,-0.00006278209285761729917531447684
134,-0.00006198706655997648185163763842
135,-0.00006120775542279420652962245684
136,-0.00006044373801718285786528320677
137,-0.00005969460715286447403829764049
138,-0.00005895996929907075589644417143
139,-0.00005823944403294031897993023803
140,-0.00005753266351386727965933226805
141,-0.00005683927198252142964035766090
142,-0.00005615892528310847759128018679
143,-0.00005549129040768515749947246338
144,-0.00005483604506137142929989326325
145,-0.00005419287724737723481915179549
146,-0.00005356148487076259087309832714
147,-0.00005294157536000652958433524208
148,-0.00005233286530549126099193624769
149,-0.00005173508011394680624357107908
150,-0.00005114795367820708979174563132
151,-0.00005057122806130886574702294246
152,-0.00005000465319439458447899196663
153,-0.00004944798658762053515342209423
154,-0.00004890099305349430900431318922
155,-0.00004836344444200710920568436946
156,-0.00004783511938693845260441470908
157,-0.00004731580306291477308650836357
158,-0.00004680528695256835501467177854
159,-0.0000463033686234208604914215501
160,-0.0000458098515139542841004956701
161,-0.0000453245447284849603202086404
162,-0.0000448472628403852949453838308
163,-0.0000443778257033355616524330795
164,-0.0000439160582701471989690101308
165,-0.0000434617904188348458519100858
166,-0.0000430148567856658408552248344
167,-0.0000425750966048018792121068380
168,-0.0000421423535542207960017794735
169,-0.0000417164756077365400884229324
170,-0.0000412973148927114153104096994
171,-0.0000408847275533185408618611237
172,-0.0000404785736190370122697184092
173,-0.0000400787168782021024735489314
174,-0.0000396850247563492702252362537
175,-0.0000392973681991612709978796126
176,-0.0000389156215598149191492286355
177,-0.0000385396624905459710646080655
178,-0.0000381693718382442188459437858
179,-0.0000378046335439182553287740177
