State,Predicted energy,Original energy,Error,Formula
1,-0.0368449291145283,-0.0368449291144976,8.333468475233939e-13,-(x^(-0.00557))+-0.0368449291145283+1
2,-0.0329946841299491,-0.0286598303783775,0.15125189836580635,-(x^(-0.00557))+-0.0368449291145283+1
3,-0.030749311028655302,-0.0198932990990553,0.545711994553761,-(x^(-0.00557))+-0.0368449291145283+1
4,-0.029159263531811197,-0.0143797002784067,1.0278074624127078,-(x^(-0.00557))+-0.0368449291145283+1
5,-0.02792767885527303,-0.0108739851159334,1.5683021042902892,-(x^(-0.00557))+-0.0368449291145283+1
6,-0.02692253566703917,-0.0085334096187468,2.1549564441268387,-(x^(-0.00557))+-0.0368449291145283+1
7,-0.02607349455859287,-0.0068962894986633,2.7808004672145317,-(x^(-0.00557))+-0.0368449291145283+1
8,-0.025338610242595094,-0.0057053747866506,3.4411824271180604,-(x^(-0.00557))+-0.0368449291145283+1
9,-0.024690849502630896,-0.004810505819396,4.132692991052454,-(x^(-0.00557))+-0.0368449291145283+1
10,-0.024111767468780743,-0.0041197834973122,4.85267829838912,-(x^(-0.00557))+-0.0368449291145283+1
11,-0.023588216489453417,-0.0035745216178296,5.598985545868891,-(x^(-0.00557))+-0.0368449291145283+1
12,-0.023110494328066222,-0.0031358306849855,6.369815736136624,-(x^(-0.00557))+-0.0368449291145283+1
13,-0.0226712367838664,-0.002777101865737,7.163631685094779,-(x^(-0.00557))+-0.0368449291145283+1
14,-0.02226472223588949,-0.0024796170562874,7.9790970663935035,-(x^(-0.00557))+-0.0368449291145283+1
15,-0.02188641692135651,-0.0022298869977987,8.815034099468873,-(x^(-0.00557))+-0.0368449291145283+1
16,-0.021532667404543626,-0.0020179825886,9.67039305799074,-(x^(-0.00557))+-0.0368449291145283+1
17,-0.021200486528979656,-0.0018364574546906,10.544229611652746,-(x^(-0.00557))+-0.0368449291145283+1
18,-0.020887400702119807,-0.001679633764692,11.435687553560223,-(x^(-0.00557))+-0.0368449291145283+1
