State,Predicted energy,Original energy,Error,Formula
1,-0.0368449291145283,-0.0368449291144976,8.333468475233939e-13,-(x^(-0.00557))+0.9631550708854717
2,-0.03299468413055928,-0.0286598303783775,0.15125189838709674,-(x^(-0.00557))+0.9631550708854717
3,-0.030749311029620197,-0.0198932990990553,0.5457119946022645,-(x^(-0.00557))+0.9631550708854717
4,-0.02915926353302689,-0.0143797002784067,1.0278074624972502,-(x^(-0.00557))+0.9631550708854717
5,-0.02792767885668268,-0.0108739851159334,1.5683021044199241,-(x^(-0.00557))+0.9631550708854717
6,-0.026922535668606695,-0.0085334096187468,2.1549564443105313,-(x^(-0.00557))+0.9631550708854717
7,-0.026073494560293953,-0.0068962894986633,2.780800467461198,-(x^(-0.00557))+0.9631550708854717
8,-0.02533861024441153,-0.0057053747866506,3.441182427436433,-(x^(-0.00557))+0.9631550708854717
9,-0.02469084950454925,-0.004810505819396,4.132692991451239,-(x^(-0.00557))+0.9631550708854717
10,-0.024111767470789802,-0.0041197834973122,4.85267829887678,-(x^(-0.00557))+0.9631550708854717
11,-0.023588216491544522,-0.0035745216178296,5.5989855464538945,-(x^(-0.00557))+0.9631550708854717
12,-0.023110494330231934,-0.0031358306849855,6.369815736827258,-(x^(-0.00557))+0.9631550708854717
13,-0.022671236786100946,-0.002777101865737,7.163631685899412,-(x^(-0.00557))+0.9631550708854717
14,-0.02226472223818754,-0.0024796170562874,7.9790970673202795,-(x^(-0.00557))+0.9631550708854717
15,-0.02188641692371396,-0.0022298869977987,8.815034100526079,-(x^(-0.00557))+0.9631550708854717
16,-0.021532667406956252,-0.0020179825886,9.670393059186305,-(x^(-0.00557))+0.9631550708854717
17,-0.02120048653144402,-0.0018364574546906,10.544229612994657,-(x^(-0.00557))+0.9631550708854717
18,-0.02088740070463313,-0.001679633764692,11.435687555056575,-(x^(-0.00557))+0.9631550708854717
19,-0.020591338567000572,-0.0015431175941304,12.343985348442937,-(x^(-0.00557))+0.9631550708854717
20,-0.020310548278569707,-0.0014234630733488,13.268405453460533,-(x^(-0.00557))+0.9631550708854717
21,-0.020043535026655013,-0.0013179351958403,14.208285725972656,-(x^(-0.00557))+0.9631550708854717
22,-0.019789013098855945,-0.0012243394128967,15.163012388890223,-(x^(-0.00557))+0.9631550708854717
23,-0.019545868628909835,-0.0011408972919705,16.132014219396737,-(x^(-0.00557))+0.9631550708854717
24,-0.019313130284898894,-0.0010661544921192,17.11475769005119,-(x^(-0.00557))+0.9631550708854717
