State,Predicted energy,Original energy,Error,Formula
1,-1.0368449291145283,-0.0368449291144976,27.14077687305292,-(x^(-25.15822))+-0.0368449291145283
2,-0.036844955821193605,-0.0286598303783775,0.2855957392194267,-(x^(-25.15822))+-0.0368449291145283
3,-0.036844929115520224,-0.0198932990990553,0.8521276401695449,-(x^(-25.15822))+-0.0368449291145283
4,-0.03684492911452902,-0.0143797002784067,1.5622876973212902,-(x^(-25.15822))+-0.0368449291145283
5,-0.0368449291145283,-0.0108739851159334,2.3883556692146177,-(x^(-25.15822))+-0.0368449291145283
6,-0.0368449291145283,-0.0085334096187468,3.317726531442337,-(x^(-25.15822))+-0.0368449291145283
7,-0.0368449291145283,-0.0068962894986633,4.342717866132203,-(x^(-25.15822))+-0.0368449291145283
8,-0.0368449291145283,-0.0057053747866506,5.457933175702644,-(x^(-25.15822))+-0.0368449291145283
9,-0.0368449291145283,-0.004810505819396,6.659262975209225,-(x^(-25.15822))+-0.0368449291145283
10,-0.0368449291145283,-0.0041197834973122,7.943413929049041,-(x^(-25.15822))+-0.0368449291145283
11,-0.0368449291145283,-0.0035745216178296,9.307653178189486,-(x^(-25.15822))+-0.0368449291145283
12,-0.0368449291145283,-0.0031358306849855,10.749655136338676,-(x^(-25.15822))+-0.0368449291145283
13,-0.0368449291145283,-0.002777101865737,12.267402816262999,-(x^(-25.15822))+-0.0368449291145283
14,-0.0368449291145283,-0.0024796170562874,13.859120694101964,-(x^(-25.15822))+-0.0368449291145283
15,-0.0368449291145283,-0.0022298869977987,15.523227029396953,-(x^(-25.15822))+-0.0368449291145283
16,-0.0368449291145283,-0.0020179825886,17.258298819163706,-(x^(-25.15822))+-0.0368449291145283
17,-0.0368449291145283,-0.0018364574546906,19.063045305199196,-(x^(-25.15822))+-0.0368449291145283
18,-0.0368449291145283,-0.001679633764692,20.936287474719038,-(x^(-25.15822))+-0.0368449291145283
19,-0.0368449291145283,-0.0015431175941304,22.876941883545623,-(x^(-25.15822))+-0.0368449291145283
20,-0.0368449291145283,-0.0014234630733488,24.884007674219422,-(x^(-25.15822))+-0.0368449291145283
21,-0.0368449291145283,-0.0013179351958403,26.956556005803005,-(x^(-25.15822))+-0.0368449291145283
22,-0.0368449291145283,-0.0012243394128967,29.093721337742302,-(x^(-25.15822))+-0.0368449291145283
23,-0.0368449291145283,-0.0011408972919705,31.294694162076247,-(x^(-25.15822))+-0.0368449291145283
24,-0.0368449291145283,-0.0010661544921192,33.55871488314182,-(x^(-25.15822))+-0.0368449291145283
25,-0.0368449291145283,-0.0009989117682346,35.885068617867226,-(x^(-25.15822))+-0.0368449291145283
26,-0.0368449291145283,-0.0009381726214857,38.27308074305162,-(x^(-25.15822))+-0.0368449291145283
27,-0.0368449291145283,-0.0008831031416397,40.72211305478605,-(x^(-25.15822))+-0.0368449291145283
28,-0.0368449291145283,-0.0008330008878909,43.23156043424766,-(x^(-25.15822))+-0.0368449291145283
29,-0.0368449291145283,-0.000787270546146,45.80084793581923,-(x^(-25.15822))+-0.0368449291145283
30,-0.0368449291145283,-0.0007454047200997,48.42942823007639,-(x^(-25.15822))+-0.0368449291145283
31,-0.0368449291145283,-0.0007069686495606,51.116779347186636,-(x^(-25.15822))+-0.0368449291145283
32,-0.0368449291145283,-0.0006715879603759,53.862402676047864,-(x^(-25.15822))+-0.0368449291145283
