State,Predicted energy,Original energy,Error,Formula
1,-0.0404230938823115,-0.0368449291144976,0.09711417157825342,-0.04056x^(-0.9)+0.00014
2,-0.02159668323140952,-0.0286598303783775,-0.24644762560412065,-0.04056x^(-0.9)+0.00014
3,-0.014950404971502556,-0.0198932990990553,-0.24847030665655012,-0.04056x^(-0.9)+0.00014
4,-0.011507859566185833,-0.0143797002784067,-0.19971492149480824,-0.04056x^(-0.9)+0.00014
5,-0.009388344597771773,-0.0108739851159334,-0.1366233724179695,-0.04056x^(-0.9)+0.00014
6,-0.007946207234385747,-0.0085334096187468,-0.06881216425742011,-0.04056x^(-0.9)+0.00014
7,-0.006898554004255531,-0.0068962894986633,0.0003283657962256787,-0.04056x^(-0.9)+0.00014
8,-0.00610139282988839,-0.0057053747866506,0.06941139855779348,-0.04056x^(-0.9)+0.00014
9,-0.005473518838732448,-0.004810505819396,0.1378260507789376,-0.04056x^(-0.9)+0.00014
10,-0.004965572881591072,-0.0041197834973122,0.2052994738268834,-0.04056x^(-0.9)+0.00014
11,-0.0045457831867988996,-0.0035745216178296,0.2717179171961578,-0.04056x^(-0.9)+0.00014
12,-0.00419275060388647,-0.0031358306849855,0.33704623274513856,-0.04056x^(-0.9)+0.00014
13,-0.003891522382115719,-0.002777101865737,0.40128903088795015,-0.04056x^(-0.9)+0.00014
14,-0.003631327138889474,-0.0024796170562874,0.4644709471092559,-0.04056x^(-0.9)+0.00014
15,-0.0034042040125669133,-0.0022298869977987,0.5266262442569851,-0.04056x^(-0.9)+0.00014
16,-0.00320413904286399,-0.0020179825886,0.587793205434394,-0.04056x^(-0.9)+0.00014
17,-0.0030265022361262955,-0.0018364574546906,0.648011081550588,-0.04056x^(-0.9)+0.00014
18,-0.0028676697020951466,-0.001679633764692,0.7073184418991485,-0.04056x^(-0.9)+0.00014
19,-0.002724763459308943,-0.0015431175941304,0.7657523118608738,-0.04056x^(-0.9)+0.00014
20,-0.002595468203461785,-0.0014234630733488,0.8233477580530122,-0.04056x^(-0.9)+0.00014
21,-0.002477899685928544,-0.0013179351958403,0.8801377288878488,-0.04056x^(-0.9)+0.00014
22,-0.0023705084760995546,-0.0012243394128967,0.9361530398593476,-0.04056x^(-0.9)+0.00014
23,-0.0022720084676745578,-0.0011408972919705,0.9914224388686732,-0.04056x^(-0.9)+0.00014
24,-0.0021813229992114617,-0.0010661544921192,1.045972713462602,-0.04056x^(-0.9)+0.00014
