State,Predicted energy,Original energy,Error,Formula
1,-0.04225091932846594,-0.0368449291144976,0.1467227741752179,-0.04225x^(0.98469)
2,-0.02135088441331893,-0.0286598303783775,-0.2550240482432452,-0.04225x^(0.98469)
3,-0.01432257526591014,-0.0198932990990553,-0.2800301652032017,-0.04225x^(0.98469)
4,-0.01078935730810894,-0.0143797002784067,-0.24968134945685921,-0.04225x^(0.98469)
5,-0.008661030247377327,-0.0108739851159334,-0.20350909486840116,-0.04225x^(0.98469)
6,-0.007237704027838277,-0.0085334096187468,-0.15183914153869113,-0.04225x^(0.98469)
7,-0.006218407702508997,-0.0068962894986633,-0.09829659794382126,-0.04225x^(0.98469)
8,-0.005452243985238651,-0.0057053747866506,-0.044367076813993475,-0.04225x^(0.98469)
9,-0.00485518813573965,-0.004810505819396,0.009288486080505394,-0.04225x^(0.98469)
10,-0.004376725019268984,-0.0041197834973122,0.06236772445066966,-0.04225x^(0.98469)
11,-0.003984652261531945,-0.0035745216178296,0.11473721173111014,-0.04225x^(0.98469)
12,-0.0036574679219364267,-0.0031358306849855,0.16634738586128064,-0.04225x^(0.98469)
13,-0.003380264894506738,-0.002777101865737,0.2171915392126488,-0.04225x^(0.98469)
14,-0.003142381425099806,-0.0024796170562874,0.26728496931890294,-0.04225x^(0.98469)
15,-0.002935989549340063,-0.0022298869977987,0.3166539614959921,-0.04225x^(0.98469)
16,-0.002755211791181408,-0.0020179825886,0.36532981342166576,-0.04225x^(0.98469)
17,-0.0025955489712072206,-0.0018364574546906,0.41334554992155254,-0.04225x^(0.98469)
18,-0.002453498346040806,-0.001679633764692,0.4607341181252759,-0.04225x^(0.98469)
19,-0.0023262920796072186,-0.0015431175941304,0.507527416222718,-0.04225x^(0.98469)
20,-0.0022117140048201187,-0.0014234630733488,0.5537557989592954,-0.04225x^(0.98469)
21,-0.0021079686257452664,-0.0013179351958403,0.5994478578298004,-0.04225x^(0.98469)
22,-0.002013585768438412,-0.0012243394128967,0.6446303592191084,-0.04225x^(0.98469)
23,-0.0019273500507418044,-0.0011408972919705,0.6893282719717768,-0.04225x^(0.98469)
24,-0.0018482479455559282,-0.0010661544921192,0.7335648437612055,-0.04225x^(0.98469)
25,-0.0017754275205899663,-0.0009989117682346,0.7773617020527456,-0.04225x^(0.98469)
26,-0.0017081674480959395,-0.0009381726214857,0.820738965277912,-0.04225x^(0.98469)
27,-0.0016458528857958914,-0.0008831031416397,0.8637153557623602,-0.04225x^(0.98469)
28,-0.0015879565144672177,-0.0008330008878909,0.9063083095719292,-0.04225x^(0.98469)
29,-0.0015340234898532522,-0.000787270546146,0.9485340806447066,-0.04225x^(0.98469)
30,-0.0014836593973101614,-0.0007454047200997,0.9904078379215491,-0.04225x^(0.98469)
31,-0.0014365205324609125,-0.0007069686495606,1.0319437550077344,-0.04225x^(0.98469)
32,-0.001392306000028131,-0.0006715879603759,1.0731550923706732,-0.04225x^(0.98469)
33,-0.001350751245921883,-0.0006389387744574,1.1140542723658753,-0.04225x^(0.98469)
34,-0.001311622728076775,-0.0006087396717812,1.1546529475217333,-0.04225x^(0.98469)
35,-0.0012747134987348941,-0.0005807451164924,1.194962062589425,-0.04225x^(0.98469)
36,-0.0012398395212975455,-0.0005547400486168,1.2349919108760694,-0.04225x^(0.98469)
37,-0.0012068365830474768,-0.0005305354098803,1.2747521853814896,-0.04225x^(0.98469)
38,-0.0011755576941931696,-0.0005079644227945,1.3142520252225387,-0.04225x^(0.98469)
39,-0.001145870886119826,-0.0004868794807631,1.3535000578045926,-0.04225x^(0.98469)
40,-0.0011176573391248766,-0.0004671495365968,1.3925044371595607,-0.04225x^(0.98469)
41,-0.0010908097834967502,-0.0004486578997352,1.431272878824938,-0.04225x^(0.98469)
42,-0.0010652311284707863,-0.0004313003703009,1.4698126916228236,-0.04225x^(0.98469)
43,-0.0010408332820403437,-0.0004149836520841,1.5081308066309318,-0.04225x^(0.98469)
44,-0.0010175361313207543,-0.0003996239975549,1.5462338036417997,-0.04225x^(0.98469)
45,-0.000995266658541497,-0.0003851460467293,1.5841279353466153,-0.04225x^(0.98469)
46,-0.0009739581720691224,-0.0003714818286622,1.6218191494765495,-0.04225x^(0.98469)
47,-0.0009535496353633006,-0.0003585698999127,1.659313109091027,-0.04225x^(0.98469)
48,-0.0009339850796129788,-0.000346354598807,1.6966152112027406,-0.04225x^(0.98469)
49,-0.0009152130881225778,-0.000334785397954,1.7337306038907032,-0.04225x^(0.98469)
50,-0.00089718634242362,-0.0003238163404144,1.7706642020456926,-0.04225x^(0.98469)
51,-0.0008798612216568971,-0.0003134055473301,1.8074207018747102,-0.04225x^(0.98469)
