State,Predicted energy,Original energy,Error,Formula
1,-0.04291704531643362,-0.0368449291144976,0.16480195098399017,-0.04299x^(-1)+0.00007
2,-0.021421424700907625,-0.0286598303783775,-0.2525627535789923,-0.04299x^(-1)+0.00007
3,-0.014256217829065625,-0.0198932990990553,-0.2833658329832969,-0.04299x^(-1)+0.00007
4,-0.010673614393144624,-0.0143797002784067,-0.25773039865283737,-0.04299x^(-1)+0.00007
5,-0.008524052331592024,-0.0108739851159334,-0.21610594085677692,-0.04299x^(-1)+0.00007
6,-0.007091010957223624,-0.0085334096187468,-0.16902958207401794,-0.04299x^(-1)+0.00007
7,-0.00606740997553191,-0.0068962894986633,-0.12019210088150313,-0.04299x^(-1)+0.00007
8,-0.005299709239263124,-0.0057053747866506,-0.07110234867245702,-0.04299x^(-1)+0.00007
9,-0.004702608666609624,-0.004810505819396,-0.022429481812772,-0.04299x^(-1)+0.00007
10,-0.0042249282084868235,-0.0041197834973122,0.02552190212015292,-0.04299x^(-1)+0.00007
11,-0.0038340987427499876,-0.0035745216178296,0.07261870333239137,-0.04299x^(-1)+0.00007
12,-0.0035084075213026237,-0.0031358306849855,0.11881280392498193,-0.04299x^(-1)+0.00007
13,-0.0032328226416163926,-0.002777101865737,0.16409940935258108,-0.04299x^(-1)+0.00007
14,-0.0029966070304567665,-0.0024796170562874,0.20849589369393529,-0.04299x^(-1)+0.00007
15,-0.0027918868341184236,-0.0022298869977987,0.25203063512838036,-0.04299x^(-1)+0.00007
16,-0.0026127566623223735,-0.0020179825886,0.294736970022623,-0.04299x^(-1)+0.00007
17,-0.002454700628384682,-0.0018364574546906,0.3366498756151374,-0.04299x^(-1)+0.00007
18,-0.0023142063759956236,-0.001679633764692,0.377804152692767,-0.04299x^(-1)+0.00007
19,-0.0021885009922790973,-0.0015431175941304,0.4182334519440129,-0.04299x^(-1)+0.00007
20,-0.0020753661469342234,-0.0014234630733488,0.45796978213967593,-0.04299x^(-1)+0.00007
21,-0.001973006048765052,-0.0013179351958403,0.49704329544601517,-0.04299x^(-1)+0.00007
22,-0.0018799514140658054,-0.0012243394128967,0.5354822316942114,-0.04299x^(-1)+0.00007
23,-0.0017949884867317105,-0.0011408972919705,0.5733129523267579,-0.04299x^(-1)+0.00007
24,-0.0017171058033421235,-0.0010661544921192,0.6105600229935015,-0.04299x^(-1)+0.00007
25,-0.0016454537346237035,-0.0009989117682346,0.6472463203949956,-0.04299x^(-1)+0.00007
26,-0.001579313363499008,-0.0009381726214857,0.6833931489047195,-0.04299x^(-1)+0.00007
