State,Predicted energy,Original energy,Error,Formula
1,-0.04455933375677286,-0.0368449291144976,0.20937493510443012,-0.04449x^(-2)+-0.00007
2,-0.01118917567493759,-0.0286598303783775,-0.6095868144642163,-0.04449x^(-2)+-0.00007
3,-0.00500951677089402,-0.0198932990990553,-0.7481806941146371,-0.04449x^(-2)+-0.00007
4,-0.002846636154478771,-0.0143797002784067,-0.8020378659245473,-0.04449x^(-2)+-0.00007
5,-0.0018455314120237132,-0.0108739851159334,-0.830280123400252,-0.04449x^(-2)+-0.00007
6,-0.001301721428467879,-0.0085334096187468,-0.8474558837995817,-0.04449x^(-2)+-0.00007
7,-0.0009738211600900569,-0.0068962894986633,-0.8587905626237397,-0.04449x^(-2)+-0.00007
8,-0.0007610012743640667,-0.0057053747866506,-0.8666167775437552,-0.04449x^(-2)+-0.00007
9,-0.0006150926613519269,-0.004810505819396,-0.8721355540467558,-0.04449x^(-2)+-0.00007
10,-0.0005107250887503022,-0.0041197834973122,-0.8760310853510855,-0.04449x^(-2)+-0.00007
11,-0.00043350488823035285,-0.0035745216178296,-0.8787236630300278,-0.04449x^(-2)+-0.00007
12,-0.0003747725928613437,-0.0031358306849855,-0.8804869808004074,-0.04449x^(-2)+-0.00007
13,-0.0003290650565888321,-0.002777101865737,-0.8815077471054511,-0.04449x^(-2)+-0.00007
14,-0.0002927975257668882,-0.0024796170562874,-0.8819182482131823,-0.04449x^(-2)+-0.00007
15,-0.0002635387325885595,-0.0022298869977987,-0.8818152072958317,-0.04449x^(-2)+-0.00007
16,-0.00023959255433539064,-0.0020179825886,-0.8812712479835563,-0.04449x^(-2)+-0.00007
17,-0.00021974654769070056,-0.0018364574546906,-0.8803421516085583,-0.04449x^(-2)+-0.00007
18,-0.00020311540108235572,-0.001679633764692,-0.8790716134956946,-0.04449x^(-2)+-0.00007
19,-0.0001890404623658514,-0.0015431175941304,-0.8774944546773946,-0.04449x^(-2)+-0.00007
20,-0.00017702350793194954,-0.0014234630733488,-0.8756388477886616,-0.04449x^(-2)+-0.00007
21,-0.00016668203792926436,-0.0013179351958403,-0.8735278954114357,-0.04449x^(-2)+-0.00007
22,-0.0001577184578019622,-0.0012243394128967,-0.871180772144865,-0.04449x^(-2)+-0.00007
23,-0.00014989842669340666,-0.0011408972919705,-0.8686135660515859,-0.04449x^(-2)+-0.00007
24,-0.0001430353839597099,-0.0010661544921192,-0.8658399087402447,-0.04449x^(-2)+-0.00007
25,-0.0001369793182337472,-0.0009989117682346,-0.8628714541266903,-0.04449x^(-2)+-0.00007
26,-0.00013160849989158198,-0.0009381726214857,-0.8597182470714554,-0.04449x^(-2)+-0.00007
27,-0.0001268233158472499,-0.0008831031416397,-0.8563890106745957,-0.04449x^(-2)+-0.00007
28,-0.000122541617186096,-0.0008330008878909,-0.8528913726654447,-0.04449x^(-2)+-0.00007
29,-0.00011869516978652996,-0.000787270546146,-0.8492320456194004,-0.04449x^(-2)+-0.00007
30,-0.00011522691889151383,-0.0007454047200997,-0.8454169717678982,-0.04449x^(-2)+-0.00007
31,-0.00011208886109216601,-0.0007069686495606,-0.8414514403689156,-0.04449x^(-2)+-0.00007
32,-0.00010924037432822164,-0.0006715879603759,-0.8373401836044264,-0.04449x^(-2)+-0.00007
33,-0.00010664689661151947,-0.0006389387744574,-0.8330874555201534,-0.04449x^(-2)+-0.00007
34,-0.0001042788726670491,-0.0006087396717812,-0.8286970974605214,-0.04449x^(-2)+-0.00007
35,-0.00010211090815640095,-0.0005807451164924,-0.8241725926631408,-0.04449x^(-2)+-0.00007
36,-0.00010012108601496289,-0.0005547400486168,-0.8195171120877124,-0.04449x^(-2)+-0.00007
