State,Predicted energy,Original energy,Error,Formula
1,0.5368449291144975,-0.0368449291144976,-15.570388436526041,-0.07959ln(x) + 0.5368449291144975
2,0.481678640333292,-0.0286598303783775,-17.806751260352748,-0.07959ln(x) + 0.5368449291144975
3,0.4494084300923325,-0.0198932990990553,-23.59094521499826,-0.07959ln(x) + 0.5368449291144975
4,0.42651235155208644,-0.0143797002784067,-30.660726113503173,-0.07959ln(x) + 0.5368449291144975
5,0.40875277330274684,-0.0108739851159334,-38.58996990935833,-0.07959ln(x) + 0.5368449291144975
6,0.39424214131112695,-0.0085334096187468,-47.19983792235026,-0.07959ln(x) + 0.5368449291144975
7,0.3819735767729289,-0.0068962894986633,-56.38827464348276,-0.07959ln(x) + 0.5368449291144975
8,0.3713460627708809,-0.0057053747866506,-66.08705854692563,-0.07959ln(x) + 0.5368449291144975
9,0.36197193107016745,-0.004810505819396,-76.24612684401993,-0.07959ln(x) + 0.5368449291144975
10,0.35358648452154123,-0.0041197834973122,-86.82647237463463,-0.07959ln(x) + 0.5368449291144975
11,0.34600092542191896,-0.0035745216178296,-97.79642828178108,-0.07959ln(x) + 0.5368449291144975
12,0.33907585252992134,-0.0031358306849855,-109.12951545931098,-0.07959ln(x) + 0.5368449291144975
13,0.3327054030060831,-0.002777101865737,-120.80309657016784,-0.07959ln(x) + 0.5368449291144975
14,0.3268072879917233,-0.0024796170562874,-132.7974834715142,-0.07959ln(x) + 0.5368449291144975
15,0.3213162742805818,-0.0022298869977987,-145.09531720566056,-0.07959ln(x) + 0.5368449291144975
16,0.3161797739896753,-0.0020179825886,-157.68112092534398,-0.07959ln(x) + 0.5368449291144975
17,0.31135477363163433,-0.0018364574546906,-170.54096749499175,-0.07959ln(x) + 0.5368449291144975
18,0.3068056422889619,-0.001679633764692,-183.6622259794961,-0.07959ln(x) + 0.5368449291144975
19,0.3025025331862402,-0.0015431175941304,-197.03336410451,-0.07959ln(x) + 0.5368449291144975
20,0.29842019574033574,-0.0014234630733488,-210.6437914882334,-0.07959ln(x) + 0.5368449291144975
21,0.2945370777507639,-0.0013179351958403,-224.48373325212737,-0.07959ln(x) + 0.5368449291144975
22,0.2908346366407134,-0.0012243394128967,-238.54412671615245,-0.07959ln(x) + 0.5368449291144975
23,0.2872968039269812,-0.0011408972919705,-252.81653593968718,-0.07959ln(x) + 0.5368449291144975
24,0.2839095637487158,-0.0010661544921192,-267.2930802686837,-0.07959ln(x) + 0.5368449291144975
25,0.28066061749099613,-0.0009989117682346,-281.9663740242185,-0.07959ln(x) + 0.5368449291144975
26,0.27753911422487754,-0.0009381726214857,-296.8294751613661,-0.07959ln(x) + 0.5368449291144975
27,0.2745354320480024,-0.0008831031416397,-311.8758412276275,-0.07959ln(x) + 0.5368449291144975
28,0.27164099921051776,-0.0008330008878909,-327.0992913204376,-0.07959ln(x) + 0.5368449291144975
29,0.2688481466436815,-0.000787270546146,-342.4939730182963,-0.07959ln(x) + 0.5368449291144975
30,0.26614998549937624,-0.0007454047200997,-358.0543334683713,-0.07959ln(x) + 0.5368449291144975
31,0.26354030477691204,-0.0007069686495606,-373.7750939744067,-0.07959ln(x) + 0.5368449291144975
32,0.26101348520846973,-0.0006715879603759,-389.6512275508569,-0.07959ln(x) + 0.5368449291144975
33,0.25856442639975397,-0.0006389387744574,-405.67793900805634,-0.07959ln(x) + 0.5368449291144975
34,0.2561884848504287,-0.0006087396717812,-421.8506472082057,-0.07959ln(x) + 0.5368449291144975
35,0.2538814209611782,-0.0005807451164924,-438.16496919436554,-0.07959ln(x) + 0.5368449291144975
36,0.25163935350775635,-0.0005547400486168,-454.6167059421777,-0.07959ln(x) + 0.5368449291144975
37,0.24945872035398764,-0.0005305354098803,-471.201829525895,-0.07959ln(x) + 0.5368449291144975
38,0.24733624440503466,-0.0005079644227945,-487.91647152047886,-0.07959ln(x) + 0.5368449291144975
39,0.2452689039839181,-0.0004868794807631,-504.756912489927,-0.07959ln(x) + 0.5368449291144975
40,0.24325390695913013,-0.0004671495365968,-521.7195724333646,-0.07959ln(x) + 0.5368449291144975
41,0.24128866806740956,-0.0004486578997352,-538.8010020771266,-0.07959ln(x) + 0.5368449291144975
42,0.23937078896955827,-0.0004313003703009,-555.9978749208108,-0.07959ln(x) + 0.5368449291144975
43,0.23749804065332403,-0.0004149836520841,-573.3069799510873,-0.07959ln(x) + 0.5368449291144975
44,0.23566834785950785,-0.0003996239975549,-590.7252149556707,-0.07959ln(x) + 0.5368449291144975
45,0.23387977525841674,-0.0003851460467293,-608.2495803722976,-0.07959ln(x) + 0.5368449291144975
46,0.23213051514577565,-0.0003714818286622,-625.8771736204066,-0.07959ln(x) + 0.5368449291144975
47,0.230418876461984,-0.0003585698999127,-643.6051838653591,-0.07959ln(x) + 0.5368449291144975
48,0.22874327496751024,-0.000346354598807,-661.4308871757564,-0.07959ln(x) + 0.5368449291144975
49,0.2271022244313603,-0.000334785397954,-679.3516420347714,-0.07959ln(x) + 0.5368449291144975
50,0.22549432870979058,-0.0003238163404144,-697.3648851729254,-0.07959ln(x) + 0.5368449291144975
51,0.22391827460946928,-0.0003134055473301,-715.4681276927856,-0.07959ln(x) + 0.5368449291144975
52,0.22237282544367198,-0.0003035147867911,-733.6589514623037,-0.07959ln(x) + 0.5368449291144975
53,0.22085681520228984,-0.0002941090953436,-751.9350057476753,-0.07959ln(x) + 0.5368449291144975
