State,Predicted energy,Original energy,Error,Formula
1,-0.0368449291145283,-0.0368449291144976,8.333468475233939e-13,0.00930ln(x) + -0.0368449291145283
2,-0.030398865254016888,-0.0286598303783775,0.06067847760018176,0.00930ln(x) + -0.0368449291145283
3,-0.02662815961836386,-0.0198932990990553,0.3385492012045598,0.00930ln(x) + -0.0368449291145283
4,-0.023952801393505474,-0.0143797002784067,0.6657371801743488,0.00930ln(x) + -0.0368449291145283
5,-0.021877632335368755,-0.0108739851159334,1.0119240648317576,0.00930ln(x) + -0.0368449291145283
6,-0.020182095757852445,-0.0085334096187468,1.365068203630467,0.00930ln(x) + -0.0368449291145283
7,-0.01874854000782394,-0.0068962894986633,1.7186416712143464,0.00930ln(x) + -0.0368449291145283
8,-0.01750673753299406,-0.0057053747866506,2.068464068996171,0.00930ln(x) + -0.0368449291145283
9,-0.016411390122199415,-0.004810505819396,2.411572657500704,0.00930ln(x) + -0.0368449291145283
10,-0.01543156847485734,-0.0041197834973122,2.7457231635898087,0.00930ln(x) + -0.0368449291145283
11,-0.014545211979719912,-0.0035745216178296,3.0691352675470913,0.00930ln(x) + -0.0368449291145283
12,-0.01373603189734103,-0.0031358306849855,3.3803487105058885,0.00930ln(x) + -0.0368449291145283
13,-0.012991658379417962,-0.002777101865737,3.6781353394720275,0.00930ln(x) + -0.0368449291145283
14,-0.012302476147312526,-0.0024796170562874,3.9614419759365487,0.00930ln(x) + -0.0368449291145283
15,-0.011660862839204315,-0.0022298869977987,4.22935146521581,0.00930ln(x) + -0.0368449291145283
16,-0.011060673672482643,-0.0020179825886,4.481055057148,0.00930ln(x) + -0.0368449291145283
17,-0.010496882612361182,-0.0018364574546906,4.715832177625732,0.00930ln(x) + -0.0368449291145283
18,-0.009965326261688005,-0.001679633764692,4.93303520753846,0.00930ln(x) + -0.0368449291145283
19,-0.00946251708804749,-0.0015431175941304,5.132077765194522,0.00930ln(x) + -0.0368449291145283
20,-0.008985504614345927,-0.0014234630733488,5.312425508311134,0.00930ln(x) + -0.0368449291145283
21,-0.008531770511659497,-0.0013179351958403,5.473588791457793,0.00930ln(x) + -0.0368449291145283
22,-0.008099148119208498,-0.0012243394128967,5.615116718366918,0.00930ln(x) + -0.0368449291145283
23,-0.007685759868804865,-0.0011408972919705,5.736592261982155,0.00930ln(x) + -0.0368449291145283
24,-0.007289968036829613,-0.0010661544921192,5.837628214968463,0.00930ln(x) + -0.0368449291145283
25,-0.006910335556209211,-0.0009989117682346,5.91786379534001,0.00930ln(x) + -0.0368449291145283
26,-0.0065455945189065445,-0.0009381726214857,5.97696177547888,0.00930ln(x) + -0.0368449291145283
27,-0.006194620626034975,-0.0008831031416397,6.014606034050707,0.00930ln(x) + -0.0368449291145283
28,-0.0058564122868011124,-0.0008330008878909,6.0304994531628155,0.00930ln(x) + -0.0368449291145283
29,-0.005530073386785177,-0.000787270546146,6.024362099988458,0.00930ln(x) + -0.0368449291145283
30,-0.005214798978692897,-0.0007454047200997,5.995929644764528,0.00930ln(x) + -0.0368449291145283
