State,Predicted energy,Original energy,Error,Formula
1,-0.0031635273851242096,-0.0368449291144976,-0.9141394091085538,0.03368x^(-0.01317)+ -0.0368449291145283
2,-0.0028545681291675326,-0.0286598303783775,-0.9003982894706464,0.03368x^(-0.01317)+ -0.0368449291145283
3,-0.002672526411981596,-0.0198932990990553,-0.8656569531944297,0.03368x^(-0.01317)+ -0.0368449291145283
4,-0.002542774792176815,-0.0143797002784067,-0.8231691382333485,0.03368x^(-0.01317)+ -0.0368449291145283
5,-0.0024417924384492196,-0.0108739851159334,-0.7754464060401078,0.03368x^(-0.01317)+ -0.0368449291145283
6,-0.0023590632076276735,-0.0085334096187468,-0.7235497517375569,0.03368x^(-0.01317)+ -0.0368449291145283
7,-0.00228896145279827,-0.0068962894986633,-0.6680879691547263,0.03368x^(-0.01317)+ -0.0368449291145283
8,-0.002228121377147098,-0.0057053747866506,-0.6094697613274342,0.03368x^(-0.01317)+ -0.0368449291145283
9,-0.002174367721426755,-0.004810505819396,-0.5479960313820459,0.03368x^(-0.01317)+ -0.0368449291145283
10,-0.0021262127130146427,-0.0041197834973122,-0.4839018326079972,0.03368x^(-0.01317)+ -0.0368449291145283
11,-0.0020825935935127743,-0.0035745216178296,-0.4173783750181105,0.03368x^(-0.01317)+ -0.0368449291145283
12,-0.002042724607553434,-0.0031358306849855,-0.34858580938885114,0.03368x^(-0.01317)+ -0.0368449291145283
13,-0.0020060083177379784,-0.002777101865737,-0.27766124012681304,0.03368x^(-0.01317)+ -0.0368449291145283
14,-0.0019719798098308816,-0.0024796170562874,-0.2047240500985168,0.03368x^(-0.01317)+ -0.0368449291145283
15,-0.0019402701525650726,-0.0022298869977987,-0.12987960623992667,0.03368x^(-0.01317)+ -0.0368449291145283
16,-0.0019105816486030894,-0.0020179825886,-0.053221935909477505,0.03368x^(-0.01317)+ -0.0368449291145283
17,-0.0018826705850721742,-0.0018364574546906,0.025164280426719768,0.03368x^(-0.01317)+ -0.0368449291145283
18,-0.001856334910985212,-0.001679633764692,0.10520218752902613,0.03368x^(-0.01317)+ -0.0368449291145283
19,-0.0018314052432411784,-0.0015431175941304,0.1868215683674053,0.03368x^(-0.01317)+ -0.0368449291145283
20,-0.0018077381770270837,-0.0014234630733488,0.2699579011728409,0.03368x^(-0.01317)+ -0.0368449291145283
21,-0.0017852112263051223,-0.0013179351958403,0.3545515985457028,0.03368x^(-0.01317)+ -0.0368449291145283
22,-0.001763718939655566,-0.0012243394128967,0.4405473850447504,0.03368x^(-0.01317)+ -0.0368449291145283
23,-0.001743169878218577,-0.0011408972919705,0.5278937819265592,0.03368x^(-0.01317)+ -0.0368449291145283
24,-0.0017234842357746055,-0.0010661544921192,0.616542676051412,0.03368x^(-0.01317)+ -0.0368449291145283
25,-0.0017045919438306856,-0.0009989117682346,0.7064489557904104,0.03368x^(-0.01317)+ -0.0368449291145283
26,-0.0016864311476966001,-0.0009381726214857,0.7975702009145718,0.03368x^(-0.01317)+ -0.0368449291145283
