Matrix size,Eigenvalue 1,Adjusted Eigenvalue,Log(Adjusted Eigenvalue),Log(Eigenvalue 1)
1,0.536844929114528343918880273712156099,0.036844929114528343918880273712156099,-1.433622274673794105837032475392334163188934326171875,-0.270151144757871553014894061561790294945240020751953125
2,0.503227070346064374012295817994211804,0.003227070346064374012295817994211804,-2.491191567420826036283187931985594332218170166015625,-0.298236004713618940709096705177216790616512298583984375
3,0.500966546529793417523068733672653522,0.000966546529793417523068733672653522,-3.01477723408641917757222472573630511760711669921875,-0.300191274417378417549429059363319538533687591552734375
4,0.500417399452992985002890011285029941,0.000417399452992985002890011285029941,-3.3794481244183458557017729617655277252197265625,-0.300667598349016518266552111526834778487682342529296875
5,0.500217960522471971158284126805621138,0.000217960522471971158284126805621138,-3.6616221597217641914312480366788804531097412109375,-0.300840718811501595109092477287049405276775360107421875
6,0.500128104671212273503428080419334000,0.000128104671212273503428080419334000,-3.892435033840584868158885001321323215961456298828125,-0.300918739612165586638781178407953120768070220947265625
7,0.500081664405705688082489478314484013,0.000081664405705688082489478314484013,-4.08796719406700059806780700455419719219207763671875,-0.3009590686545038362709192369948141276836395263671875
8,0.500055247114567288987596029634417437,0.000055247114567288987596029634417437,-4.257690399275933401668225997127592563629150390625,-0.300982011280935768393618445770698599517345428466796875
9,0.500039112799761668449755917251697326,0.000039112799761668449755917251697326,-4.40768109538708330319423112086951732635498046875,-0.300996024046472410162778032827191054821014404296875
10,0.500028702462125662622459941835775763,0.000028702462125662622459941835775763,-4.54208084745675844118295572116039693355560302734375,-0.30100506573768825990811137671698816120624542236328125
11,0.500021684846014881365774260789054630,0.000021684846014881365774260789054630,-4.663843657449955770744054461829364299774169921875,-0.3010111608544778771801020411658100783824920654296875
12,0.500016782142915590632051615666073333,0.000016782142915590632051615666073333,-4.77515258480673399077431895420886576175689697265625,-0.30101541912447993265544710084213875234127044677734375
13,0.500013253553626604355940791180734371,0.000013253553626604355940791180734371,-4.87766766033063703389416332356631755828857421875,-0.301018483926140667517046267676050774753093719482421875
14,0.500010649244328532923553566068974014,0.000010649244328532923553566068974014,-4.97268120871275431937874600407667458057403564453125,-0.301020745946386669711358763379394076764583587646484375
15,0.500008685217152308322732484229013635,0.000008685217152308322732484229013635,-5.06121931862502805188341881148517131805419921875,-0.301022451845733896025336662205518223345279693603515625
16,0.500007176117252987607155081187815839,0.000007176117252987607155081187815839,-5.144110473822731677273623063229024410247802734375,-0.301023762612461276422237688166205771267414093017578125
17,0.500005997450135143696523968541544348,0.000005997450135143696523968541544348,-5.2220333542183166031236396520398557186126708984375,-0.301024786376225150785757023186306469142436981201171875
18,0.500005063479129144146934039531041696,0.000005063479129144146934039531041696,-5.295550975773689827974521904252469539642333984375,-0.301025597604160644049642314712400548160076141357421875
19,0.500004313843542940770713479940647869,0.000004313843542940770713479940647869,-5.3651356102000153924791447934694588184356689453125,-0.30102624872325189908650600045803003013134002685546875
20,0.500003705208701022401177514535246355,0.000003705208701022401177514535246355,-5.43118732475625876077174325473606586456298828125,-0.3010267773725192608225142976152710616588592529296875
21,0.500003205914901272780189665060894671,0.000003205914901272780189665060894671,-5.494048009866514092891520704142749309539794921875,-0.301027211050606202658030952079570852220058441162109375
22,0.500002792465696977076209863467516149,0.000002792465696977076209863467516149,-5.5540121531112145447650618734769523143768310546875,-0.301027570165868063600811410651658661663532257080078125
23,0.500002447173571292185332793706633826,0.000002447173571292185332793706633826,-5.61133522624238167963994783349335193634033203125,-0.301027870081226278653474537350120954215526580810546875
24,0.500002156550866680129296269979067748,0.000002156550866680129296269979067748,-5.66624029367014703240101880510337650775909423828125,-0.30102812251173804991566385069745592772960662841796875
25,0.500001910190685001506719258420891583,0.000001910190685001506719258420891583,-5.71892327709239367550253518857061862945556640625,-0.301028336496602821892309975737589411437511444091796875
26,0.500001699976071083889884891624105283,0.000001699976071083889884891624105283,-5.7695571917213523960299426107667386531829833984375,-0.30102851908603722730362051152042113244533538818359375
27,0.500001519512977877991213953803911084,0.000001519512977877991213953803911084,-5.8182955863397278761794950696639716625213623046875,-0.301028675833783732063153593117021955549716949462890625
28,0.500001363718209497390346320200657749,0.000001363718209497390346320200657749,-5.86527536040051078458645861246623098850250244140625,-0.301028811155010067590609423859859816730022430419921875
29,0.500001228516266023447673726119645193,0.000001228516266023447673726119645193,-5.910619088921418295967669109813868999481201171875,-0.301028928589621547207144658386823721230030059814453125
30,0.500001110613747605615316278364894122,0.000001110613747605615316278364894122,-5.9544369549654643236635820358060300350189208984375,-0.30102903099820832455435493102413602173328399658203125
31,0.500001007329687287633530249940308182,0.000001007329687287633530249940308182,-5.996828366649541663946365588344633579254150390625,-0.30102912070941323374739795326604507863521575927734375
32,0.500000916466683168936225610104280058,9.16466683168936225610104280058E-7,-6.0378833185674363193129465798847377300262451171875,-0.301029199631863975117340714859892614185810089111328125
33,0.500000836212115103748288501974367938,8.36212115103748288501974367938E-7,-6.07768354464904536627045672503300011157989501953125,-0.30102926933997398162290437539923004806041717529296875
34,0.500000765061769000027782808462615237,7.65061769000027782808462615237E-7,-6.11630349967918096609764688764698803424835205078125,-0.301029331140280353995564155411557294428348541259765625
35,0.500000701760308362022037800046898082,7.01760308362022037800046898082E-7,-6.1538111991682473700393529725261032581329345703125,-0.3010293861231498890873581331106834113597869873046875
36,0.500000645254524630382253703943360183,6.45254524630382253703943360183E-7,-6.1902689414293963210411675390787422657012939453125,-0.301029435203383932684317869643564336001873016357421875
37,0.500000594656360973598506935731152059,5.94656360973598506935731152059E-7,-6.225733931155591704964535892941057682037353515625,-0.301029479152335965874698331390391103923320770263671875
