Matrix size,Eigenvalue 2,Adjusted Eigenvalue,Log(Adjusted Eigenvalue)
1,,,
2,1.90850862679815670935783502815494480,0.0622776891468722118163114315980246263612916233779,-1.205667510576959866597235304652713239192962646484375
3,1.85538194129764085294856945985748542,0.0091510036463563554070458633005652463612916233779,-2.0385312715979484465833593276329338550567626953125
4,1.84955906520274977931465281201352159,0.0033281275514652817731292154566014163612916233779,-2.477800037598860694032509854878298938274383544921875
5,1.84784587546169504262572145816733936,0.0016149378104105450841978616104191863612916233779,-2.79184419724344312641051146783865988254547119140625
6,1.84714396797449172464550712735039655,0.0009130303232072271039835307934763763612916233779,-3.03951479860711959446462060441263020038604736328125
7,1.84679963492977472800226136227299362,0.0005686972784902304607377657160734463612916233779,-3.245118850065932480930541714769788086414337158203125
8,1.84660993469649944981989885767433568,0.0003789970452149522783752611174155063612916233779,-3.421364175920697192623265436850488185882568359375
9,1.84649650245800814896819297263815928,0.0002655648067236514266693760812391063612916233779,-3.5758294792227918179605694604106247425079345703125
10,1.84642438541629276263537507763443352,0.0001934477650082650938514810775133463612916233779,-3.713436283519291780663706958875991404056549072265625
11,1.84637628998609671799890080257128245,0.0001453523348122204573772060143622763612916233779,-3.83757798771247582436672018957324326038360595703125
12,1.84634295848874310602578244272404253,0.0001120208374586084842588461671223563612916233779,-3.95070118490515564957377137034200131893157958984375
13,1.84631911722079254550608900469747868,0.0000881795695080479645654081405585063612916233779,-4.05463202572670322609837967320345342159271240234375
14,1.84630160651569080500023731016405428,0.0000706688644063074587137136071341063612916233779,-4.15077188740378399955943677923642098903656005859375
15,1.84628845238185487323124215825171297,0.0000575147305703756897185616947927963612916233779,-4.24022091033448322860976986703462898731231689453125
16,1.84627837721388678288384862439081051,0.0000474395626022853423250278338903363612916233779,-4.32385932386574989294558690744452178478240966796875
17,1.84627052871160605241727455407935547,0.0000395910603215548757509575224352963612916233779,-4.40240286688548554394628808950074017047882080078125
18,1.84626432318555584438265108667231161,0.0000333855342713468411274901153914363612916233779,-4.476441669325925687417111475951969623565673828125
19,1.84625935161254100585006509294654817,0.0000284139612565083085414963896279963612916233779,-4.54646821605114848097173307905904948711395263671875
20,1.84625532149156727549960073687613420,0.0000243838402827779580771403192140263612916233779,-4.61289789501468039389919795212335884571075439453125
21,1.84625201983618461274276587092859380,0.0000210821849001152012422743716736263612916233779,-4.6760843820319930586038026376627385616302490234375
22,1.84624928902791149859804421639993404,0.0000183513766270010565206198430138663612916233779,-4.7363313516252230073177997837774455547332763671875
23,1.84624701070798651070511668214732162,0.0000160730567020131635930855904014463612916233779,-4.79390152320060725088524122838862240314483642578125
24,1.84624509481514085731047581727917403,0.0000141571638563597689522207222538563612916233779,-4.8490237413426964252494144602678716182708740234375
25,1.84624347198971426708872195710148393,0.0000125343384297695471983605445637563612916233779,-4.90189858343553819253202163963578641414642333984375
26,1.84624208822341036578157180579554389,0.0000111505721258682400482092386237163612916233779,-4.95270284878326361166500646504573523998260498046875
27,1.84624090103399081950155267186879529,0.0000099633827063219600290753118751163612916233779,-5.00159318755290893676601626793853938579559326171875
28,1.84623987669249316783529619565201723,0.0000089390412086702937725990950970563612916233779,-5.04870906063519697681840625591576099395751953125
29,1.84623898818784012686662503343405688,0.0000080505365556293251014368771367063612916233779,-5.09417517362175065187557265744544565677642822265625
30,1.84623821371521870958617369714350724,0.0000072760639342120446501005865870663612916233779,-5.13810349347970518607553458423353731632232666015625
31,1.84623753554125611836151026695960501,0.0000065978899716208199866704026848363612916233779,-5.18059493115447633471148947137407958507537841796875
32,1.84623693914347710978832034198471548,0.0000060014921926122467967454277953063612916233779,-5.221740754542015139350041863508522510528564453125
33,1.84623641255162097082684461087246695,0.0000054749003364732853210143155467763612916233779,-5.2616237821889679793230243376456201076507568359375
34,1.84623594583904581536614461673397356,0.0000050081877613178246210201770533863612916233779,-5.300319397414309463556492119096219539642333984375
35,1.84623553072679815533149539189027346,0.0000045930755136577899717953333532863612916233779,-5.337896414391504862351212068460881710052490234375
36,1.84623516027301711271916958321792908,0.0000042226217326151776459866610089063612916233779,-5.3744178214393745207644315087236464023590087890625
37,1.84623482862751826382276585931494645,0.0000038909762337662812422627580262763612916233779,-5.40994142187569249102807589224539697170257568359375
38,1.84623453083655776946500874030044865,0.0000035931852732719234851437435284763612916233779,-5.44452038895032774945548226241953670978546142578125
39,1.84623426268651816561433841208344426,0.0000033250352336680728148155265240863612916233779,-5.478203748343869250447824015282094478607177734375
40,1.84623402057799639712369090204142486,0.0000030829267118995821673054845046863612916233779,-5.51103679930719803081728969118557870388031005859375
41,1.84623380142379801365759714917577816,0.0000028637725135161160735526188579863612916233779,-5.5430614835878326829288198496215045452117919921875
42,1.84623360256584832204538813234144957,0.0000026649145638245038645357845293963612916233779,-5.57431670973472392915937234647572040557861328125
43,1.84623342170716228880081984703567645,0.0000024840558777912592962504787562763612916233779,-5.604838639114031906274249195121228694915771484375
44,1.84623325685587014815623350825873953,0.0000023192045856506147099117018193563612916233779,-5.634660938942818830810210783965885639190673828125
45,1.84623310627894680856830090537507898,0.0000021686276623110267773088181588063612916233779,-5.663815006807684682144099497236311435699462890625
46,1.84623296846379224929494622812455269,0.0000020308125077517534226315676325163612916233779,-5.69233017044428901698438494349829852581024169921875
47,1.84623284208619508927230243717089617,0.0000019044349105917307788406139759963612916233779,-5.72023386598224448107430362142622470855712890625
48,1.84623272598351027920109504623982615,0.0000017883322257816595714496829059763612916233779,-5.747551797385295202502675238065421581268310546875
49,1.84623261913211506372895132486494872,0.0000016814808305661874277283080285463612916233779,-5.77430807942087742645753678516484797000885009765625
50,1.84623252062839037960459952446308997,0.0000015829771058820630759279061697963612916233779,-5.80052536616164093885572583531029522418975830078125
51,1.84623242967261925191022238190940021,0.0000014920213347543686987853524800363612916233779,-5.82622496674280743178542252280749380588531494140625
52,1.84623234555530824964465168482053444,0.0000014079040237521031280882636142663612916233779,-5.85142694986403721912893161061219871044158935546875
53,1.84623226764552929326770024299704599,0.0000013299942447957261766464401258163612916233779,-5.8761502383252945946878753602504730224609375
54,1.84623219538095213575692724360624248,0.0000012577296676382154036470493223063612916233779,-5.9004126947169037720186679507605731487274169921875
55,1.84623212825929655717730105417868125,0.0000011906080120596357774576217610763612916233779,-5.92423119923968233280220374581404030323028564453125
56,1.84623206583098072678450156230666445,0.0000011281796962292429779657497442763612916233779,-5.94762172050758319841179400100372731685638427734375
57,1.84623200769278062993949091076950075,0.0000010700414961323979673142125805763612916233779,-5.97059938007938928450357707333751022815704345703125
58,1.84623195348234675011923557964435564,0.0000010158310622525777119830874354663612916233779,-5.99317851137487966894923374638892710208892822265625
59,1.84623190287344976594575665147227006,9.652221652684042330549153498863612916233779E-7,-6.0153727135522814251089585013687610626220703125
60,1.84623185557184799283458075860063939,9.179205634952930571620437192163612916233779E-7,-6.03719490085580634541884137433953583240509033203125
61,1.84623181131168655693046684024687015,8.736604020593889432436899499763612916233779E-7,-6.05865734788308873959294942324049770832061767578125
62,1.84623176985235254086035857253686365,8.322010680433188349759799434763612916233779E-7,-6.07977173117101887811486449209041893482208251953125
63,1.84623173097572214891506569322969962,7.933244376513735420966727794463612916233779E-7,-6.10054916745379927078829496167600154876708984375
64,1.84623169448374575373546771576644121,7.568324612561939441192095210363612916233779E-7,-6.1210002489079240461933295591734349727630615234375
65,1.84623166019632486910957597069125724,7.225450403715680523741343370663612916233779E-7,-6.1411350756646267967653329833410680294036865234375
66,1.84623162794944193572921862535920006,6.902981574381876950288022798863612916233779E-7,-6.16096328584028452013399146380834281444549560546875
67,1.84623159759350954471604426590102293,6.599422250471745206693441027563612916233779E-7,-6.1804940833088721774402074515819549560546875
68,1.84623156899191054903802341396742253,6.313406260514964998174105023563612916233779E-7,-6.19973626341730099653659635805524885654449462890625
69,1.84623154201970458171539404876529364,6.043684200841738704522083734663612916233779E-7,-6.21869823682391054120444096042774617671966552734375
70,1.84623151656247993954832164752609803,5.789111954420067980509691778563612916233779E-7,-6.2373880516222239833723506308160722255706787109375
71,1.84623149251533270658735972301957976,5.548640482090458361264626595863612916233779E-7,-6.25581341389596179425325317424722015857696533203125
72,1.84623146978195746872091552685196732,5.321306729711793919302950471463612916233779E-7,-6.27398170683698896965552194160409271717071533203125
73,1.84623144827383608050253617244602561,5.106225515829610125758891054363612916233779E-7,-6.291900008545166400608650292269885540008544921875
74,1.84623142790951274634517481976204252,4.902582282488036512232051223463612916233779E-7,-6.30957510861772430388327848049812018871307373046875
75,1.84623140861394521911601871359123982,4.709626607215744951170343196463612916233779E-7,-6.32701352362566193932025271351449191570281982421875
76,1.84623139031792324042427050308645741,4.526666387428827469065295372363612916233779E-7,-6.3442215115656335200355897541157901287078857421875
77,1.84623137295754648222671969787044135,4.353062619846851961013135211763612916233779E-7,-6.36120508536767914620213559828698635101318359375
78,1.84623135647375522696586231131074816,4.188224707294243387147538279863612916233779E-7,-6.3779700255318889645650415332056581974029541015625
79,1.84623134081190786691514286249407628,4.031606233693736192659371561063612916233779E-7,-6.39452189196059261888649416505359113216400146484375
80,1.84623132592140003256611104059856619,3.882701155350245874440416460163612916233779E-7,-6.4108660350467747690572650753892958164215087890625
81,1.84623131175532079144578333997784775,3.741040362939042597434209275763612916233779E-7,-6.42700760607414611769172552158124744892120361328125
82,1.84623129827014190678214523415962780,3.606188574092406216376027076263612916233779E-7,-6.4429515669795449639423168264329433441162109375
83,1.84623128542543662185007030329588225,3.477741521243085467067389620763612916233779E-7,-6.45870269952403486257708209450356662273406982421875
84,1.84623127318362485071843456936590495,3.355323403531769109728089847763612916233779E-7,-6.4742656139151701921718995436094701290130615234375
85,1.84623126150974201805031992492832908,3.238584575205087963283714089063612916233779E-7,-6.4896447569194091187227968475781381130218505859375
86,1.84623125037122910687190140369763724,3.127199446093303778071407170663612916233779E-7,-6.5048444195004204715360174304805696010589599609375
87,1.84623123973774175003651467902196722,3.020864572524949910824650470463612916233779E-7,-6.51986874401617999552627225057221949100494384765625
88,1.84623122958097644377847909494542605,2.919296919462369554983885058763612916233779E-7,-6.5347217310050904615081890369765460491180419921875
89,1.84623121987451217481906457249226556,2.822232276772775409759353453863612916233779E-7,-6.549407245588977133365915506146848201751708984375
90,1.84623121059366593985113207040041653,2.729423814423096084738434963563612916233779E-7,-6.56392902351864204746334507944993674755096435546875
91,1.84623120171536080123518561334319701,2.640640763036936620167862768363612916233779E-7,-6.57829067688565860549942954094149172306060791015625
92,1.84623119321800526826742636470299886,2.555667207707259027681460786863612916233779E-7,-6.5924956995222832034642124199308454990386962890625
93,1.84623118508138292191172355052676889,2.474300984243701999539698487163612916233779E-7,-6.606547472109706831133735249750316143035888671875
94,1.84623117728655131456517758745538822,2.396352668170236539908984680463612916233779E-7,-6.6204492670133578968716392409987747669219970703125
95,1.84623116981574927710422005547859694,2.321644647795626964589216767663612916233779E-7,-6.63420425286256776331583751016296446323394775390625
96,1.84623116265231185474045614205615184,2.250010273571989325454992316663612916233779E-7,-6.6478154988906652533842134289443492889404296875
97,1.84623115578059217249527278006457235,2.181293076749537491835076521763612916233779E-7,-6.6612859790503744505940630915574729442596435546875
98,1.84623114918588960158996516436006076,2.115346051040484415678031405863612916233779E-7,-6.67461857591834739622527195024304091930389404296875
99,1.84623114285438366079667830257766933,2.052030991632551547060207491563612916233779E-7,-6.6878160844016623087782136281020939350128173828125
100,1.84623113677307314272296123523370144,1.991217886451814376386767812663612916233779E-7,-6.700881215258224443687140592373907566070556640625
101,1.84623113092972000490979825978804029,1.932784355073682746632311201163612916233779E-7,-6.71381659844217182353531825356185436248779296875
102,1.84623112531279761021033777542405632,1.876615131126688141788671361463612916233779E-7,-6.72662478628463222918298924923874437808990478515625
103,1.84623111991144294079616375538741181,1.822601584432546401588304916363612916233779E-7,-6.73930825651944598320142176817171275615692138671875
104,1.84623111471541244584771060327419077,1.770641279483061870067172705963612916233779E-7,-6.75186941516285887843196178437210619449615478515625
105,1.84623110971504121499590105652116598,1.720637567174543774599642458063612916233779E-7,-6.76431059925554745149156588013283908367156982421875
106,1.84623110490120519830779981763292211,1.672499207007662762210760019363612916233779E-7,-6.7766340794748050058160515618510544300079345703125
107,1.84623110026528621941421961089417531,1.626140017218726960143372551363612916233779E-7,-6.7888420626242069744193941005505621433258056640625
108,1.84623109579913955158277153652821283,1.581478550540412479399712926563612916233779E-7,-6.80093669400757594445394715876318514347076416015625
109,1.84623109149506384742903887432484618,1.538437793498875152777679260063612916233779E-7,-6.8129200596936509981560448068194091320037841796875
110,1.84623108734577323178113526777041223,1.496944887342396116712134920563612916233779E-7,-6.82479418867744325183366527198813855648040771484375
111,1.84623108334437138419014930090997613,1.456930868866486257043530559563612916233779E-7,-6.836561054943874893297106609679758548736572265625
112,1.84623107948432745290644229548543366,1.418330429553649186989285134863612916233779E-7,-6.84822257943897394483201424009166657924652099609375
113,1.84623107575945365599274058595945969,1.381081691584512169894025395163612916233779E-7,-6.859780631953537266554121742956340312957763671875
114,1.84623107216388443777337491393043314,1.345125999402318513173735129663612916233779E-7,-6.87123703292388565699866376235149800777435302734375
115,1.84623106869205706016140995539083209,1.310407725626198863588339119163612916233779E-7,-6.8825935551540649015578310354612767696380615234375
116,1.84623106533869351868318803206660796,1.276874090211416644355096877863612916233779E-7,-6.89385192546355707321481531835161149501800537109375
117,1.84623106209878368234113864742362011,1.244474991847996150508666999363612916233779E-7,-6.9050138262643425690612275502644479274749755859375
118,1.84623105896756956491680843889574930,1.213162850673752848423388291263612916233779E-7,-6.91608089707091533426819296437315642833709716796875
119,1.84623105594053064300286535350511242,1.182892461454613417569481922463612916233779E-7,-6.92705473594664855596647612401284277439117431640625
