Matrix Size,Eigenvalue 2,Predict Value (x),Difference (Eigenvalue 2 - Predict Value)
1,,,
2,1.90850862679815670935783502815494480,1.9046741849375109571583821101535765037013856033775,0.0038344418606457521994529180013682962986143966225
3,1.85538194129764085294856945985748542,1.8542457458815349604502863726012615367770215788797,0.0011361954161058924982830872562238832229784211203
4,1.84955906520274977931465281201352159,1.8490797134558423248567992693722877126487470228111,0.0004793517469074544578535426412338773512529771889
5,1.84784587546169504262572145816733936,1.8476004396999611415217457968412387811926240041991,0.0002454357617339011039756613261005788073759958009
6,1.84714396797449172464550712735039655,1.8470019297646733913460470048631718204759303631204,0.0001420382098183332994601224872247295240696368796
7,1.84679963492977472800226136227299362,1.8467101861967095048290155343537777008951680183422,0.0000894487330652231732458279192159191048319816578
8,1.84660993469649944981989885767433568,1.8465500099132809263808866563276624515744999738104,0.0000599247832185234390122013466732284255000261896
9,1.84649650245800814896819297263815928,1.8464544146734562927068878122136835460727280359756,0.0000420877845518562613051604244757339272719640244
10,1.84642438541629276263537507763443352,1.8463937029687772084303549790037150152343855734849,0.0000306824475155542050200986307185047656144265151
11,1.84637628998609671799890080257128245,1.8463532375015533459544548548787440355488708248665,0.0000230524845433720444459476925384144511291751335
12,1.84634295848874310602578244272404253,1.8463252019894979826971835198989289324690893866207,0.0000177564992451233285989228251135975309106133793
13,1.84631911722079254550608900469747868,1.8463051510967446889945905892130090866758343581790,0.0000139661240478565114984154844695933241656418210
14,1.84630160651569080500023731016405428,1.8462904243389851051483211950086700524583844037932,0.0000111821767056998519161151553842275416155962068
15,1.84628845238185487323124215825171297,1.8462793607702229755546082026366698629795301598402,0.0000090916116318976766339556150431070204698401598
16,1.84627837721388678288384862439081051,1.8462708858890570429510595434488532622238681440689,0.0000074913248297399327890809419572477761318559311
17,1.84627052871160605241727455407935547,1.8462642830924453553249707784182226887245567358514,0.0000062456191606970923037756611327812754432641486
18,1.84626432318555584438265108667231161,1.8462590617019340796058537879776212205875137641789,0.0000052614836217647767972986946903894124862358211
19,1.84625935161254100585006509294654817,1.8462548778984791631888246779387156868732614848421,0.0000044737140618426612404150078324831267385151579
20,1.84625532149156727549960073687613420,1.8462514858134293625437692943304372523998287288814,0.0000038356781379129558314425456969476001712711186
21,1.84625201983618461274276587092859380,1.8462487064105605344056336966780085626962679869318,0.0000033134256240783371321742505852373037320130682
22,1.84624928902791149859804421639993404,1.8462464071877016273391920744685752489189427582831,0.0000028818402098712588521419313587910810572417169
23,1.84624701070798651070511668214732162,1.8462444886380004152139890408598107519561603315804,0.0000025220699860954911276412875108680438396684196
24,1.84624509481514085731047581727917403,1.8462428750373370865819408783028580491679939979565,0.0000022197778037707285349389763159808320060020435
25,1.84624347198971426708872195710148393,1.8462415080611552949431184362195219458201349498078,0.0000019639285589721456035208819619841798650501922
26,1.84624208822341036578157180579554389,1.8462403422884860222464775238866230837960676564922,0.0000017459349243435350942819089208062039323435078
27,1.84624090103399081950155267186879529,1.8462393419873837186165981420248841598261640957874,0.0000015590466071008849545298439111301738359042126
28,1.84623987669249316783529619565201723,1.8462384787847577243347347036090697556854001280649,0.0000013979077354435005614920429474743145998719351
29,1.84623898818784012686662503343405688,1.8462377299557942530416076574142943220937609644352,0.0000012582320458738250173760197625579062390355648
30,1.84623821371521870958617369714350724,1.8462370771534774343248345652972019463579361769495,0.0000011365617412752613391318463052936420638230505
31,1.84623753554125611836151026695960501,1.8462365054547237259241226918478669443952441502483,0.0000010300865323924373875751117380656047558497517
32,1.84623693914347710978832034198471548,1.8462360026369986461213487030973742654529841453225,9.365064784636669716388873412145470158546775E-7
33,1.84623641255162097082684461087246695,1.8462355586245683765440005294006223334787522224320,8.539270525942828440814718446165212477775680E-7
34,1.84623594583904581536614461673397356,1.8462351650608872192594452156497999297232946219923,7.807781585961066994010841736302767053780077E-7
35,1.84623553072679815533149539189027346,1.8462348149756778229634596393849924534894447173860,7.157511203323680357525052810065105552826140E-7
36,1.84623516027301711271916958321792908,1.8462345025237391009351764517722770524944378574128,6.577492780117839931314456520275055621425872E-7
37,1.84623482862751826382276585931494645,1.8462342227785452570163683664682919465741802625686,6.058489730068063974928466545034258197374314E-7
38,1.84623453083655776946500874030044865,1.8462339715680309159704279460163495277774201201475,5.592685268534945807942840991222225798798525E-7
39,1.84623426268651816561433841208344426,1.8462337453431002830861454712600852996820464536019,5.173434178825281929408233589603179535463981E-7
40,1.84623402057799639712369090204142486,1.8462335410716998344037991660320228115108047460157,4.795062965627198917360094020484891952539843E-7
41,1.84623380142379801365759714917577816,1.8462333561529942099425524586976723479861272650441,4.452708038037150446904781058120138727349559E-7
42,1.84623360256584832204538813234144957,1.8462331883474512585441179769144091195900209159436,4.142183970635012701554270404504099790840564E-7
43,1.84623342170716228880081984703567645,1.8462330357195926613220729824432420962988672404512,3.859875696274787468645924343537011327595488E-7
44,1.84623325685587014815623350825873953,1.8462328965908852782876693238849087159657956968828,3.602649848698685641843738308140342043031172E-7
45,1.84623310627894680856830090537507898,1.8462327695007956486998688914010478860117797976884,3.367781511598684320139740310939882202023116E-7
46,1.84623296846379224929494622812455269,1.8462326531744496031832650295006801348043474329663,3.152893426461116811986238725551956525670337E-7
47,1.84623284208619508927230243717089617,1.8462325464956625820059936021860275168330142058853,2.955905325072663088349848686531669857941147E-7
48,1.84623272598351027920109504623982615,1.8462324484843574286490008514885447024554377673104,2.774991528505520941947512814475445622326896E-7
49,1.84623261913211506372895132486494872,1.8462323582775824909349256903319147549405320510249,2.608545325727940256345330339650594679489751E-7
50,1.84623252062839037960459952446308997,1.8462322751134967501580999695277004928171140262220,2.455148936294464995549353894771828859737780E-7
51,1.84623242967261925191022238190940021,1.8462321983178101212017493145916889009987038808740,2.313548091307084730673177113090012961191260E-7
52,1.84623234555530824964465168482053444,1.8462321272922633563616122419316937034881024519160,2.182630448932830394428888407365118975480840E-7
53,1.84623226764552929326770024299704599,1.8462320615048087139598067767861622439207270883391,2.061407205793078934662108837460792729116609E-7
54,1.84623219538095213575692724360624248,1.8462320004812139772308325047633109975245656196454,1.948997381585260947388429314824754343803546E-7
55,1.84623212825929655717730105417868125,1.8462319437978618006672123885475162660874154142171,1.844614347565100886656311649839125845857829E-7
56,1.84623206583098072678450156230666445,1.8462318910755562469785336511491413410708914372686,1.747554244798059679111575231089291085627314E-7
57,1.84623200769278062993949091076950075,1.8462318419741807197501758712453587091884413561724,1.657185999101893150395241420408115586438276E-7
58,1.84623195348234675011923557964435564,1.8462317961880778254144949959653383742405104154825,1.572942689247047405836790172657594895845175E-7
59,1.84623190287344976594575665147227006,1.8462317534420432128618753067843040460130736887338,1.494314065530838813446879660139869263112662E-7
60,1.84623185557184799283458075860063939,1.8462317134878430845626006780954372675387843306087,1.420840049082719800805052021224612156693913E-7
61,1.84623181131168655693046684024687015,1.8462316761011795964212310910680168196847485284717,1.352105069605092357491788533303152514715283E-7
62,1.84623176985235254086035857253686365,1.8462316410790403579495461449690018118799945805804,1.287733121829108124275678618381200054194196E-7
63,1.84623173097572214891506569322969962,1.8462316082373781827289594561361433812883377842285,1.227383439661861062370935562387116622157715E-7
64,1.84623169448374575373546771576644121,1.8462315774090755001339618923889093421672943603426,1.170746702536015058233775318678327056396574E-7
65,1.84623166019632486910957597069125724,1.8462315484421547271448933970168503445598006518716,1.117541701419646825736744068954401993481284E-7
66,1.84623162794944193572921862535920006,1.8462315211982016590887439331984481559971481773206,1.067512402766404746921607519040028518226794E-7
67,1.84623159759350954471604426590102293,1.8462314955509737688643114776802701256884015579510,1.020425357758517327882207528043115984420490E-7
68,1.84623156899191054903802341396742253,1.8462314713851693668417273240393758158957124825547,9.76067411821962960899280467141042875174453E-8
69,1.84623154201970458171539404876529364,1.8462314485953369995131012625628188133606814574459,9.34243675822022927862024748266393185425541E-8
70,1.84623151656247993954832164752609803,1.8462314270849073614866497824454831822559498937765,8.94775725780616718650806148477440501062235E-8
71,1.84623149251533270658735972301957976,1.8462314067653324505411131809627653986236117101087,8.57500002560462465420568143613763882898913E-8
72,1.84623146978195746872091552685196732,1.8462313875553187816063776935883913146351823506224,8.22266386871145378332635760053648176493776E-8
73,1.84623144827383608050253617244602561,1.8462313693801432523584949820600537503740850899598,7.88936928281440411903859718596259149100402E-8
74,1.84623142790951274634517481976204252,1.8462313521710417700264799548678973818836649487630,7.57384709763186948648941451381163350512370E-8
75,1.84623140861394521911601871359123982,1.8462313358646620469036547155973728449532746422024,7.27492831722123639979938669750467253577976E-8
76,1.84623139031792324042427050308645741,1.8462313204025730850216958497873962507974600937569,6.99153501554025746532990611592025399062431E-8
77,1.84623137295754648222671969787044135,1.8462313057308248268385066916887480226841473434931,6.72267216553882130061816933273158526565069E-8
78,1.84623135647375522696586231131074816,1.8462312917995522723539754370317690511603047988413,6.46742029546118868742789791088396952011587E-8
79,1.84623134081190786691514286249407628,1.8462312785626190736692648751839807949382009589567,6.22492887932458779873100954850617990410433E-8
80,1.84623132592140003256611104059856619,1.8462312659772962323445632845907488735875326499036,5.99441038002215477560078173164124673500964E-8
81,1.84623131175532079144578333997784775,1.8462312540039720570401038387406422156927986998413,5.77513487344056795012372055343072013001587E-8
82,1.84623129827014190678214523415962780,1.8462312426058900007037391108085948664410694583221,5.56642519060784061233510329335589305416779E-8
83,1.84623128542543662185007030329588225,1.8462312317489113980231453949476423581934861395496,5.36765252238269249083482398918065138604504E-8
84,1.84623127318362485071843456936590495,1.8462312214013004734864855612529862962384144898371,5.17823243772319490081129186537615855101629E-8
85,1.84623126150974201805031992492832908,1.8462312115335292954101432633169534775360339174734,4.99762127226401766616113756024639660825266E-8
86,1.84623125037122910687190140369763724,1.8462312021181006178315139653513121090156956762061,4.82531284890403874383463251309843043237939E-8
87,1.84623123973774175003651467902196722,1.8462311931293867854681517022533163591634078594409,4.66083549645683629767686508608365921405591E-8
88,1.84623122958097644377847909494542605,1.8462311845434830814782826989916004394389719020626,4.50374933623001963959538256105610280979374E-8
89,1.84623121987451217481906457249226556,1.8462311763380740773513829690292173574319722624056,4.35364380974676816034630482025680277375944E-8
90,1.84623121059366593985113207040041653,1.8462311684923117021946016374874579447749962272211,4.21013542376565304329129585852250037727789E-8
91,1.84623120171536080123518561334319701,1.8462311609867038877737810098771469449694752666890,4.07286569134614046034660500650305247333110E-8
92,1.84623119321800526826742636470299886,1.8462311538030127683513530662809728059155359496643,3.94149924999160732984220260540844640503357E-8
93,1.84623118508138292191172355052676889,1.8462311469241615227179569468838073932090498230938,3.81572213991937666036429614967909501769062E-8
94,1.84623117728655131456517758745538822,1.8462311403341490416563174703242904476692396261225,3.69524022729088601171310977723307603738775E-8
95,1.84623116981574927710422005547859694,1.8462311340179716889554142270517895208570840733953,3.57977775881488058284268074191429159266047E-8
96,1.84623116265231185474045614205615184,1.8462311279615514993730700485199038915151274630979,3.46907603553673860935362479484848725369021E-8
97,1.84623115578059217249527278006457235,1.8462311221516702237910464449199088394196968026558,3.36289219487042263351446635105803031973442E-8
98,1.84623114918588960158996516436006076,1.8462311165759086912422250429080037173512429121385,3.26099809103477401214520570426487570878615E-8
99,1.84623114285438366079667830257766933,1.8462311112225910104025925016909124615295448995881,3.16317926503940858008867568684704551004119E-8
100,1.84623113677307314272296123523370144,1.8462311060807331803031502577358549643577736189157,3.06923399624198109774978464756422263810843E-8
101,1.84623113092972000490979825978804029,1.8462311011399957221023483986641158573379378247808,2.97897242828074498611239244326620621752192E-8
102,1.84623112531279761021033777542405632,1.8462310963906399813633555322237493630345188574402,2.89221576288469822432003069569654811425598E-8
103,1.84623111991144294079616375538741181,1.8462310918234877839128122901733885556788305101942,2.80879551568833514652140232543211694898058E-8
104,1.84623111471541244584771060327419077,1.8462310874298841584750570642647672431172972263650,2.72855282873726535390094235268827027736350E-8
105,1.84623110971504121499590105652116598,1.8462310832016628662745497067368947271166671718927,2.65133783487213513497842712528833328281073E-8
106,1.84623110490120519830779981763292211,1.8462310791311145020281061032510722281722229499916,2.57700906962796937143818498818277770500084E-8
107,1.84623110026528621941421961089417531,1.8462310752109569525147320423752857704790139139244,2.50543292668994875685188895395209860860756E-8
108,1.84623109579913955158277153652821283,1.8462310714343080184841668933933239120128110729371,2.43648315330986046431348889179871889270629E-8
109,1.84623109149506384742903887432484618,1.8462310677946600232871692184723249032593545572557,2.37004038241418696558525212767406454427443E-8
110,1.84623108734577323178113526777041223,1.8462310642858562474882356638875392454880679494699,2.30599169842928996038828729845119320505301E-8
111,1.84623108334437138419014930090997613,1.8462310609020690430430991594198719199006543920157,2.24423023411470501414901042100993456079843E-8
112,1.84623107948432745290644229548543366,1.8462310576377794935532754687689557066290998293979,2.18465479593531668267164779533709001706021E-8
113,1.84623107575945365599274058595945969,1.8462310544877584987976188995862740699496233420845,2.12716951571951216863731856200503766579155E-8
114,1.84623107216388443777337491393043314,1.8462310514470491723069163366629329416617081548626,2.07168352654664585772675001983382918451374E-8
115,1.84623106869205706016140995539083209,1.8462310485109504503203242039415839006729303247003,2.01811066098410857514492481893270696752997E-8
116,1.84623106533869351868318803206660796,1.8462310456750018191328799753981090428286905920019,1.96636916995503080566684989171713094079981E-8
117,1.84623106209878368234113864742362011,1.8462310429349690757070813333725695052830439018305,1.91638146066340573140510506047169560981695E-8
118,1.84623105896756956491680843889574930,1.8462310402868310435624539426900021468374452049050,1.86807385213543544962057471531625547950950E-8
119,1.84623105594053064300286535350511242,1.8462310377267671724418240093299413177395363516445,1.82137634705610413441751711022604636483555E-8
120,1.84623105301337014304196908698703271,1.8462310352511459561514185679983976988650997443177,1.77622241868905505189886350111349002556823E-8
121,1.84623105018200222601043784831018951,1.8462310328565141083376366039644529881922156194491,1.73254881176728012443457365218077843805509E-8
122,1.84623104744254000417674185623344047,1.8462310305395864408522771575666037449883019748546,1.69029535633244646986668367250116980251454E-8
123,1.84623104479128432964410111432303999,1.8462310282972363938126114071721306902720752914575,1.64940479358314897071509092997279247085425E-8
124,1.84623104222471329920171046269845545,1.8462310261264871705255028402279413387144065377384,1.60982261286762076224705141112855934622616E-8
125,1.84623103973947242440484138353710959,1.8462310240245034341557628304360715846730418068154,1.57149689902490785531010380053269581931846E-8
126,1.84623103733236541981950740560684729,1.8462310219885835264069863712762521591621426861657,1.53437818934125210343305951308378573138343E-8
127,1.84623103500034556603840357767949125,1.8462310200161521715810083958460068444004831927575,1.49841933944573951818334844055995168072425E-8
128,1.84623103274050760743323891528475691,1.8462310181047536322179296944338595256780867417396,1.46357539752153092208508973843219132582604E-8
129,1.84623103055008014768328580713149975,1.8462310162520452851118154039352868683764447098003,1.42980348625714704031962128816235552901997E-8
130,1.84623102842641850893690985273451558,1.8462310144557915888766347501994523080767167308034,1.39706269200602751025350632719232832691966E-8
131,1.84623102636699802304538151365628786,1.8462310127138584164151793299165687540796084065276,1.36531396066302021837397191059203915934724E-8
132,1.84623102436940772567752674673383770,1.8462310110242077276451373453769071668946784637834,1.33451999980323894013569305331053215362166E-8
133,1.84623102243134442629887972954838523,1.8462310093848925596707492087498028788596937825778,1.30464518666281305207985823511403062174222E-8
134,1.84623102055060712899711113306894448,1.8462310077940523132765893869712994408429023639528,1.27565548157205217460976450391570976360472E-8
135,1.84623101872509178097224827009738710,1.8462310062499083161693938685876243552868812393966,1.24751834648028544015097627447131187606034E-8
136,1.84623101695278632719971370924474254,1.8462310047507596448209282604239570988967402677433,1.22020266823787854488207854411032597322567E-8
137,1.84623101523176605132922290866843835,1.8462310032949791880767102341424767091473678200504,1.19367868632525126745259616408526321799496E-8
138,1.84623101356018918431473328056482451,1.8462310018810099369050584997761718603216339538016,1.16791792474096747807886526496783660461984E-8
139,1.84623101193629276359043783189697179,1.8462310005073614857748240831058084584371436702611,1.14289312778156137487911633315628563297389E-8
140,1.84623101035838872682475424895131997,1.8462309991726067321776516726606276742561263637748,1.11857819946471025762906922957438736362252E-8
141,1.84623100882486022540711889823612802,1.8462309978753787617582241136836567327653768554208,1.09494814636488947845524712872346231445792E-8
142,1.84623100733415814385897758253082267,1.8462309966143679073920320411337891724806249706837,1.07197902364669455413970334975193750293163E-8
143,1.84623100588479781231790622665309217,1.8462309953883189713570281005295765524902184877567,1.04964788409608781261235156175097815122433E-8
144,1.84623100447535590012876576286306440,1.8462309941960286004944669871861831724092239823202,1.02793272996342987756768812275907760176798E-8
145,1.84623100310446747939420919032071366,1.8462309930363428049440590779279764398895757155881,1.00681246744501501123927372201104242844119E-8
146,1.84623100177082324809411697619937885,1.8462309919081546116782546498261958845587474863114,9.8626686364158623263731829654412525136886E-9
147,1.84623100047316690308457765530557654,1.8462309908104018446523086459874065277693302084898,9.6627650584322690093181700122306697915102E-9
148,1.84623099921029265393640401748714730,1.8462309897420650239355774000530142156169560730626,9.4682276300008266174341330843830439269374E-9
149,1.84623099798104286917497834184563361,1.8462309887021653766966446366573446078939110397753,9.2788774924783337051882890021060889602247E-9
150,1.84623099678430584704127098943120523,1.8462309876897629533873189022793345871664887385564,9.0945428936539520871518706428335112614436E-9
151,1.84623099561901370341156132034337823,1.8462309867039548429063889521570312114155124042155,8.9150588605051723681863470185844875957845E-9
152,1.84623099448414036999393733401687110,1.8462309857438734809310967134950316875278695360237,8.7402668890628406205218394124721304639763E-9
153,1.84623099337869969636590545408517531,1.8462309848086850459797657860820752401895923307574,8.5700146503861396680031000698104076692426E-9
154,1.84623099230174364983207786921172870,1.8462309838975879381206153635374765350512404253198,8.4041557117114625056742521649487595746802E-9
155,1.84623099125236060746632957383479872,1.8462309830098113355658933387723811021133258841131,8.2425492719004362350624176178866741158869E-9
156,1.84623099022967373506128855099965757,1.8462309821446138246941762438843120639751006842065,8.0850599103671123071153455060248993157935E-9
157,1.84623098923283944804156996674868835,1.8462309813012820993247576600400550038075774606978,7.9315573487168123067086333461924225393022E-9
158,1.84623098826104594970764831355553923,1.8462309804791297253307742631705406866079703694445,7.7819162243768740503849985433920296305555E-9
159,1.84623098731351184246646011066098752,1.8462309796774959669212278633213737835023726013960,7.6360158755452322473396137364976273986040E-9
160,1.84623098638948480797425955645442096,1.8462309788957446711505623007232514936058678621154,7.4937401368236972557311694663941321378846E-9
161,1.84623098548824035236843888876944540,1.8462309781332632074255583489224894001328316453309,7.3549771449428805398469559998671683546691E-9
162,1.84623098460908061299926277282773544,1.8462309773894614589779996902479113571410083387021,7.2196191540212630825798240828589916612979E-9
163,1.84623098375133322329102914914439250,1.8462309766637708634556730039613528409776008110448,7.0875623598353561451830396590223991889552E-9
164,1.84623098291435023256617469194066232,1.8462309759556434999566795738625867799771930172287,6.9587067326094951180780755400228069827713E-9
165,1.84623098209750707785633649323200926,1.8462309752645512199929465957786948400882147179946,6.8329558578633898974533144199117852820054E-9
166,1.84623098130020160490236281095340494,1.8462309745899848200192633699674906523165116906404,6.7102167848830994409859142876834883093596E-9
167,1.84623098052185313571159714770094021,1.8462309739314532533043331223600044388960453596777,6.5903998824072640253409357711039546403223E-9
168,1.84623097976190158019628033506092892,1.8462309732884828790520244625259034253549544117027,6.4734187011442558725350254946450455882973E-9
169,1.84623097901980658956237965895125029,1.8462309726606167468037954853753683134187315062347,6.3591898427585841735758819765812684937653E-9
170,1.84623097829504674925428871201110069,1.8462309720474139142680644428607860219791631155291,6.2476328349862242691503146680208368844709E-9
171,1.84623097758711880938826386642503826,1.8462309714484487968300645171827283078989809688737,6.1386700125581993492423099521010190311263E-9
172,1.84623097689553695072680288931663697,1.8462309708633105470968176702343086138560823046997,6.0322264036299852190823283561439176953003E-9
173,1.84623097621983208435797049729676694,1.8462309702916024629254846280550768402555357303901,5.9282296214324858692416900997444642696099E-9
174,1.84623097555955118334846330582415009,1.8462309697329414224728652303816121464254282983527,5.8266097608755980754425379435745717016473E-9
175,1.84623097491425664473744785873942433,1.8462309691869573448861269216214149944098688875660,5.7272992998513209371180093355901311124340E-9
176,1.84623097428352568033034440227293334,1.8462309686532926753329129856697713476916568407198,5.6302330049974314166031619923083431592802E-9
177,1.84623097366694973483819446848179938,1.8462309681316018931418526594214131099277715083834,5.5353478416963418090603862700722284916166E-9
178,1.84623097306413392998939283119080245,1.8462309676215510418934397182106248073922945477172,5.4425828880959531129801776426077054522828E-9
179,1.84623097247469653331676464545026466,1.8462309671228172803651667407382366660888518491275,5.3518792529515979047120279939111481508725E-9
180,1.84623097189826845039454388463826865,1.8462309666350884532954272085803595174106741633239,5.2631799970991166760579091325893258366761E-9
181,1.84623097133449273936705291249444663,1.8462309661580626809877314879591026988516944366785,5.1764300583793214245353439311483055633215E-9
182,1.84623097078302414667410243734826632,1.8462309656914479668297111026332779518369033273249,5.0915761798443913347149883681630966726751E-9
183,1.84623097024352866293756831888432516,1.8462309652349618218521829161183896802431160104425,5.0085668410853854027659354797568839895575E-9
184,1.84623096971568309802950741982510834,1.8462309647883309055001992671951999487146589177641,4.9273521925293081526299083912853410822359E-9
185,1.84623096919917467439478941505897950,1.8462309643512906818329022078439539849128228473859,4.8478839925618872072150255150871771526141E-9
186,1.84623096869370063775072625379552416,1.8462309639235850904106270617613073822627608947151,4.7701155473400991920342167777372391052849E-9
187,1.84623096819896788433281006567022185,1.8462309635049662311670266483519867689631374509100,4.6940016531657834173182350810368625490900E-9
188,1.84623096771469260389957745121271366,1.8462309630951940626013746760512029586795129069996,4.6194985412982027751615107013204870930004E-9
189,1.84623096724059993775099375425146864,1.8462309626940361126607024035839049780169495007856,4.5465638250902913506675636619830504992144E-9
190,1.84623096677642365105374075123468670,1.8462309623012672017148976126965024285744476599913,4.4751564493388431385381842714255523400087E-9
191,1.84623096632190581880354985232784757,1.8462309619166691770585314585317453094473355107793,4.4052366417450183937961022605526644892207E-9
192,1.84623096587679652478939306069061409,1.8462309615400306584025860761605404549189789143560,4.3367658663868069845300736350810210856440E-9
193,1.84623096544085357295705223751344555,1.8462309611711467938471466086292300519983090701958,4.2697067791099056288842154980016909298042E-9
194,1.84623096501384221060043809526876833,1.8462309608098190258517077892336964083068213175876,4.2040231847487303060350719216931786824124E-9
195,1.84623096459553486283817313475079919,1.8462309604558548667448442718412675459495774878302,4.1396799960933288629095316440504225121698E-9
196,1.84623096418571087786045312938649973,1.8462309601090676833378876173047086741000759948793,4.0766431945225655120817910558999240051207E-9
197,1.84623096378415628245718162586409339,1.8462309597692764902293996932815962957534956434062,4.0148797922277819325824970942465043565938E-9
198,1.84623096339066354736292156144497614,1.8462309594363057514079019004958716597205591943165,3.9543577959550196609491044802794408056835E-9
199,1.84623096300503136197740258969449285,1.8462309591099851897799714638592409858898458482866,3.8950461721974311258352518641101541517134E-9
200,1.84623096262706441804224991703202983,1.8462309587901496042691419642427727002534565290918,3.8369148137731079527892571297465434709082E-9
