State,Predicted energy,Original energy,Error,Formula
1,1.6100818975185787,0.5000000000000308,2.2201637950369597,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
2,2.8103797876698646,1.8462309376513153,0.5222254867232874,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
3,4.81067758791367,3.9363376097055656,0.22212016978734303,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
4,7.610975298264093,6.799665277815471,0.11931617032614754,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
5,11.211272918735233,10.448046575287828,0.07304966894506588,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
6,15.611570449341194,14.887065996873584,0.04866670522047541,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
7,20.81186789009607,20.119720824009175,0.034401424957196544,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
8,26.812165241013965,26.14778384307064,0.02540870774864499,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
9,33.61246250210897,32.97238355306372,0.01941257743818075,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
10,41.212759673395205,40.594280208136695,0.015235630785603683,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
11,49.61305675488675,49.014009378430366,0.01222196233389563,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
12,58.813353746597706,58.231962159249214,0.00998406314660216,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
13,68.81365064854216,68.24843268065894,0.008281772132818613,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
14,79.61394746073428,79.06364764034258,0.006960212902078493,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
15,91.21424418318806,90.67778541941472,0.005916099089672738,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
16,103.61454081591769,103.09098888729196,0.005078542113880858,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
17,116.81483735893723,116.30337423515432,0.004397663671810359,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
18,130.81513381226077,130.3150372269515,0.0038375969185991256,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
19,145.61543017590245,145.12605772250683,0.003372050898890525,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
20,161.2157264498763,160.7365030151513,0.0029814225501710832,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
21,177.6160226341965,177.14643033780513,0.0026508707824136847,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
22,194.81631872887712,194.35588877413647,0.002369004395208826,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
23,212.81661473393223,212.36492073649825,0.0021269708568979633,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
24,231.6169106493759,231.1735631233281,0.0019178124005956587,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
25,251.21720647522235,250.78184823594472,0.001736003791103861,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
26,271.61750221148554,271.1898045123552,0.0015771157027803277,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
27,292.8177978581797,292.3974571202177,0.0014375663253088547,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
28,314.8180934153189,314.4048284402005,0.001314435841105448,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
29,337.61838888291715,337.2119384631839,0.0012053263048324963,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
30,361.21868426098865,360.81880511910214,0.0011082547145914964,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
31,385.6189795495474,385.2254445510759,0.0010215706258192025,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
32,410.8192747486076,410.4318713454094,0.000943892105474897,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
33,436.81956985818334,436.43809872571416,0.0008740555271938532,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
34,463.6198648782887,463.2441387176741,0.0008110759083852716,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
35,491.2201598089377,490.850002289624,0.0007541153460060154,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
36,519.6204546501446,519.2556994730832,0.0007024577244535478,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
37,548.8207494019233,548.4612394665784,0.0006554883179977915,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
38,578.8210440642881,578.4666307254648,0.0006126772401353841,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
39,609.621338637253,609.2718810399505,0.0005735659369442903,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
40,641.2216331208319,640.8769976031358,0.0005377561045022082,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
41,673.6219275150394,673.2819870705672,0.0005049005483590152,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
42,706.8222218198891,706.4868556125405,0.00047469560782967436,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
43,740.8225160353953,740.4916089601913,0.0004468748480062399,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
44,775.6228101615724,775.2962524462373,0.0004212037841079537,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
45,811.2231041984338,810.9007910410986,0.0003974754506298988,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
46,847.6233981459942,847.3052293850151,0.0003755066650657292,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
47,884.8236920042675,884.5095718166784,0.0003551348652382778,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
48,922.8239857732679,922.5138223988264,0.00033621542237159766,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
49,961.6242794530092,961.3179849411736,0.0003186193503436579,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
50,1001.2245730435059,1000.922063021012,0.00030223134614576247,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
51,1041.624866544772,1041.3260600017516,0.00028694810828024044,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
52,1082.825159956821,1082.5299790496488,0.0002726768892176931,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
53,1124.825453279668,1124.533823148931,0.0002593342456523209,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
54,1167.6257465133262,1167.337595115497,0.0002468449564505068,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
55,1211.2260396578101,1210.9412976093483,0.00023514108324155315,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
56,1255.6263327131342,1255.3449331458996,0.00022416115268760554,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
57,1300.8266256793122,1300.548504106274,0.0002138494428773567,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
58,1346.8269185563581,1346.5520127467037,0.00020415535905939615,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
59,1393.6272113442858,1393.3554612071175,0.0001950328862477456,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
60,1441.2275040431098,1440.9588515190053,0.0001864401081413799,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
61,1489.6277966528444,1489.362185612625,0.00017833878339688602,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
62,1538.828089173503,1538.5654653236256,0.00017069397162255889,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
63,1588.8283816051005,1588.5686923991314,0.00016347370259258844,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
64,1639.6286739476504,1639.3718685033489,0.00015664868309348936,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
65,1691.228966201167,1690.9749952227332,0.00015019203663638235,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
66,1743.6292583656643,1743.3780740707616,0.00014407907191135114,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
67,1796.8295504411565,1796.5811064923428,0.0001382870764453073,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
68,1850.8298424276577,1850.5840938679005,0.0001327951323971259,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
69,1905.6301343251823,1905.3870375171543,0.00012758395183833972,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
70,1961.230426133744,1960.9899387026323,0.00012263572921274838,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
71,2017.6307178533566,2017.3927986329284,0.00011793400897904624,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
72,2074.831009484035,2074.595618465732,0.0001134635666862722,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
73,2132.8313010257925,2132.5983993106497,0.00010921030195750886,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
74,2191.631592478644,2191.4011422318335,0.0001051611420517028,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
75,2251.231883842603,2251.0038482504287,0.00010130395483401921,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
76,2311.632175117684,2311.406518346864,9.762747012646446e-05,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
77,2372.8324663039,2372.6091534629886,9.412120853772428e-05,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
78,2434.832757401268,2434.6117545040684,9.077541697998056e-05,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
79,2497.6330484097984,2497.41432234066,8.758101015993462e-05,0.00000x^3 + 0.40000x^2 + 0.00030x +1.20978
