State,Predicted energy,Original energy,Error,Formula
1,1.7186890947244553,0.5000000000000308,2.437378189448699,0.40000x^2 + 0.00016x + 1.31853
2,2.918849878255866,1.8462309376513153,0.5809776657567466,0.40000x^2 + 0.00016x + 1.31853
3,4.919010641696323,3.9363376097055656,0.24964145086738643,0.40000x^2 + 0.00016x + 1.31853
4,7.719171385045822,6.799665277815471,0.13522814280731194,0.40000x^2 + 0.00016x + 1.31853
5,11.319332108304367,10.448046575287828,0.08339219458279809,0.40000x^2 + 0.00016x + 1.31853
6,15.719492811471959,14.887065996873584,0.05591610964666855,0.40000x^2 + 0.00016x + 1.31853
7,20.919653494548594,20.119720824009175,0.039758636689672534,0.40000x^2 + 0.00016x + 1.31853
8,26.919814157534276,26.14778384307064,0.029525650016730902,0.40000x^2 + 0.00016x + 1.31853
9,33.71997480042901,32.97238355306372,0.02267325460903238,0.40000x^2 + 0.00016x + 1.31853
10,41.32013542323277,40.594280208136695,0.01788072633322823,0.40000x^2 + 0.00016x + 1.31853
11,49.72029602594559,49.014009378430366,0.014409893344208722,0.40000x^2 + 0.00016x + 1.31853
12,58.92045660856745,58.231962159249214,0.011823308433869736,0.40000x^2 + 0.00016x + 1.31853
13,68.92061717109834,68.24843268065894,0.009849083180922598,0.40000x^2 + 0.00016x + 1.31853
14,79.7207777135383,79.06364764034258,0.008311405972375261,0.40000x^2 + 0.00016x + 1.31853
15,91.32093823588728,90.67778541941472,0.007092727435917966,0.40000x^2 + 0.00016x + 1.31853
16,103.72109873814533,103.09098888729196,0.006112171952703486,0.40000x^2 + 0.00016x + 1.31853
17,116.92125922031242,116.30337423515432,0.005312700420099547,0.40000x^2 + 0.00016x + 1.31853
18,130.92141968238857,130.3150372269515,0.004653204022656524,0.40000x^2 + 0.00016x + 1.31853
19,145.72158012437373,145.12605772250683,0.00410348362804418,0.40000x^2 + 0.00016x + 1.31853
20,161.32174054626796,160.7365030151513,0.0036409746394787225,0.40000x^2 + 0.00016x + 1.31853
21,177.7219009480712,177.14643033780513,0.0032485588852606325,0.40000x^2 + 0.00016x + 1.31853
22,194.92206132978353,194.35588877413647,0.0029130712695050556,0.40000x^2 + 0.00016x + 1.31853
23,212.9222216914049,212.36492073649825,0.0026242608853377838,0.40000x^2 + 0.00016x + 1.31853
24,231.7223820329353,231.1735631233281,0.0023740556757105916,0.40000x^2 + 0.00016x + 1.31853
25,251.32254235437472,250.78184823594472,0.002156033709111562,0.40000x^2 + 0.00016x + 1.31853
26,271.7227026557232,271.1898045123552,0.0019650375290702978,0.40000x^2 + 0.00016x + 1.31853
27,292.9228629369807,292.3974571202177,0.0017968891451302187,0.40000x^2 + 0.00016x + 1.31853
28,314.9230231981473,314.4048284402005,0.0016481768442221858,0.40000x^2 + 0.00016x + 1.31853
29,337.7231834392229,337.2119384631839,0.0015160939389303727,0.40000x^2 + 0.00016x + 1.31853
30,361.3233436602076,360.81880511910214,0.0013983155366277184,0.40000x^2 + 0.00016x + 1.31853
31,385.72350386110134,385.2254445510759,0.0012929034597022923,0.40000x^2 + 0.00016x + 1.31853
32,410.9236640419041,410.4318713454094,0.0011982322300717046,0.40000x^2 + 0.00016x + 1.31853
33,436.9238242026159,436.43809872571416,0.001112930970783547,0.40000x^2 + 0.00016x + 1.31853
34,463.72398434323674,463.2441387176741,0.001035837446083858,0.40000x^2 + 0.00016x + 1.31853
35,491.3241444637667,490.850002289624,0.0009659614381806994,0.40000x^2 + 0.00016x + 1.31853
36,519.7243045642056,519.2556994730832,0.0009024553637021834,0.40000x^2 + 0.00016x + 1.31853
