State,Predicted energy,Original energy,Error,Formula
1,0.5,0.5000000000000308,-6.150635556422989e-14,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
2,1.7031943257580546,1.8462309376513153,-0.07747492958558308,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
3,3.705937952857006,3.9363376097055656,-0.058531477655899916,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
4,6.508510737256709,6.799665277815471,-0.04281895191351259,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
5,10.110972410075815,10.448046575287828,-0.03226193171930099,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
6,14.513351377694434,14.887065996873584,-0.025103309091101877,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
7,19.715664386502926,20.119720824009175,-0.020082606565001736,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
8,25.717922509816272,26.14778384307064,-0.016439685131032063,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
9,32.5201336224661,32.97238355306372,-0.013716021769242154,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
10,40.12230361536171,40.594280208136695,-0.011626677215485728,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
11,48.5244370629773,49.014009378430366,-0.009988415999049316,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
12,57.726537621101336,58.231962159249214,-0.00867950382241412,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
13,67.72860827878347,68.24843268065894,-0.007616649664436645,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
14,78.53065152575583,79.06364764034258,-0.0067413549778443035,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
15,90.13266946806867,90.67778541941472,-0.006011571068092442,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
16,102.53466391054354,103.09098888729196,-0.0053964462146797,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
17,115.73663641715908,116.30337423515432,-0.004872926703307479,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
18,129.73858835629437,130.3150372269515,-0.004423502328846338,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
19,144.54052093529958,145.12605772250683,-0.0040346771379047705,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
20,160.14243522736723,160.7365030151513,-0.0036959108643048683,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
21,176.544332192736,177.14643033780513,-0.003398872581970625,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
22,193.7462126956469,194.35588877413647,-0.0031369056133826916,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
23,211.7480775180656,212.36492073649825,-0.0029046379990319885,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
24,230.54992737090654,231.1735631233281,-0.0026976949439883047,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
25,250.15176290330365,250.78184823594472,-0.0025124838064366837,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
26,270.55358471033423,271.1898045123552,-0.002346031419451687,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
27,291.75539333950604,292.3974571202177,-0.002195859659777066,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
28,313.75718929624674,314.4048284402005,-0.002059889306302267,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
29,336.55897304857837,337.2119384631839,-0.0019363650574810113,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
30,360.160745031125,360.81880511910214,-0.001823796538985667,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
31,384.5625056485665,385.2254445510759,-0.0017209115126908092,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
32,409.76425527863233,410.4318713454094,-0.0016266184801598752,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
33,435.765994274709,436.43809872571416,-0.001539976580796999,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
34,462.5677229681207,463.2441387176741,-0.0014601711991992885,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
35,490.16944167013486,490.850002289624,-0.0013864940741868032,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
36,518.5711506737306,519.2556994730832,-0.0013183269823464972,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
37,547.7728502551656,548.4612394665784,-0.0012551282786770262,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
38,577.7745406753687,578.4666307254648,-0.001196421735214269,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
39,608.5762221811825,609.2718810399505,-0.0011417872388605134,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
40,640.1778950064743,640.8769976031358,-0.0010908530018648806,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
41,672.5795593731339,673.2819870705672,-0.0010432890095420214,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
42,705.7812154919707,706.4868556125405,-0.0009988014850722032,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
43,739.7828635635249,740.4916089601913,-0.0009571281944189789,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
44,774.5845037788001,775.2962524462373,-0.0009180344483691846,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
45,810.1861363199278,810.9007910410986,-0.0008813096855576243,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
46,846.5877613607724,847.3052293850151,-0.0008467645417028551,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
47,883.7893790674815,884.5095718166784,-0.0008142283273630934,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
48,921.790989598989,922.5138223988264,-0.000783546850233449,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
49,960.5925931074756,961.3179849411736,-0.0007545805290871741,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
50,1000.1941897387895,1000.922063021012,-0.0007272027554529226,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
51,1040.595779632835,1041.3260600017516,-0.0007012984664143352,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
52,1081.7973629239284,1082.5299790496488,-0.0006767628979324266,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
53,1123.7989397411254,1124.533823148931,-0.0006535004929845991,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
54,1166.6005102085262,1167.337595115497,-0.0006314239428721512,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
55,1210.202074445554,1210.9412976093483,-0.0006104533434062666,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
56,1254.6036325672164,1255.3449331458996,-0.0005905154504630788,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
57,1299.8051846843446,1300.548504106274,-0.0005715430217193861,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
58,1345.806730903817,1346.5520127467037,-0.000553474233324614,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
59,1392.6082713287683,1393.3554612071175,-0.0005362521618868874,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
60,1440.2098060587814,1440.9588515190053,-0.0005198243235289342,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
61,1488.6113351900692,1489.362185612625,-0.0005041422629156092,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
62,1537.812858815642,1538.5654653236256,-0.0004891611861477879,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
63,1587.8143770254649,1588.5686923991314,-0.00047483963222722436,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
64,1638.6158899066063,1639.3718685033489,-0.00046113917852741004,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
65,1690.2173975433734,1690.9749952227332,-0.00044802417628892437,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
66,1742.6189000174438,1743.3780740707616,-0.00043546151268561764,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
67,1795.820397407986,1796.5811064923428,-0.00042342039644505125,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
68,1849.821889791772,1850.5840938679005,-0.0004118721643907436,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
69,1904.6233772432865,1905.3870375171543,-0.00040079010659319867,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
70,1960.2248598348265,1960.9899387026323,-0.0003901493081152859,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
71,2016.6263376365969,2017.3927986329284,-0.00037992650556246434,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
72,2073.8278107168,2074.595618465732,-0.00037009995687740835,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
73,2131.8292791417193,2132.5983993106497,-0.00036064932299442737,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
74,2190.6307429758003,2191.4011422318335,-0.000351555560132912,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
75,2250.2322022817257,2251.0038482504287,-0.000342800821643563,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
76,2310.633657120487,2311.406518346864,-0.00033436836845538814,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
77,2371.8351075514506,2372.6091534629886,-0.0003262424872669071,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
78,2433.8365536324254,2434.6117545040684,-0.0003184084157191815,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
79,2496.637995419718,2497.41432234066,-0.00031085227388868194,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
80,2560.2394329681965,2561.0168578103626,-0.0003035610014807729,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
81,2624.6408663313396,2625.419361719461,-0.00029652230019800314,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
82,2689.8422955612937,2690.621834844468,-0.0002897245807936192,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
83,2755.8437207089173,2756.6242779335744,-0.0002831569143844956,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
84,2822.6451418238307,2823.426691708009,-0.0002768089876296676,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
85,2890.2465589544627,2891.029076863318,-0.00027067106142856026,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
86,2958.6479721480887,2959.431434070574,-0.0002647339328310907,0.4x^2 + 0.1 + -0.09681(x-1)^1.00335
