Eigenstate,E
1,0.0
2,1.2
3,3.2
4,6.0
5,9.6
6,14.0
7,19.2
8,25.2
9,32.0
10,39.6
11,48.0
12,57.2
13,67.2
14,78.0
15,89.6
16,102.0
17,115.2
18,129.2
19,144.0
20,159.6
21,176.0
22,193.2
23,211.2
24,230.0
25,249.6
26,270.0
27,291.2
28,313.2
29,336.0
30,359.6
31,384.0
32,409.2
33,435.2
34,462.0
35,489.6
36,518.0
37,547.2
38,577.2
39,608.0
40,639.6
41,672.0
42,705.2
43,739.2
44,774.0
45,809.6
46,846.0
47,883.2
48,921.2
49,960.0
50,999.6
51,1040.0
52,1081.2
53,1123.2
54,1166.0
55,1209.6
56,1254.0
57,1299.2
58,1345.2
59,1392.0
60,1439.6
61,1488.0
62,1537.2
63,1587.2
64,1638.0
65,1689.6
66,1742.0
67,1795.2
68,1849.2
69,1904.0
70,1959.6
71,2016.0
72,2073.2
73,2131.2
74,2190.0
75,2249.6
76,2310.0
77,2371.2
78,2433.2
79,2496.0
80,2559.6
81,2624.0
82,2689.2
83,2755.2
84,2822.0
85,2889.6
86,2958.0
87,3027.2
88,3097.2
89,3168.0
90,3239.6
91,3312.0
92,3385.2
93,3459.2
94,3534.0
95,3609.6
96,3686.0
97,3763.2
98,3841.2
99,3920.0
100,3999.6
101,4080.0
102,4161.2
103,4243.2
104,4326.0
105,4409.6
106,4494.0
107,4579.2
108,4665.2
109,4752.0
110,4839.6
111,4928.0
112,5017.2
113,5107.2
114,5198.0
115,5289.6
116,5382.0
117,5475.2
118,5569.2
119,5664.0
120,5759.6
121,5856.0
122,5953.2
123,6051.2
124,6150.0
125,6249.6
126,6350.0
127,6451.2
128,6553.2
129,6656.0
130,6759.6
131,6864.0
132,6969.2
133,7075.2
134,7182.0
135,7289.6
136,7398.0
137,7507.2
138,7617.2
139,7728.0
140,7839.6
141,7952.0
142,8065.2
143,8179.2
144,8294.0
145,8409.6
146,8526.0
147,8643.2
148,8761.2
149,8880.0
150,8999.6
151,9120.0
152,9241.2
153,9363.2
154,9486.0
155,9609.6
156,9734.0
157,9859.2
158,9985.2
159,10112.0
160,10239.6
161,10368.0
162,10497.2
163,10627.2
164,10758.0
165,10889.6
166,11022.0
