Matrix size (N),Eigenvalue 1,Eigenvalue 2,Eigenvalue 3,Eigenvalue 4,Eigenvalue 5,Eigenvalue 6,Eigenvalue 7,Eigenvalue 8,Eigenvalue 9,Eigenvalue 10
1,-1.1325922790102012,,,,,,,,,
2,-2.190161571761007,-1.4719535348264503,,,,,,,,
3,-2.713747238436221,-2.3048172958486846,-1.7184097962059357,,,,,,,
4,-3.078418128786356,-2.7440860618521796,-2.4305417106791527,-1.9217266649097713,,,,,,
5,-3.360592164118975,-3.058130221500987,-2.8192481186391505,-2.557780616461422,-2.0946170144226124,,,,,
6,-3.5914050382808993,-3.3058008228710802,-3.100802555508507,-2.912354392938852,-2.677778638860487,-2.244608650812663,,,,
7,-3.786937198566675,-3.511404874338646,-3.3251326701991433,-3.171082969262366,-3.0074491972496347,-2.788526623605984,-2.3768317031765,,,
8,-3.9566604038537934,-3.6876502002054883,-3.512956298129884,-3.37846009662761,-3.2490906895581357,-3.099038764442785,-2.890265984817991,-2.494931109852005,,
9,-4.106651100063533,-3.842115503522671,-3.6751302694850323,-3.55300411575242,-3.443491265903015,-3.3272977080940014,-3.1854676652190217,-2.983867346597522,-2.6015701132593056,
10,-4.241050852257287,-3.979722307837798,-3.818148831193377,-3.7044182133971564,-3.607671329432848,-3.51137355339103,-3.402889662194538,-3.2664793765589595,-3.0702966126848996,-2.6987425970627763
11,-4.362813662400606,-4.103864012053803,-3.946245267636808,-3.838506101477224,-3.7505445147085927,-3.667190350636964,-3.5785063748787556,-3.4748988711310944,-3.3423240890018153,-3.1504475677692674
12,-4.474122589939382,-4.216987209273504,-4.062351056930452,-3.9590528439201047,-3.877437339385561,-3.803083783767908,-3.727397619829949,-3.643424894810617,-3.5431130343202195,-3.4134170958534904
13,-4.576637665671572,-4.320918050128137,-4.16858948020471,-4.068682398273427,-3.9918213370360824,-3.924029783883971,-3.8574547221131232,-3.786462522236134,-3.7055860280215462,-3.6076324609576007
14,-4.671651214300778,-4.417057911842657,-4.266552804652401,-4.169298278715466,-4.096102501395292,-4.033268116357828,-3.9733838739089147,-3.911548608112043,-3.8435934132047276,-3.764860727189373
