State,Predicted energy,Original energy,Error,Formula
1,0.5336304400289827,0.5000000000000306,0.06726088005790008,0.05879 - -0.20146log(10.55891x)
2,0.6732739264064358,0.6462309376513152,0.04184725177876282,0.05879 - -0.20146log(10.55891x)
3,0.7549601294072114,0.7363376097055658,0.025290735467243048,0.05879 - -0.20146log(10.55891x)
4,0.8129174127838888,0.7996652778154713,0.016572102523470605,0.05879 - -0.20146log(10.55891x)
5,0.8578725743168116,0.8480465752878278,0.011586626625605901,0.05879 - -0.20146log(10.55891x)
6,0.8946036157846646,0.8870659968735847,0.008497247034207015,0.05879 - -0.20146log(10.55891x)
7,0.9256592688440096,0.9197208240091744,0.006456790669312877,0.05879 - -0.20146log(10.55891x)
8,0.952560899161342,0.947783843070635,0.005040237946270816,0.05879 - -0.20146log(10.55891x)
9,0.9762898187854401,0.9723835530637258,0.00401720669730236,0.05879 - -0.20146log(10.55891x)
10,0.9975160606942648,0.9942802081366956,0.0032544674339171045,0.05879 - -0.20146log(10.55891x)
11,1.0167175321398907,1.0140093784303672,0.002670738325631233,0.05879 - -0.20146log(10.55891x)
12,1.0342471021621176,1.0319621592492172,0.002214173157824645,0.05879 - -0.20146log(10.55891x)
13,1.0503727433998045,1.0484326806589377,0.001850440926400207,0.05879 - -0.20146log(10.55891x)
14,1.065302755221463,1.0636476403425816,0.001556074414218769,0.05879 - -0.20146log(10.55891x)
15,1.0792022636950407,1.077785419414738,0.001314588465180779,0.05879 - -0.20146log(10.55891x)
16,1.0922043855387953,1.0909888872919695,0.0011141252316903508,0.05879 - -0.20146log(10.55891x)
17,1.1044180016194702,1.1033742351543148,0.0009459768335169554,0.05879 - -0.20146log(10.55891x)
18,1.1159333051628932,1.1150372269514832,0.0008036307575666373,0.05879 - -0.20146log(10.55891x)
19,1.1268258478849502,1.1260577225068327,0.000682136770402447,0.05879 - -0.20146log(10.55891x)
20,1.137159547071718,1.1365030151513031,0.0005776772359265684,0.05879 - -0.20146log(10.55891x)
21,1.1469889582222386,1.146430337805115,0.0004872693950100905,0.05879 - -0.20146log(10.55891x)
22,1.1563610185173439,1.1558887741365067,0.00040855520998543725,0.05879 - -0.20146log(10.55891x)
23,1.1653164024171954,1.1649207364982603,0.00033965050714471467,0.05879 - -0.20146log(10.55891x)
24,1.1738905885395707,1.1735631233281227,0.00027903502158395556,0.05879 - -0.20146log(10.55891x)
25,1.1821147086046409,1.181848235944732,0.00022547113225232135,0.05879 - -0.20146log(10.55891x)
26,1.1900162297772576,1.1898045123552052,0.00017794303169459396,0.05879 - -0.20146log(10.55891x)
27,1.1976195081636691,1.1974571202177133,0.00013561065629329216,0.05879 - -0.20146log(10.55891x)
