State,Predicted energy,Original energy,Error,Formula
1,0.4929144620077138,0.5000000000000306,-0.01417107598463276,0.20131ln(1.18929x+-0.22387) + 0.5
2,0.6545384895374964,0.6462309376513152,0.012855391783585007,0.20131ln(1.18929x+-0.22387) + 0.5
3,0.7430179833292767,0.7363376097055658,0.009072432992227725,0.20131ln(1.18929x+-0.22387) + 0.5
4,0.8042736179405761,0.7996652778154713,0.005762836342843203,0.20131ln(1.18929x+-0.22387) + 0.5
5,0.8511739177619329,0.8480465752878278,0.0036877013188145276,0.20131ln(1.18929x+-0.22387) + 0.5
6,0.8891859691974098,0.8870659968735847,0.002389869898403083,0.20131ln(1.18929x+-0.22387) + 0.5
7,0.921147867260065,0.9197208240091744,0.0015516048061953718,0.20131ln(1.18929x+-0.22387) + 0.5
8,0.9487236923350277,0.947783843070635,0.0009916282824022342,0.20131ln(1.18929x+-0.22387) + 0.5
9,0.9729732493568009,0.9723835530637258,0.0006064441250749857,0.20131ln(1.18929x+-0.22387) + 0.5
10,0.9946132992941042,0.9942802081366956,0.0003350073296066809,0.20131ln(1.18929x+-0.22387) + 0.5
11,1.0141512961703087,1.0140093784303672,0.00013995702895886923,0.20131ln(1.18929x+-0.22387) + 0.5
12,1.0319597013140496,1.0319621592492172,-2.381807458336934e-06,0.20131ln(1.18929x+-0.22387) + 0.5
13,1.0483199884395162,1.0484326806589377,-0.00010748636655490745,0.20131ln(1.18929x+-0.22387) + 0.5
14,1.0634500611302464,1.0636476403425816,-0.00018575626442566222,0.20131ln(1.18929x+-0.22387) + 0.5
15,1.0775220627084918,1.077785419414738,-0.0002443498506309625,0.20131ln(1.18929x+-0.22387) + 0.5
16,1.0906743552548188,1.0909888872919695,-0.00028829994586968753,0.20131ln(1.18929x+-0.22387) + 0.5
17,1.1030198184507893,1.1033742351543148,-0.00032121169067887554,0.20131ln(1.18929x+-0.22387) + 0.5
18,1.114651746802521,1.1150372269514832,-0.00034571056431553364,0.20131ln(1.18929x+-0.22387) + 0.5
19,1.1256481338211148,1.1260577225068327,-0.0003637368471715684,0.20131ln(1.18929x+-0.22387) + 0.5
20,1.1360748452609695,1.1365030151513031,-0.0003767432946728007,0.20131ln(1.18929x+-0.22387) + 0.5
21,1.1459880101349118,1.146430337805115,-0.0003858303951115771,0.20131ln(1.18929x+-0.22387) + 0.5
22,1.155435850062263,1.1558887741365067,-0.0003918405337763053,0.20131ln(1.18929x+-0.22387) + 0.5
23,1.1644600981980664,1.1649207364982603,-0.00039542458620713753,0.20131ln(1.18929x+-0.22387) + 0.5
