State,Predicted energy,Original energy,Error,Formula
1,0.5336304421645515,0.5000000000000306,0.06726088432903753,0.20146ln(0.20146x) + 0.5
2,0.6732739285440614,0.6462309376513152,0.04184725508659831,0.20146ln(0.20146x) + 0.5
3,0.7549601315460404,0.7363376097055658,0.02529073837192831,0.20146ln(0.20146x) + 0.5
4,0.8129174149235714,0.7996652778154713,0.016572105199193315,0.20146ln(0.20146x) + 0.5
5,0.8578725764571564,0.8480465752878278,0.01158662914945878,0.20146ln(0.20146x) + 0.5
6,0.8946036179255503,0.8870659968735847,0.0084972494476528,0.20146ln(0.20146x) + 0.5
7,0.9256592709853528,0.9197208240091744,0.006456792997566362,0.20146ln(0.20146x) + 0.5
8,0.9525609013030814,0.947783843070635,0.0050402402060047815,0.20146ln(0.20146x) + 0.5
9,0.9762898209275291,0.9723835530637258,0.004017208900228412,0.20146ln(0.20146x) + 0.5
10,0.9975160628366664,0.9942802081366956,0.0032544695886432794,0.20146ln(0.20146x) + 0.5
11,1.016717534282575,1.0140093784303672,0.00267074043871253,0.20146ln(0.20146x) + 0.5
12,1.0342471043050603,1.0319621592492172,0.0022141752343956636,0.20146ln(0.20146x) + 0.5
13,1.0503727455429848,1.0484326806589377,0.0018504429705756122,0.20146ln(0.20146x) + 0.5
14,1.0653027573648628,1.0636476403425816,0.0015560764293597055,0.20146ln(0.20146x) + 0.5
15,1.079202265838645,1.077785419414738,0.001314590454077981,0.20146ln(0.20146x) + 0.5
16,1.092204387682591,1.0909888872919695,0.0011141271966927744,0.20146ln(0.20146x) + 0.5
17,1.1044180037634463,1.1033742351543148,0.0009459787766256844,0.20146ln(0.20146x) + 0.5
18,1.115933307307039,1.1150372269514832,0.0008036326805031079,0.20146ln(0.20146x) + 0.5
19,1.1268258500292563,1.1260577225068327,0.0006821386746619029,0.20146ln(0.20146x) + 0.5
20,1.1371595492161761,1.1365030151513031,0.0005776791228183215,0.20146ln(0.20146x) + 0.5
21,1.1469889603668415,1.146430337805115,0.00048727126568890014,0.20146ln(0.20146x) + 0.5
22,1.156361020662085,1.1558887741365067,0.00040855706547629364,0.20146ln(0.20146x) + 0.5
23,1.1653164045620683,1.1649207364982603,0.0003396523483626437,0.20146ln(0.20146x) + 0.5
24,1.1738905906845702,1.1735631233281227,0.0002790368493505824,0.20146ln(0.20146x) + 0.5
25,1.1821147107497612,1.181848235944732,0.0002254729473079591,0.20146ln(0.20146x) + 0.5
26,1.1900162319224947,1.1898045123552052,0.0001779448347110364,0.20146ln(0.20146x) + 0.5
27,1.197619510309018,1.1974571202177133,0.0001356124478804407,0.20146ln(0.20146x) + 0.5
28,1.2049462437443728,1.2048284402005225,9.777619777191158e-05,0.20146ln(0.20146x) + 0.5
29,1.2120158450895668,1.2119384631839434,6.384969862261717e-05,0.20146ln(0.20146x) + 0.5
30,1.2188457522181553,1.2188051191021587,3.3338484848578995e-05,0.20146ln(0.20146x) + 0.5
31,1.2254516871554797,1.2254445510759409,5.823257798627589e-06,0.20146ln(0.20146x) + 0.5
32,1.231847874062101,1.2318713454093864,-1.905340794943854e-05,0.20146ln(0.20146x) + 0.5
33,1.2380472236640636,1.2380987257141485,-4.159769250643144e-05,0.20146ln(0.20146x) + 0.5
34,1.2440614901429563,1.24413871767408,-6.207308721006579e-05,0.20146ln(0.20146x) + 0.5
35,1.2499014052779578,1.250002289624039,-8.070732903344148e-05,0.20146ln(0.20146x) + 0.5
36,1.255576793686549,1.2556994730830962,-9.769805528864793e-05,0.20146ln(0.20146x) + 0.5
37,1.26109667227245,1.2612394665783224,-0.00011321744177565996,0.20146ln(0.20146x) + 0.5
