State,Predicted energy,Original energy,Error,Formula
1,0.5,0.5000000000000306,-6.128431095930488e-14,0.20549923045704335256ln(x) + 0.5
2,0.642441212198538,0.6462309376513152,-0.005864351630317699,0.20549923045704335256ln(x) + 0.5
3,0.7257639798919477,0.7363376097055658,-0.014359757907580048,0.20549923045704335256ln(x) + 0.5
4,0.784882424397076,0.7996652778154713,-0.01848630149201814,0.20549923045704335256ln(x) + 0.5
5,0.830738252473598,0.8480465752878278,-0.020409637063100363,0.20549923045704335256ln(x) + 0.5
6,0.8682051920904857,0.8870659968735847,-0.021262008519741256,0.20549923045704335256ln(x) + 0.5
7,0.8998830381694174,0.9197208240091744,-0.021569355963129908,0.20549923045704335256ln(x) + 0.5
8,0.9273236365956141,0.947783843070635,-0.02158741850750885,0.20549923045704335256ln(x) + 0.5
9,0.9515279597838955,0.9723835530637258,-0.02144790830132803,0.20549923045704335256ln(x) + 0.5
10,0.9731794646721361,0.9942802081366956,-0.02122212962893304,0.20549923045704335256ln(x) + 0.5
11,0.9927656332766472,1.0140093784303672,-0.020950245239944577,0.20549923045704335256ln(x) + 0.5
12,1.0106464042890237,1.0319621592492172,-0.020655558703529676,0.20549923045704335256ln(x) + 0.5
13,1.0270951191196336,1.0484326806589377,-0.02035186610731506,0.20549923045704335256ln(x) + 0.5
14,1.0423242503679555,1.0636476403425816,-0.020047419056707774,0.20549923045704335256ln(x) + 0.5
15,1.0565022323655455,1.077785419414738,-0.019747146942059927,0.20549923045704335256ln(x) + 0.5
16,1.069764848794152,1.0909888872919695,-0.019453945631379792,0.20549923045704335256ln(x) + 0.5
17,1.082223161924179,1.1033742351543148,-0.019169446372995783,0.20549923045704335256ln(x) + 0.5
18,1.0939691719824334,1.1150372269514832,-0.01889448572640933,0.20549923045704335256ln(x) + 0.5
19,1.1050799443464259,1.1260577225068327,-0.01862939860108238,0.20549923045704335256ln(x) + 0.5
20,1.115620676870674,1.1365030151513031,-0.01837420402958549,0.20549923045704335256ln(x) + 0.5
21,1.1256470180613651,1.146430337805115,-0.018128724492358063,0.20549923045704335256ln(x) + 0.5
22,1.1352068454751851,1.1558887741365067,-0.017892663311633736,0.20549923045704335256ln(x) + 0.5
23,1.1443416484759508,1.1649207364982603,-0.017665655162230256,0.20549923045704335256ln(x) + 0.5
24,1.1530876164875619,1.1735631233281227,-0.017447299112888042,0.20549923045704335256ln(x) + 0.5
25,1.161476504947196,1.181848235944732,-0.0172371801877349,0.20549923045704335256ln(x) + 0.5
26,1.1695363313181717,1.1898045123552052,-0.017034883316178463,0.20549923045704335256ln(x) + 0.5
27,1.1772919396758432,1.1974571202177133,-0.016840002202503767,0.20549923045704335256ln(x) + 0.5
28,1.1847654625664936,1.2048284402005225,-0.01665214479058092,0.20549923045704335256ln(x) + 0.5
29,1.1919767017834315,1.2119384631839434,-0.016470936443480258,0.20549923045704335256ln(x) + 0.5
30,1.1989434445640836,1.2188051191021587,-0.016296021592612214,0.20549923045704335256ln(x) + 0.5
31,1.2056817279210312,1.2254445510759409,-0.016127064368239147,0.20549923045704335256ln(x) + 0.5
32,1.2122060609926901,1.2318713454093864,-0.01596374856025318,0.20549923045704335256ln(x) + 0.5
33,1.2185296131685948,1.2380987257141485,-0.015805777147752123,0.20549923045704335256ln(x) + 0.5
34,1.224664374122717,1.24413871767408,-0.01565287156063291,0.20549923045704335256ln(x) + 0.5
35,1.2306212906430152,1.250002289624039,-0.015504770784742357,0.20549923045704335256ln(x) + 0.5
36,1.2364103841809715,1.2556994730830962,-0.015361230386411259,0.20549923045704335256ln(x) + 0.5
37,1.2420408522919413,1.2612394665783224,-0.015222021507514345,0.20549923045704335256ln(x) + 0.5
38,1.247521156544964,1.2666307254649043,-0.015086929864997814,0.20549923045704335256ln(x) + 0.5
39,1.2528590990115813,1.2718810399504927,-0.014955754776918309,0.20549923045704335256ln(x) + 0.5
40,1.2580618890692121,1.276997603135862,-0.014828308228731539,0.20549923045704335256ln(x) + 0.5
41,1.2631362019545074,1.2819870705672147,-0.014704413987862444,0.20549923045704335256ln(x) + 0.5
42,1.2680882302599032,1.286855612540471,-0.014583906770642164,0.20549923045704335256ln(x) + 0.5
43,1.2729237293699693,1.2916089601913916,-0.01446663146301917,0.20549923045704335256ln(x) + 0.5
44,1.2776480576737232,1.2962524462372962,-0.0143524423946716,0.20549923045704335256ln(x) + 0.5
45,1.2822662122574933,1.3007910410985652,-0.014241202664977684,0.20549923045704335256ln(x) + 0.5
46,1.2867828606744889,1.3052293850149765,-0.014132783518565971,0.20549923045704335256ln(x) + 0.5
47,1.291202369297448,1.3095718166784551,-0.01402706376775787,0.20549923045704335256ln(x) + 0.5
48,1.2955288286861,1.3138223988262228,-0.013923929258982322,0.20549923045704335256ln(x) + 0.5
49,1.2997660763388348,1.3179849411736768,-0.013823272380197284,0.20549923045704335256ln(x) + 0.5
50,1.303917717145734,1.3220630210122029,-0.013724991606358128,0.20549923045704335256ln(x) + 0.5
51,1.3079871418161266,1.3260600017516564,-0.013628991080084198,0.20549923045704335256ln(x) + 0.5
52,1.3119775435167096,1.3299790496489077,-0.013535180224793905,0.20549923045704335256ln(x) + 0.5
53,1.3158919329247831,1.3338231489313908,-0.013443473387737685,0.20549923045704335256ln(x) + 0.5
54,1.3197331518743813,1.3375951154970387,-0.013353789510527632,0.20549923045704335256ln(x) + 0.5
55,1.3235038857502452,1.3412976093485092,-0.01326605182492395,0.20549923045704335256ln(x) + 0.5
56,1.3272066747650317,1.3449331458995324,-0.013180187571810232,0.20549923045704335256ln(x) + 0.5
57,1.3308439242383736,1.3485041062740133,-0.013096127741453958,0.20549923045704335256ln(x) + 0.5
58,1.3344179139819694,1.3520127467037215,-0.013013806833292984,0.20549923045704335256ln(x) + 0.5
59,1.337930806882405,1.3554612071176513,-0.012933162633642765,0.20549923045704335256ln(x) + 0.5
60,1.3413846567626218,1.3588515190051056,-0.01285413600985069,0.20549923045704335256ln(x) + 0.5
61,1.3447814155935878,1.3621856126250025,-0.01277667071954748,0.20549923045704335256ln(x) + 0.5
62,1.3481229401195693,1.3654653236255831,-0.012700713233761448,0.20549923045704335256ln(x) + 0.5
