State,Predicted energy,Original energy,Error,Formula
1,0.5336304392637695,0.5000000000000306,0.06726087852747363,0.46389log_10(19.42517x) + -0.06402
2,0.6732739257088145,0.6462309376513152,0.04184725069923961,0.46389log_10(19.42517x) + -0.06402
3,0.754960128749129,0.7363376097055658,0.02529073457351936,0.46389log_10(19.42517x) + -0.06402
4,0.8129174121538597,0.7996652778154713,0.016572101735604538,0.46389log_10(19.42517x) + -0.06402
5,0.8578725737085423,0.8480465752878278,0.011586625908346564,0.46389log_10(19.42517x) + -0.06402
6,0.8946036151941741,0.8870659968735847,0.008497246368540034,0.46389log_10(19.42517x) + -0.06402
7,0.9256592682685513,0.9197208240091744,0.0064567900436248065,0.46389log_10(19.42517x) + -0.06402
8,0.9525608985989048,0.947783843070635,0.005040237352847314,0.46389log_10(19.42517x) + -0.06402
9,0.9762898182344887,0.9723835530637258,0.004017206130703517,0.46389log_10(19.42517x) + -0.06402
10,0.9975160601535874,0.9942802081366956,0.00325446689012936,0.46389log_10(19.42517x) + -0.06402
11,1.0167175316085073,1.0140093784303672,0.0026707378015893525,0.46389log_10(19.42517x) + -0.06402
12,1.0342471016392192,1.0319621592492172,0.002214172651121578,0.46389log_10(19.42517x) + -0.06402
13,1.0503727428847114,1.0484326806589377,0.0018504404351020161,0.46389log_10(19.42517x) + -0.06402
14,1.0653027547135963,1.0636476403425816,0.001556073936742377,0.46389log_10(19.42517x) + -0.06402
15,1.0792022631939018,1.077785419414738,0.001314588000209831,0.46389log_10(19.42517x) + -0.06402
16,1.0922043850439498,1.0909888872919695,0.0011141247781151552,0.46389log_10(19.42517x) + -0.06402
17,1.1044180011305367,1.1033742351543148,0.0009459763903911829,0.46389log_10(19.42517x) + -0.06402
18,1.1159333046795337,1.1150372269514832,0.0008036303240747656,0.46389log_10(19.42517x) + -0.06402
19,1.1268258474068629,1.1260577225068327,0.0006821363458350932,0.46389log_10(19.42517x) + -0.06402
20,1.1371595465986324,1.1365030151513031,0.0005776768196623223,0.46389log_10(19.42517x) + -0.06402
21,1.1469889577539105,1.146430337805115,0.00048726898650027737,0.46389log_10(19.42517x) + -0.06402
22,1.1563610180535524,1.1558887741365067,0.00040855480874315507,0.46389log_10(19.42517x) + -0.06402
23,1.1653164019577384,1.1649207364982603,0.00033965011273426034,0.46389log_10(19.42517x) + -0.06402
24,1.1738905880842643,1.1735631233281227,0.00027903463361465917,0.46389log_10(19.42517x) + -0.06402
25,1.182114708153315,1.181848235944732,0.00022547075037091576,0.46389log_10(19.42517x) + -0.06402
26,1.1900162293297565,1.1898045123552052,0.0001779426555814236,0.46389log_10(19.42517x) + -0.06402
27,1.1976195077198482,1.1974571202177133,0.00013561028565707271,0.46389log_10(19.42517x) + -0.06402
28,1.2049462411586411,1.2048284402005225,9.777405163098185e-05,0.46389log_10(19.42517x) + -0.06402
29,1.2120158425071532,1.2119384631839434,6.384756781012567e-05,0.46389log_10(19.42517x) + -0.06402
30,1.2188457496389469,1.2188051191021587,3.333636867072415e-05,0.46389log_10(19.42517x) + -0.06402
31,1.2254516845793715,1.2254445510759409,5.8211556160250605e-06,0.46389log_10(19.42517x) + -0.06402
32,1.2318478714889949,1.2318713454093864,-1.9055496727769302e-05,0.46389log_10(19.42517x) + -0.06402
33,1.238047221093867,1.2380987257141485,-4.159976842870544e-05,0.46389log_10(19.42517x) + -0.06402
34,1.2440614875755818,1.24413871767408,-6.207515078585418e-05,0.46389log_10(19.42517x) + -0.06402
35,1.249901402713324,1.250002289624039,-8.070938073675427e-05,0.46389log_10(19.42517x) + -0.06402
36,1.2555767911245788,1.2556994730830962,-9.770009556201466e-05,0.46389log_10(19.42517x) + -0.06402
37,1.2610966697130703,1.2612394665783224,-0.00011321947103312055,0.46389log_10(19.42517x) + -0.06402
38,1.266469333851908,1.2666307254649043,-0.00012741804675320338,0.46389log_10(19.42517x) + -0.06402
39,1.2717024323700712,1.2718810399504927,-0.00014042789758741405,0.46389log_10(19.42517x) + -0.06402
40,1.2768030330436775,1.276997603135862,-0.00015236527594633052,0.46389log_10(19.42517x) + -0.06402
41,1.281777679999279,1.2819870705672147,-0.00016333282350736164,0.46389log_10(19.42517x) + -0.06402
42,1.2866324441989558,1.286855612540471,-0.00017342143076540202,0.46389log_10(19.42517x) + -0.06402
43,1.2913729679842378,1.2916089601913916,-0.00018271180707726532,0.46389log_10(19.42517x) + -0.06402
44,1.2960045044985975,1.2962524462372962,-0.00019127581160475438,0.46389log_10(19.42517x) + -0.06402
45,1.3005319526792614,1.3007910410985652,-0.0001991775858827243,0.46389log_10(19.42517x) + -0.06402
46,1.3049598884027835,1.3052293850149765,-0.00020647452109722952,0.46389log_10(19.42517x) + -0.06402
47,1.3092925922808143,1.3095718166784551,-0.00021321808707600699,0.46389log_10(19.42517x) + -0.06402
48,1.3135340745293094,1.3138223988262228,-0.00021945454512800207,0.46389log_10(19.42517x) + -0.06402
49,1.3176880972733327,1.3179849411736768,-0.0002252255629565704,0.46389log_10(19.42517x) + -0.06402
50,1.32175819459836,1.3220630210122029,-0.0002305687467223698,0.46389log_10(19.42517x) + -0.06402
51,1.3257476906158963,1.3260600017516564,-0.00023551810276125373,0.46389log_10(19.42517x) + -0.06402
52,1.3296597157748018,1.3299790496489077,-0.00024010443938209014,0.46389log_10(19.42517x) + -0.06402
53,1.333497221618862,1.3338231489313908,-0.00024435571746508824,0.46389log_10(19.42517x) + -0.06402
54,1.3372629941648932,1.3375951154970387,-0.0002482973571730093,0.46389log_10(19.42517x) + -0.06402
55,1.34095966605328,1.3412976093485092,-0.0002519525069408089,0.46389log_10(19.42517x) + -0.06402
56,1.3445897276036864,1.3449331458995324,-0.000255342279943777,0.46389log_10(19.42517x) + -0.06402
57,1.3481555368922225,1.3485041062740133,-0.0002584859624595117,0.46389log_10(19.42517x) + -0.06402
58,1.3516593289521983,1.3520127467037215,-0.00026140119786951025,0.46389log_10(19.42517x) + -0.06402
59,1.3551032241883685,1.3554612071176513,-0.00026410414949759906,0.46389log_10(19.42517x) + -0.06402
60,1.358489236083992,1.3588515190051056,-0.0002666096450176321,0.46389log_10(19.42517x) + -0.06402
61,1.3618192782708554,1.3621856126250025,-0.0002689313047736416,0.46389log_10(19.42517x) + -0.06402
62,1.3650951710244166,1.3654653236255831,-0.00027108165602019417,0.46389log_10(19.42517x) + -0.06402
63,1.3683186472392703,1.368692399131485,-0.000273072234821963,0.46389log_10(19.42517x) + -0.06402
64,1.37149135793404,1.3718685033488045,-0.00027491367710818604,0.46389log_10(19.42517x) + -0.06402
65,1.3746148773294844,1.3749952227332596,-0.0002766158001764699,0.46389log_10(19.42517x) + -0.06402
66,1.377690707538912,1.3780740707616996,-0.0002781876757725742,0.46389log_10(19.42517x) + -0.06402
67,1.380720282905894,1.3811064923429637,-0.000279637695725044,0.46389log_10(19.42517x) + -0.06402
68,1.3837049740206269,1.3840938679003123,-0.00028097363098313104,0.46389log_10(19.42517x) + -0.06402
69,1.3866460914430982,1.3870375171543676,-0.0002822026848072737,0.46389log_10(19.42517x) + -0.06402
70,1.389544889158369,1.3899387026325447,-0.00028333154075771893,0.46389log_10(19.42517x) + -0.06402
71,1.3924025677867766,1.3927986329283857,-0.0002843664060585157,0.46389log_10(19.42517x) + -0.06402
72,1.3952202775696239,1.3956184657318762,-0.00028531305082978416,0.46389log_10(19.42517x) + -0.06402
73,1.3979991211489384,1.3983993106498085,-0.0002861768436399634,0.46389log_10(19.42517x) + -0.06402
74,1.4007401561581154,1.4011422318334021,-0.00028696278375721997,0.46389log_10(19.42517x) + -0.06402
75,1.4034443976386746,1.4038482504287875,-0.00028767553044964096,0.46389log_10(19.42517x) + -0.06402
76,1.406112820296953,1.4065183468644906,-0.000288319429633883,0.46389log_10(19.42517x) + -0.06402
77,1.408746360613289,1.40915346298877,-0.0002888985381461409,0.46389log_10(19.42517x) + -0.06402
78,1.4113459188151163,1.4117545040684751,-0.00028941664586963693,0.46389log_10(19.42517x) + -0.06402
79,1.413912360724375,1.414322340660064,-0.00028987729593352987,0.46389log_10(19.42517x) + -0.06402
80,1.4164465194887226,1.416857810362466,-0.0002902838031702398,0.46389log_10(19.42517x) + -0.06402
81,1.4189491972052075,1.4193617194606403,-0.00029063927100240236,0.46389log_10(19.42517x) + -0.06402
82,1.4214211664443241,1.4218348444679048,-0.00029094660690737374,0.46389log_10(19.42517x) + -0.06402
83,1.4238631716816916,1.424277933574433,-0.0002912085365955029,0.46389log_10(19.42517x) + -0.06402
84,1.426275930644001,1.4266917080086856,-0.00029142761701825645,0.46389log_10(19.42517x) + -0.06402
85,1.4286601355753097,1.4290768633179858,-0.0002916062483221144,0.46389log_10(19.42517x) + -0.06402
86,1.431016454429283,1.4314340705739352,-0.0002917466848367358,0.46389log_10(19.42517x) + -0.06402
87,1.4333455319925128,1.4337639775079007,-0.000291851045187553,0.46389log_10(19.42517x) + -0.06402
88,1.4356479909436426,1.436067209581392,-0.0002919213216153083,0.46389log_10(19.42517x) + -0.06402
89,1.437924432852651,1.4383443709957509,-0.00029195938856360214,0.46389log_10(19.42517x) + -0.06402
90,1.4401754391243065,1.4405960456452465,-0.00029196701060748274,0.46389log_10(19.42517x) + -0.06402
91,1.4424015718894931,1.4428227980173347,-0.00029194584977475983,0.46389log_10(19.42517x) + -0.06402
92,1.4446033748478289,1.4450251740435636,-0.0002918974723148945,0.46389log_10(19.42517x) + -0.06402
93,1.446781374064731,1.4472037019043302,-0.00029182335495925006,0.46389log_10(19.42517x) + -0.06402
94,1.4489360787258594,1.4493588927904717,-0.00029172489071927453,0.46389log_10(19.42517x) + -0.06402
95,1.4510679818516357,1.451491241624429,-0.0002916033942579285,0.46389log_10(19.42517x) + -0.06402
96,1.4531775609743545,1.4536012277435408,-0.0002914601068712898,0.46389log_10(19.42517x) + -0.06402
97,1.4552652787802067,1.4556893155478232,-0.00029129620111068005,0.46389log_10(19.42517x) + -0.06402
98,1.4573315837183778,1.457755955114433,-0.00029111278507650495,0.46389log_10(19.42517x) + -0.06402
99,1.4593769105792262,1.4598015827808464,-0.0002909109064062979,0.46389log_10(19.42517x) + -0.06402
100,1.4614016810434052,1.4618266216986489,-0.0002906915559862322,0.46389log_10(19.42517x) + -0.06402
101,1.4634063042036634,1.4638314823596945,-0.0002904556714040416,0.46389log_10(19.42517x) + -0.06402
102,1.4653911770609414,1.4658165630962723,-0.0002902041401636105,0.46389log_10(19.42517x) + -0.06402
103,1.467356684996266,1.4677822505568072,-0.0002899378026813897,0.46389log_10(19.42517x) + -0.06402
104,1.469303202219847,1.469728920158519,-0.0002896574550810849,0.46389log_10(19.42517x) + -0.06402
105,1.4712310921986833,1.4716569365183627,-0.00028936385180017743,0.46389log_10(19.42517x) + -0.06402
106,1.4731407080639072,1.4735666538634924,-0.00028905770802321174,0.46389log_10(19.42517x) + -0.06402
107,1.475032392998997,1.4754584164224034,-0.0002887397019560587,0.46389log_10(19.42517x) + -0.06402
108,1.4769064806099381,1.4773325587978368,-0.00028841047695134665,0.46389log_10(19.42517x) + -0.06402
109,1.4787632952783227,1.479189406322453,-0.00028807064349505187,0.46389log_10(19.42517x) + -0.06402
110,1.4806031524983252,1.481029275398227,-0.00028772078106779507,0.46389log_10(19.42517x) + -0.06402
111,1.4824263591984297,1.4828524738204452,-0.0002873614398859406,0.46389log_10(19.42517x) + -0.06402
112,1.4842332140487315,1.4846593010871416,-0.0002869931425331523,0.46389log_10(19.42517x) + -0.06402
113,1.4860240077545763,1.4864500486947454,-0.000286616385490503,0.46389log_10(19.42517x) + -0.06402
114,1.4877990233372678,1.4882250004206743,-0.00028623164056921195,0.46389log_10(19.42517x) + -0.06402
115,1.4895585364025115,1.4899844325935607,-0.0002858393562595328,0.46389log_10(19.42517x) + -0.06402
116,1.4913028153972436,1.49172861435175,-0.0002854399589911249,0.46389log_10(19.42517x) + -0.06402
117,1.4930321218554308,1.4934578078906804,-0.00028503385432149887,0.46389log_10(19.42517x) + -0.06402
118,1.4947467106334136,1.4951722686997138,-0.0002846214280514107,0.46389log_10(19.42517x) + -0.06402
119,1.4964468301353184,1.4968722457889487,-0.0002842030472721334,0.46389log_10(19.42517x) + -0.06402
120,1.498132722529037,1.498557981906527,-0.00028377906135389967,0.46389log_10(19.42517x) + -0.06402
121,1.499804623953245,1.5002297137468972,-0.00028334980287152595,0.46389log_10(19.42517x) + -0.06402
122,1.5014627647159005,1.501887672150498,-0.0002829155884800853,0.46389log_10(19.42517x) + -0.06402
123,1.5031073694846386,1.5035320822952665,-0.00028247671973814954,0.46389log_10(19.42517x) + -0.06402
124,1.5047386574694617,1.5051631638803804,-0.0002820334838811345,0.46389log_10(19.42517x) + -0.06402
125,1.5063568425980878,1.5067811313026076,-0.00028158615455519407,0.46389log_10(19.42517x) + -0.06402
126,1.5079621336843154,1.5083861938256111,-0.00028113499250492877,0.46389log_10(19.42517x) + -0.06402
127,1.5095547345897327,1.5099785557425531,-0.000280680246225119,0.46389log_10(19.42517x) + -0.06402
128,1.511134844379085,1.5115584165323075,-0.00028022215257425656,0.46389log_10(19.42517x) + -0.06402
129,1.5127026574695974,1.513125971009582,-0.0002797609373541059,0.46389log_10(19.42517x) + -0.06402
130,1.5142583637745293,1.514681409469234,-0.0002792968158584518,0.46389log_10(19.42517x) + -0.06402
131,1.5158021488412328,1.5162249178250475,-0.0002788299933899066,0.46389log_10(19.42517x) + -0.06402
132,1.5173341939839569,1.5177566777432208,-0.0002783606657505217,0.46389log_10(19.42517x) + -0.06402
133,1.5188546764116446,1.5192768667708083,-0.0002778890197025409,0.46389log_10(19.42517x) + -0.06402
134,1.520363769350939,1.5207856584593449,-0.00027741523340849635,0.46389log_10(19.42517x) + -0.06402
135,1.521861642164621,1.522283222483864,-0.00027693947684401916,0.46389log_10(19.42517x) + -0.06402
136,1.523348460465672,1.5237697247575173,-0.00027646191219105607,0.46389log_10(19.42517x) + -0.06402
137,1.524824386227163,1.5252453275419877,-0.00027598269420892947,0.46389log_10(19.42517x) + -0.06402
138,1.5262895778881433,1.5267101895538808,-0.0002755019705870877,0.46389log_10(19.42517x) + -0.06402
139,1.5277441904557094,1.528164466067268,-0.00027501988227754767,0.46389log_10(19.42517x) + -0.06402
140,1.529188375603414,1.5296083090125492,-0.00027453656381244164,0.46389log_10(19.42517x) + -0.06402
141,1.5306222817661737,1.531041867071791,-0.0002740521436031895,0.46389log_10(19.42517x) + -0.06402
142,1.5320460542318217,1.5324652857706875,-0.0002735667442247938,0.46389log_10(19.42517x) + -0.06402
143,1.5334598352294495,1.5338787075672962,-0.00027308048268756405,0.46389log_10(19.42517x) + -0.06402
144,1.5348637640146692,1.5352822719376675,-0.00027259347069132853,0.46389log_10(19.42517x) + -0.06402
145,1.536257976951926,1.5366761154585145,-0.00027210581487022444,0.46389log_10(19.42517x) + -0.06402
146,1.5376426075939835,1.5380603718870327,-0.0002716176170228168,0.46389log_10(19.42517x) + -0.06402
147,1.5390177867586923,1.5394351722379933,-0.0002711289743330022,0.46389log_10(19.42517x) + -0.06402
148,1.5403836426031605,1.540800644858218,-0.0002706399795776031,0.46389log_10(19.42517x) + -0.06402
149,1.5417403006954236,1.5421569154985433,-0.0002701507213259407,0.46389log_10(19.42517x) + -0.06402
150,1.5430878840837197,1.5435041073833722,-0.0002696612841271421,0.46389log_10(19.42517x) + -0.06402
151,1.5444265133634614,1.5448423412779155,-0.00026917174869131306,0.46389log_10(19.42517x) + -0.06402
152,1.5457563067419984,1.546171735553206,-0.0002686821920587437,0.46389log_10(19.42517x) + -0.06402
153,1.5470773801012558,1.547492406248982,-0.00026819268776397825,0.46389log_10(19.42517x) + -0.06402
154,1.5483898470583342,1.548804467134516,-0.00026770330598863156,0.46389log_10(19.42517x) + -0.06402
155,1.5496938190241443,1.5501080297674747,-0.00026721411371090874,0.46389log_10(19.42517x) + -0.06402
156,1.5509894052601614,1.5514032035508825,-0.00026672517484427604,0.46389log_10(19.42517x) + -0.06402
157,1.5522767129333621,1.5526900957882617,-0.0002662365503720777,0.46389log_10(19.42517x) + -0.06402
158,1.5535558471694202,1.5539688117370218,-0.0002657482984745604,0.46389log_10(19.42517x) + -0.06402
159,1.5548269111042217,1.5552394546601596,-0.0002652604746502142,0.46389log_10(19.42517x) + -0.06402
160,1.5560900059337677,1.5565021258763392,-0.0002647731318320419,0.46389log_10(19.42517x) + -0.06402
161,1.5573452309625202,1.557756924808407,-0.00026428632049736657,0.46389log_10(19.42517x) + -0.06402
162,1.5585926836502528,1.5590039490304053,-0.00026380008877350066,0.46389log_10(19.42517x) + -0.06402
163,1.5598324596574582,1.560243294313134,-0.00026331448253816644,0.46389log_10(19.42517x) + -0.06402
164,1.5610646528893692,1.5614750546683216,-0.00026282954551555527,0.46389log_10(19.42517x) + -0.06402
165,1.5622893555386397,1.5626993223914476,-0.0002623453193673458,0.46389log_10(19.42517x) + -0.06402
166,1.563506658126737,1.5639161881032717,-0.0002618618437804153,0.46389log_10(19.42517x) + -0.06402
167,1.5647166495440912,1.5651257407901142,-0.0002613791565504149,0.46389log_10(19.42517x) + -0.06402
168,1.565919417089046,1.5663280678429319,-0.0002608972936612355,0.46389log_10(19.42517x) + -0.06402
169,1.5671150465056536,1.5675232550952325,-0.00026041628936095536,0.46389log_10(19.42517x) + -0.06402
170,1.5683036220203546,1.5687113868598712,-0.00025993617623499795,0.46389log_10(19.42517x) + -0.06402
171,1.569485226377582,1.5698925459647644,-0.00025945698527538713,0.46389log_10(19.42517x) + -0.06402
