State,Predicted energy,Original energy,Error,Formula
1,0.5,0.5000000000000306,-6.137965687256994e-14,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
2,0.6424412121985016,0.6462309376513152,-0.00586435163037402,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
3,0.72576397989189,0.7363376097055659,-0.014359757907658532,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
4,0.7848824243970032,0.7996652778154714,-0.018486301492109343,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
5,0.8307382524735134,0.8480465752878278,-0.02040963706320015,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
6,0.8682051920903916,0.8870659968735847,-0.021262008519847445,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
7,0.8998830381693151,0.9197208240091743,-0.02156935596324102,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
8,0.9273236365955049,0.9477838430706351,-0.021587418507624176,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
9,0.95152795978378,0.9723835530637259,-0.02144790830144684,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
10,0.9731794646720151,0.9942802081366955,-0.021222129629054662,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
11,0.9927656332765212,1.0140093784303672,-0.020950245240068815,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
12,1.0106464042888934,1.0319621592492172,-0.020655558703655933,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
13,1.0270951191194988,1.0484326806589377,-0.020351866107443564,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
14,1.0423242503678167,1.0636476403425816,-0.02004741905683828,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
15,1.0565022323654034,1.077785419414738,-0.019747146942191686,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
16,1.0697648487940064,1.0909888872919697,-0.019453945631513404,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
17,1.0822231619240301,1.1033742351543148,-0.019169446373130658,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
18,1.0939691719822817,1.1150372269514832,-0.018894485726545424,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
19,1.105079944346271,1.1260577225068327,-0.01862939860121979,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
20,1.1156206768705166,1.1365030151513034,-0.01837420402972413,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
21,1.1256470180612053,1.146430337805115,-0.018128724492497555,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
22,1.1352068454750228,1.155888774136507,-0.017892663311774287,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
23,1.144341648475786,1.1649207364982606,-0.01766565516237179,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
24,1.1530876164873949,1.1735631233281227,-0.017447299113030414,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
25,1.1614765049470268,1.1818482359447322,-0.017237180187878204,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
26,1.1695363313180005,1.1898045123552052,-0.017034883316322358,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
27,1.17729193967567,1.1974571202177136,-0.01684000220264851,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
28,1.1847654625663184,1.2048284402005223,-0.01665214479072621,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
29,1.1919767017832545,1.2119384631839434,-0.01647093644362635,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
30,1.1989434445639051,1.218805119102159,-0.016296021592758902,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
31,1.2056817279208507,1.2254445510759406,-0.016127064368386363,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
32,1.212206060992508,1.2318713454093866,-0.01596374856040115,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
33,1.2185296131684111,1.2380987257141483,-0.015805777147900317,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
34,1.2246643741225316,1.24413871767408,-0.01565287156078195,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
35,1.2306212906428287,1.250002289624039,-0.015504770784891556,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
36,1.2364103841807832,1.2556994730830962,-0.015361230386561273,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
37,1.2420408522917517,1.2612394665783224,-0.015222021507664689,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
38,1.2475211565447726,1.2666307254649045,-0.015086929865149106,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
39,1.2528590990113888,1.271881039950493,-0.014955754777069877,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
40,1.2580618890690183,1.276997603135862,-0.01482830822888336,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
41,1.2631362019543122,1.281987070567215,-0.014704413988014793,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
42,1.268088230259707,1.286855612540471,-0.014583906770794715,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
43,1.2729237293697717,1.2916089601913916,-0.014466631463172196,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
44,1.2776480576735243,1.2962524462372962,-0.01435244239482511,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
45,1.2822662122572934,1.3007910410985652,-0.014241202665131306,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
46,1.2867828606742877,1.3052293850149768,-0.014132783518720219,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
47,1.2912023692972459,1.3095718166784553,-0.014027063767912282,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
48,1.2955288286858964,1.3138223988262228,-0.013923929259137267,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
49,1.2997660763386303,1.3179849411736768,-0.013823272380352372,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
50,1.3039177171455285,1.3220630210122029,-0.013724991606513439,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
51,1.30798714181592,1.3260600017516564,-0.013628991080240122,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
52,1.3119775435165022,1.3299790496489077,-0.01353518022494991,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
53,1.3158919329245746,1.333823148931391,-0.013443473387894108,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
54,1.3197331518741717,1.3375951154970387,-0.01335378951068441,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
55,1.3235038857500347,1.3412976093485092,-0.01326605182508089,0.20549923045699081125547991177882067859172821044922ln(x) + 0.5
