State,Predicted energy,Original energy,Error,Formula
1,0.5,0.5000000000000306,-6.137965687256994e-14,0.10000000000000000000ln(x) + 0.5
2,0.5693147180559945,0.6462309376513152,-0.1190228061114928,0.10000000000000000000ln(x) + 0.5
3,0.6098612288668109,0.7363376097055659,-0.17176411902867236,0.10000000000000000000ln(x) + 0.5
4,0.6386294361119891,0.7996652778154714,-0.20137905967781997,0.10000000000000000000ln(x) + 0.5
5,0.6609437912434101,0.8480465752878278,-0.22062795782285297,0.10000000000000000000ln(x) + 0.5
6,0.6791759469228055,0.8870659968735847,-0.23435691446124218,0.10000000000000000000ln(x) + 0.5
7,0.6945910149055313,0.9197208240091743,-0.24478059344386155,0.10000000000000000000ln(x) + 0.5
8,0.7079441541679836,0.9477838430706351,-0.2530531519988963,0.10000000000000000000ln(x) + 0.5
9,0.719722457733622,0.9723835530637259,-0.25983686636208003,0.10000000000000000000ln(x) + 0.5
10,0.7302585092994046,0.9942802081366955,-0.26554053543122796,0.10000000000000000000ln(x) + 0.5
11,0.739789527279837,1.0140093784303672,-0.27043127705091635,0.10000000000000000000ln(x) + 0.5
12,0.7484906649788,1.0319621592492172,-0.2746917527253625,0.10000000000000000000ln(x) + 0.5
13,0.7564949357461537,1.0484326806589377,-0.2784515880688703,0.10000000000000000000ln(x) + 0.5
14,0.7639057329615259,1.0636476403425816,-0.28180564315877615,0.10000000000000000000ln(x) + 0.5
15,0.770805020110221,1.077785419414738,-0.2848251551512121,0.10000000000000000000ln(x) + 0.5
16,0.7772588722239782,1.0909888872919697,-0.28756481273308454,0.10000000000000000000ln(x) + 0.5
17,0.7833213344056216,1.1033742351543148,-0.29006740464982084,0.10000000000000000000ln(x) + 0.5
18,0.7890371757896164,1.1150372269514832,-0.29236696612646057,0.10000000000000000000ln(x) + 0.5
19,0.794443897916644,1.1260577225068327,-0.29449096432814215,0.10000000000000000000ln(x) + 0.5
20,0.799573227355399,1.1365030151513034,-0.2964618512261919,0.10000000000000000000ln(x) + 0.5
21,0.8044522437723423,1.146430337805115,-0.2982981893932631,0.10000000000000000000ln(x) + 0.5
22,0.8091042453358316,1.155888774136507,-0.3000154829427568,0.10000000000000000000ln(x) + 0.5
23,0.813549421592915,1.1649207364982606,-0.30162680077407156,0.10000000000000000000ln(x) + 0.5
24,0.8178053830347946,1.1735631233281227,-0.30314325085848837,0.10000000000000000000ln(x) + 0.5
25,0.82188758248682,1.1818482359447322,-0.30457434593551763,0.10000000000000000000ln(x) + 0.5
26,0.8258096538021482,1.1898045123552052,-0.3059282888686757,0.10000000000000000000ln(x) + 0.5
27,0.8295836866004329,1.1974571202177136,-0.3072121977531824,0.10000000000000000000ln(x) + 0.5
28,0.8332204510175204,1.2048284402005223,-0.30843228528134214,0.10000000000000000000ln(x) + 0.5
29,0.8367295829986474,1.2119384631839434,-0.3095940029822688,0.10000000000000000000ln(x) + 0.5
30,0.8401197381662155,1.218805119102159,-0.3107021582046723,0.10000000000000000000ln(x) + 0.5
31,0.8433987204485146,1.2254445510759406,-0.31176100974294574,0.10000000000000000000ln(x) + 0.5
32,0.8465735902799727,1.2318713454093866,-0.3127743465786748,0.10000000000000000000ln(x) + 0.5
33,0.849650756146648,1.2380987257141483,-0.3137455531613115,0.10000000000000000000ln(x) + 0.5
34,0.8526360524616161,1.24413871767408,-0.3146776638736707,0.10000000000000000000ln(x) + 0.5
35,0.8555348061489414,1.250002289624039,-0.31557340874450795,0.10000000000000000000ln(x) + 0.5
36,0.858351893845611,1.2556994730830962,-0.31643525202880346,0.10000000000000000000ln(x) + 0.5
37,0.8610917912644225,1.2612394665783224,-0.317265424939072,0.10000000000000000000ln(x) + 0.5
38,0.8637586159726386,1.2666307254649045,-0.3180659535512181,0.10000000000000000000ln(x) + 0.5
39,0.8663561646129646,1.271881039950493,-0.31883868270676724,0.10000000000000000000ln(x) + 0.5
40,0.8688879454113936,1.276997603135862,-0.31958529657557155,0.10000000000000000000ln(x) + 0.5
41,0.8713572066704308,1.281987070567215,-0.32030733641884623,0.10000000000000000000ln(x) + 0.5
42,0.8737669618283368,1.286855612540471,-0.3210062159939041,0.10000000000000000000ln(x) + 0.5
43,0.8761200115693563,1.2916089601913916,-0.3216832349633653,0.10000000000000000000ln(x) + 0.5
44,0.8784189633918261,1.2962524462372962,-0.3223395906085566,0.10000000000000000000ln(x) + 0.5
45,0.8806662489770319,1.3007910410985652,-0.32297638809591017,0.10000000000000000000ln(x) + 0.5
46,0.8828641396489095,1.3052293850149768,-0.3235946495038654,0.10000000000000000000ln(x) + 0.5
47,0.8850147601710059,1.3095718166784553,-0.3241953217840918,0.10000000000000000000ln(x) + 0.5
48,0.8871201010907891,1.3138223988262228,-0.32477928380323867,0.10000000000000000000ln(x) + 0.5
49,0.8891820298110626,1.3179849411736768,-0.3253473525886885,0.10000000000000000000ln(x) + 0.5
50,0.8912023005428146,1.3220630210122029,-0.32590028888298456,0.10000000000000000000ln(x) + 0.5
51,0.8931825632724326,1.3260600017516564,-0.3264388020959951,0.10000000000000000000ln(x) + 0.5
52,0.8951243718581428,1.3299790496489077,-0.32696355473085037,0.10000000000000000000ln(x) + 0.5
53,0.8970291913552122,1.333823148931391,-0.3274751663487934,0.10000000000000000000ln(x) + 0.5
54,0.8988984046564275,1.3375951154970387,-0.32797421712892205,0.10000000000000000000ln(x) + 0.5
55,0.9007333185232471,1.3412976093485092,-0.3284612510710815,0.10000000000000000000ln(x) + 0.5
56,0.9025351690735149,1.3449331458995324,-0.3289367788836286,0.10000000000000000000ln(x) + 0.5
57,0.904305126783455,1.3485041062740135,-0.3294012805922432,0.10000000000000000000ln(x) + 0.5
58,0.906044301054642,1.3520127467037217,-0.3298552079012379,0.10000000000000000000ln(x) + 0.5
59,0.907753744390572,1.355461207117651,-0.3302989863347813,0.10000000000000000000ln(x) + 0.5
60,0.9094344562222101,1.3588515190051058,-0.33073301718199505,0.10000000000000000000ln(x) + 0.5
61,0.9110873864173311,1.3621856126250023,-0.33115767926691103,0.10000000000000000000ln(x) + 0.5
62,0.9127134385045091,1.3654653236255831,-0.33157333056172184,0.10000000000000000000ln(x) + 0.5
63,0.9143134726391533,1.368692399131485,-0.33198030965954195,0.10000000000000000000ln(x) + 0.5
64,0.9158883083359671,1.3718685033488047,-0.3323789371209889,0.10000000000000000000ln(x) + 0.5
65,0.9174387269895636,1.3749952227332596,-0.33276951670722926,0.10000000000000000000ln(x) + 0.5
66,0.9189654742026425,1.3780740707616996,-0.33315233651068926,0.10000000000000000000ln(x) + 0.5
67,0.9204692619390966,1.3811064923429637,-0.3335276699933717,0.10000000000000000000ln(x) + 0.5
68,0.9219507705176107,1.3840938679003125,-0.33389577694161643,0.10000000000000000000ln(x) + 0.5
69,0.9234106504597259,1.3870375171543674,-0.3342569043451787,0.10000000000000000000ln(x) + 0.5
70,0.9248495242049359,1.389938702632545,-0.33461128720765154,0.10000000000000000000ln(x) + 0.5
71,0.9262679877041315,1.3927986329283857,-0.334959149294514,0.10000000000000000000ln(x) + 0.5
72,0.9276666119016055,1.3956184657318762,-0.33530070382443106,0.10000000000000000000ln(x) + 0.5
73,0.9290459441148391,1.3983993106498085,-0.3356361541088505,0.10000000000000000000ln(x) + 0.5
74,0.930406509320417,1.4011422318334024,-0.3359656941444303,0.10000000000000000000ln(x) + 0.5
75,0.931748811353631,1.4038482504287875,-0.33628950916237543,0.10000000000000000000ln(x) + 0.5
76,0.9330733340286331,1.4065183468644906,-0.3366077761383592,0.10000000000000000000ln(x) + 0.5
77,0.9343805421853684,1.40915346298877,-0.3369206642663484,0.10000000000000000000ln(x) + 0.5
78,0.9356708826689591,1.4117545040684754,-0.3372283353993283,0.10000000000000000000ln(x) + 0.5
79,0.9369447852467021,1.414322340660064,-0.3375309444596412,0.10000000000000000000ln(x) + 0.5
80,0.9382026634673881,1.416857810362466,-0.3378286398213992,0.10000000000000000000ln(x) + 0.5
81,0.939444915467244,1.4193617194606403,-0.3381215636671993,0.10000000000000000000ln(x) + 0.5
82,0.9406719247264254,1.421834844467905,-0.3384098523211715,0.10000000000000000000ln(x) + 0.5
83,0.9418840607796598,1.424277933574433,-0.33869363656020113,0.10000000000000000000ln(x) + 0.5
84,0.9430816798843313,1.4266917080086856,-0.33897304190500704,0.10000000000000000000ln(x) + 0.5
85,0.9442651256490316,1.4290768633179858,-0.33924818889260683,0.10000000000000000000ln(x) + 0.5
86,0.9454347296253507,1.4314340705739352,-0.33951919333156744,0.10000000000000000000ln(x) + 0.5
87,0.9465908118654583,1.433763977507901,-0.33978616654131827,0.10000000000000000000ln(x) + 0.5
88,0.9477336814478207,1.436067209581392,-0.34004921557669904,0.10000000000000000000ln(x) + 0.5
89,0.948863636973214,1.4383443709957509,-0.34030844343880906,0.10000000000000000000ln(x) + 0.5
90,0.9499809670330265,1.4405960456452462,-0.3405639492731442,0.10000000000000000000ln(x) + 0.5
91,0.951085950651685,1.442822798017335,-0.34081582855592074,0.10000000000000000000ln(x) + 0.5
92,0.9521788577049041,1.4450251740435636,-0.3410641732694143,0.10000000000000000000ln(x) + 0.5
93,0.9532599493153256,1.4472037019043302,-0.3413090720670763,0.10000000000000000000ln(x) + 0.5
94,0.9543294782270004,1.4493588927904715,-0.3415506104291284,0.10000000000000000000ln(x) + 0.5
95,0.9553876891600541,1.451491241624429,-0.34178887080928105,0.10000000000000000000ln(x) + 0.5
96,0.9564348191467836,1.4536012277435408,-0.3420239327731721,0.10000000000000000000ln(x) + 0.5
97,0.9574710978503382,1.4556893155478234,-0.34225587312907446,0.10000000000000000000ln(x) + 0.5
98,0.9584967478670572,1.457755955114433,-0.3424847660513822,0.10000000000000000000ln(x) + 0.5
99,0.959511985013459,1.4598015827808464,-0.3427106831973436,0.10000000000000000000ln(x) + 0.5
100,0.9605170185988092,1.4618266216986489,-0.34293369381747596,0.10000000000000000000ln(x) + 0.5
101,0.961512051684126,1.4638314823596945,-0.34315386486006594,0.10000000000000000000ln(x) + 0.5
102,0.962497281328427,1.4658165630962723,-0.3433712610701262,0.10000000000000000000ln(x) + 0.5
103,0.9634728988229636,1.4677822505568072,-0.343585945083157,0.10000000000000000000ln(x) + 0.5
104,0.9644390899141373,1.469728920158519,-0.3437979775140325,0.10000000000000000000ln(x) + 0.5
105,0.9653960350157523,1.4716569365183627,-0.34400741704131094,0.10000000000000000000ln(x) + 0.5
106,0.9663439094112067,1.4735666538634924,-0.3442143204872452,0.10000000000000000000ln(x) + 0.5
107,0.9672828834461906,1.4754584164224034,-0.3444187428937538,0.10000000000000000000ln(x) + 0.5
108,0.968213122712422,1.477332558797837,-0.34462073759459094,0.10000000000000000000ln(x) + 0.5
109,0.9691347882229143,1.4791894063224533,-0.3448203562839406,0.10000000000000000000ln(x) + 0.5
110,0.9700480365792417,1.481029275398227,-0.34501764908164295,0.10000000000000000000ln(x) + 0.5
111,0.9709530201312334,1.4828524738204454,-0.3452126645952485,0.10000000000000000000ln(x) + 0.5
112,0.9718498871295094,1.4846593010871416,-0.3454054499790811,0.10000000000000000000ln(x) + 0.5
113,0.9727387818712341,1.4864500486947454,-0.3455960509904804,0.10000000000000000000ln(x) + 0.5
114,0.9736198448394495,1.4882250004206745,-0.345784512043382,0.10000000000000000000ln(x) + 0.5
115,0.9744932128363251,1.489984432593561,-0.3459708762593844,0.10000000000000000000ln(x) + 0.5
116,0.9753590191106365,1.49172861435175,-0.3461551855164411,0.10000000000000000000ln(x) + 0.5
117,0.9762173934797757,1.4934578078906804,-0.3463374804953086,0.10000000000000000000ln(x) + 0.5
118,0.9770684624465665,1.4951722686997138,-0.34651780072387217,0.10000000000000000000ln(x) + 0.5
119,0.977912349311153,1.496872245788949,-0.3466961846194632,0.10000000000000000000ln(x) + 0.5
120,0.9787491742782046,1.4985579819065267,-0.3468726695292765,0.10000000000000000000ln(x) + 0.5
121,0.9795790545596741,1.5002297137468972,-0.3470472917689868,0.10000000000000000000ln(x) + 0.5
122,0.9804021044733257,1.5018876721504981,-0.3472200866596609,0.10000000000000000000ln(x) + 0.5
123,0.9812184355372418,1.5035320822952662,-0.34739108856305184,0.10000000000000000000ln(x) + 0.5
124,0.9820281565605037,1.5051631638803804,-0.347560330915361,0.10000000000000000000ln(x) + 0.5
125,0.9828313737302301,1.5067811313026078,-0.3477278462595458,0.10000000000000000000ln(x) + 0.5
126,0.9836281906951478,1.5083861938256113,-0.3478936662762456,0.10000000000000000000ln(x) + 0.5
127,0.9844187086458591,1.5099785557425534,-0.34805782181339834,0.10000000000000000000ln(x) + 0.5
128,0.9852030263919617,1.5115584165323075,-0.34822034291461057,0.10000000000000000000ln(x) + 0.5
129,0.9859812404361672,1.513125971009582,-0.34838125884634397,0.10000000000000000000ln(x) + 0.5
130,0.9867534450455582,1.514681409469234,-0.3485405981239773,0.10000000000000000000ln(x) + 0.5
131,0.9875197323201151,1.5162249178250478,-0.34869838853679763,0.10000000000000000000ln(x) + 0.5
132,0.9882801922586371,1.517756677743221,-0.3488546571719729,0.10000000000000000000ln(x) + 0.5
