State,Predicted energy,Original energy,Error,Formula
1,0.5,0.50000000000006,-1.199362699128349e-13,0.10000000000000000000ln(x) + 0.5
2,0.5693147180559945,0.6462309376515063,-0.11902280611175334,0.10000000000000000000ln(x) + 0.5
3,0.6098612288668109,0.7363376097061273,-0.1717641190293038,0.10000000000000000000ln(x) + 0.5
4,0.6386294361119891,0.7996652778166407,-0.20137905967898773,0.10000000000000000000ln(x) + 0.5
5,0.6609437912434101,0.8480465752898532,-0.22062795782471434,0.10000000000000000000ln(x) + 0.5
6,0.6791759469228055,0.8870659968767187,-0.23435691446394724,0.10000000000000000000ln(x) + 0.5
7,0.6945910149055313,0.9197208240136716,-0.24478059344755443,0.10000000000000000000ln(x) + 0.5
8,0.7079441541679836,0.9477838430767512,-0.2530531520037164,0.10000000000000000000ln(x) + 0.5
9,0.719722457733622,0.9723835530717171,-0.2598368663681628,0.10000000000000000000ln(x) + 0.5
10,0.7302585092994046,0.9942802081468183,-0.2655405354387055,0.10000000000000000000ln(x) + 0.5
11,0.739789527279837,1.0140093784428783,-0.27043127705991804,0.10000000000000000000ln(x) + 0.5
12,0.7484906649788,1.0319621592643737,-0.2746917527360152,0.10000000000000000000ln(x) + 0.5
13,0.7564949357461537,1.0484326806769966,-0.27845158808129883,0.10000000000000000000ln(x) + 0.5
14,0.7639057329615259,1.0636476403638004,-0.28180564317310336,0.10000000000000000000ln(x) + 0.5
15,0.770805020110221,1.0777854194393734,-0.28482515516755924,0.10000000000000000000ln(x) + 0.5
16,0.7772588722239782,1.0909888873202793,-0.2875648127515712,0.10000000000000000000ln(x) + 0.5
17,0.7833213344056216,1.1033742351865559,-0.29006740467056535,0.10000000000000000000ln(x) + 0.5
18,0.7890371757896164,1.115037226987913,-0.2923669661495799,0.10000000000000000000ln(x) + 0.5
19,0.794443897916644,1.1260577225477084,-0.29449096435375205,0.10000000000000000000ln(x) + 0.5
20,0.799573227355399,1.1365030151968827,-0.2964618512544072,0.10000000000000000000ln(x) + 0.5
21,0.8044522437723423,1.1464303378556553,-0.29829818942419745,0.10000000000000000000ln(x) + 0.5
22,0.8091042453358316,1.1558887741922652,-0.3000154829765231,0.10000000000000000000ln(x) + 0.5
23,0.813549421592915,1.1649207365594945,-0.3016268008107815,0.10000000000000000000ln(x) + 0.5
24,0.8178053830347946,1.17356312339509,-0.3031432508982532,0.10000000000000000000ln(x) + 0.5
25,0.82188758248682,1.1818482360176898,-0.30457434597844757,0.10000000000000000000ln(x) + 0.5
26,0.8258096538021482,1.189804512434411,-0.30592828891488033,0.10000000000000000000ln(x) + 0.5
27,0.8295836866004329,1.1974571203034248,-0.3072121978027706,0.10000000000000000000ln(x) + 0.5
28,0.8332204510175204,1.2048284402929965,-0.30843228533442196,0.10000000000000000000ln(x) + 0.5
29,0.8367295829986474,1.211938463283438,-0.3095940030389479,0.10000000000000000000ln(x) + 0.5
30,0.8401197381662155,1.2188051192089313,-0.3107021582650576,0.10000000000000000000ln(x) + 0.5
31,0.8433987204485146,1.2254445511902485,-0.31176100980714366,0.10000000000000000000ln(x) + 0.5
32,0.8465735902799727,1.2318713455314871,-0.31277434664679116,0.10000000000000000000ln(x) + 0.5
33,0.849650756146648,1.238098725844299,-0.31374555323345155,0.10000000000000000000ln(x) + 0.5
34,0.8526360524616161,1.2441387178125385,-0.3146776639499393,0.10000000000000000000ln(x) + 0.5
35,0.8555348061489414,1.250002289771063,-0.31557340882500945,0.10000000000000000000ln(x) + 0.5
36,0.858351893845611,1.255699473238943,-0.31643525211364165,0.10000000000000000000ln(x) + 0.5
37,0.8610917912644225,1.2612394667432494,-0.31726542502835037,0.10000000000000000000ln(x) + 0.5
38,0.8637586159726386,1.2666307256391693,-0.3180659536450395,0.10000000000000000000ln(x) + 0.5
39,0.8663561646129646,1.2718810401343532,-0.3188386828052343,0.10000000000000000000ln(x) + 0.5
40,0.8688879454113936,1.2769976033295751,-0.31958529667878643,0.10000000000000000000ln(x) + 0.5
41,0.8713572066704308,1.2819870707710384,-0.32030733652691074,0.10000000000000000000ln(x) + 0.5
42,0.8737669618283368,1.2868556127546624,-0.3210062161069196,0.10000000000000000000ln(x) + 0.5
43,0.8761200115693563,1.2916089604162084,-0.32168323508143276,0.10000000000000000000ln(x) + 0.5
44,0.8784189633918261,1.2962524464729959,-0.3223395907317767,0.10000000000000000000ln(x) + 0.5
45,0.8806662489770319,1.3007910413454054,-0.3229763882243833,0.10000000000000000000ln(x) + 0.5
46,0.8828641396489095,1.3052293852732149,-0.3235946496376915,0.10000000000000000000ln(x) + 0.5
47,0.8850147601710059,1.3095718169483492,-0.3241953219233705,0.10000000000000000000ln(x) + 0.5
48,0.8871201010907891,1.3138223991080298,-0.32477928394806943,0.10000000000000000000ln(x) + 0.5
49,0.8891820298110626,1.3179849414676545,-0.32534735273917037,0.10000000000000000000ln(x) + 0.5
50,0.8912023005428146,1.3220630213186089,-0.3259002890392163,0.10000000000000000000ln(x) + 0.5
51,0.8931825632724326,1.3260600020707483,-0.32643880225807514,0.10000000000000000000ln(x) + 0.5
52,0.8951243718581428,1.329979049980943,-0.3269635548988769,0.10000000000000000000ln(x) + 0.5
53,0.8970291913552122,1.333823149276627,-0.3274751665228644,0.10000000000000000000ln(x) + 0.5
54,0.8988984046564275,1.3375951158557335,-0.32797421730913506,0.10000000000000000000ln(x) + 0.5
55,0.9007333185232471,1.34129760972092,-0.328461251257534,0.10000000000000000000ln(x) + 0.5
56,0.9025351690735149,1.3449331462859169,-0.32893677907641766,0.10000000000000000000ln(x) + 0.5
57,0.904305126783455,1.3485041066746293,-0.32940128079146574,0.10000000000000000000ln(x) + 0.5
58,0.906044301054642,1.3520127471188264,-0.32985520810699054,0.10000000000000000000ln(x) + 0.5
59,0.907753744390572,1.3554612075475023,-0.33029898654716044,0.10000000000000000000ln(x) + 0.5
60,0.9094344562222101,1.3588515194499609,-0.3307330174010969,0.10000000000000000000ln(x) + 0.5
61,0.9110873864173311,1.3621856130851193,-0.3311576794928315,0.10000000000000000000ln(x) + 0.5
62,0.9127134385045091,1.3654653241012193,-0.33157333079455664,0.10000000000000000000ln(x) + 0.5
63,0.9143134726391533,1.3686923996228981,-0.3319803098993866,0.10000000000000000000ln(x) + 0.5
64,0.9158883083359671,1.3718685038562521,-0.3323789373679387,0.10000000000000000000ln(x) + 0.5
65,0.9174387269895636,1.374995223256999,-0.3327695169613793,0.10000000000000000000ln(x) + 0.5
66,0.9189654742026425,1.378074071301989,-0.33315233677213435,0.10000000000000000000ln(x) + 0.5
67,0.9204692619390966,1.3811064929000605,-0.33352767026220653,0.10000000000000000000ln(x) + 0.5
68,0.9219507705176107,1.3840938684744744,-0.3338957772179355,0.10000000000000000000ln(x) + 0.5
69,0.9234106504597259,1.387037517745852,-0.3342569046290763,0.10000000000000000000ln(x) + 0.5
70,0.9248495242049359,1.3899387032416097,-0.3346112874992218,0.10000000000000000000ln(x) + 0.5
71,0.9262679877041315,1.3927986335552884,-0.3349591495938508,0.10000000000000000000ln(x) + 0.5
72,0.9276666119016055,1.3956184663768745,-0.3353007041316281,0.10000000000000000000ln(x) + 0.5
73,0.9290459441148391,1.39839931131316,-0.33563615442400135,0.10000000000000000000ln(x) + 0.5
74,0.930406509320417,1.4011422325153646,-0.33596569446762836,0.10000000000000000000ln(x) + 0.5
75,0.931748811353631,1.4038482511296184,-0.33628950949371383,0.10000000000000000000ln(x) + 0.5
76,0.9330733340286331,1.4065183475844478,-0.33660777647793105,0.10000000000000000000ln(x) + 0.5
77,0.9343805421853684,1.4091534637281111,-0.3369206646142465,0.10000000000000000000ln(x) + 0.5
78,0.9356708826689591,1.4117545048274582,-0.33722833575564537,0.10000000000000000000ln(x) + 0.5
79,0.9369447852467021,1.414322341438946,-0.3375309448244699,0.10000000000000000000ln(x) + 0.5
80,0.9382026634673881,1.416857811161505,-0.3378286401948318,0.10000000000000000000ln(x) + 0.5
81,0.939444915467244,1.419361720280094,-0.338121564049328,0.10000000000000000000ln(x) + 0.5
82,0.9406719247264254,1.4218348453080312,-0.3384098527120884,0.10000000000000000000ln(x) + 0.5
83,0.9418840607796598,1.4242779344354894,-0.33869363695999816,0.10000000000000000000ln(x) + 0.5
