Eigenstate,Residual Energy,Adjusted Residual Energy,log(Adjusted Residual Energy)
1,-0.036844929114497654090443986857623289,0E-36,-Infinity
2,-0.02865983037837752977530141008339903,0.008185098736120124315142576774224259,-4.8054400051749706079817769932560622692108154296875
3,-0.01989329909905537660850843921622720,0.016951630015442277481935547641396089,-4.07739128367655201401476006140001118183135986328125
4,-0.01437970027840678741002630385477305,0.022465228836090866680417683002850239,-3.79578655017355170997461755177937448024749755859375
5,-0.0108739851159334893763708149260097,0.025970943998564164714073171931613589,-3.65077690438920487991936170146800577640533447265625
6,-0.0085334096187468500471923106010407,0.028311519495750804043251676256582589,-3.5644865078352285792107068118639290332794189453125
7,-0.0068962894986633664485153242706613,0.029948639615834287641928662586961989,-3.5082713772942089036632751231081783771514892578125
8,-0.0057053747866506221085960261367352,0.031139554327847031981847960720888089,-3.469276424565437277891533085494302213191986083984375
9,-0.0048105058193960763284507798466515,0.032034423295101577761993207010971789,-3.440944226391214666449513970292173326015472412109375
10,-0.0041197834973122189851035420495002,0.032725145617185435105340444808123089,-3.419611517473065465111403682385571300983428955078125
11,-0.0035745216178296267907455498087478,0.033270407496668027299698437048875489,-3.403086940855192921162597485817968845367431640625
12,-0.0031358306849855672156280832365687,0.033709098429512086874815903621054589,-3.389987494991116623310745126218535006046295166015625
13,-0.0027771018657370070775960100942092,0.034067827248760647012847976763414089,-3.37940182249340903553047610330395400524139404296875
14,-0.0024796170562874601264997720075564,0.034365312058210193963944214850066889,-3.37070759375111617117681817035190761089324951171875
15,-0.0022298869977987429812871096724533,0.034615042116698911109156877185169989,-3.3634669481347341246646465151570737361907958984375
16,-0.002017982588600026878586629950738,0.034826946525897627211857356906885289,-3.35736386638016970351827694685198366641998291015625
17,-0.001836457454690645185538390488907,0.035008471659807008904905596368716289,-3.352165199358417613240135324303992092609405517578125
18,-0.001679633764692097815458960233050,0.035165295349805556274985026624573289,-3.3476956102867010400814251624979078769683837890625
19,-0.001543117594130438441218354547069,0.035301811520367215649225632310554289,-3.343820998502173846844698346103541553020477294921875
20,-0.001423463073348803264209877095486,0.035421466041148850826234109762137289,-3.340437257276522853288724945741705596446990966796875
21,-0.001317935195840354319753058362975,0.035526993918657299770690928494648289,-3.337462479377498514310218524769879877567291259765625
22,-0.001224339412896790449496156379643,0.035620589701600863640947830477980289,-3.33483144590670921303399154567159712314605712890625
23,-0.001140897291970520672889156368106,0.035704031822527133417554830489517289,-3.3324916603681149496196667314507067203521728515625
24,-0.001066154492119283685464013936322,0.035778774622378370404979972921301289,-3.33040044904592402730258982046507298946380615234375
25,-0.000998911768234638871287109292826,0.035846017346263015219156877564797289,-3.328522810262146691684392862953245639801025390625
26,-0.000938172621485746253861692447109,0.035906756493011907836582294410514289,-3.326829798047930442095321268425323069095611572265625
