Eigenstate,Residual Energy_6000,Residual Energy_8000,Residual Energy_10000
1,-0.036844929114386161124816189744353450,-0.036844929114468375783923849073947777,-0.036844929114497654090443986857623289
2,-0.02865983037764976538811736657636224,-0.02865983037818641719808155558731387,-0.02865983037837752977530141008339903
3,-0.01989329909691764381377871449624840,-0.01989329909849400316511708355112570,-0.01989329909905537660850843921622720
4,-0.01437970027395418080218675579571522,-0.01437970027723752298642094815584239,-0.01437970027840678741002630385477305
5,-0.0108739851082207666562132229733054,-0.0108739851139081113982208201149780,-0.0108739851159334893763708149260097
6,-0.0085334096068122914223525285615557,-0.0085334096156128090470911402518383,-0.0085334096187468500471923106010407
7,-0.0068962894815375781764580539800811,-0.0068962894941660979307675959170765,-0.0068962894986633664485153242706613
8,-0.0057053747633602194569084959747705,-0.0057053747805345137373546925220358,-0.0057053747866506221085960261367352
9,-0.0048105057889654067339394967030704,-0.0048105058114049204676146069379069,-0.0048105058193960763284507798466515
10,-0.0041197834587642463772475919958875,-0.0041197834871894449580766703847755,-0.0041197834973122189851035420495002
11,-0.0035745215701864210346005312359113,-0.0035745216053184294436743492822503,-0.0035745216178296267907455498087478
12,-0.0031358306272685923341587155190549,-0.0031358306698289826396643171524087,-0.0031358306849855672156280832365687
13,-0.0027771017969672999331284848256615,-0.0027771018476779595654803770318733,-0.0027771018657370070775960100942092
14,-0.0024796169754857460654616654938553,-0.0024796170350687925755651893860254,-0.0024796170562874601264997720075564
15,-0.0022298869039855134542533316534498,-0.0022298869731632373110940074219239,-0.0022298869977987429812871096724533
16,-0.002017982480795593179186857611705,-0.002017982560290418177319612013071,-0.002017982588600026878586629950738
17,-0.001836457331915176659038172142709,-0.001836457422449631778106192332185,-0.001836457454690645185538390488907
18,-0.001679633625965649656324632265009,-0.001679633728262348597639940352593,-0.001679633764692097815458960233050
19,-0.001543117438472972322967315212057,-0.001543117553254598331549702232034,-0.001543117594130438441218354547069
20,-0.001423462899780202916861592531646,-0.001423463027769497329107026746914,-0.001423463073348803264209877095486
21,-0.001317935003380437470553074821378,-0.001317935145300190943617967225534,-0.001317935195840354319753058362975
22,-0.001224339200565318096427761824435,-0.001224339357138363804411157819323,-0.001224339412896790449496156379643
23,-0.001140897058787204368816104351471,-0.001140897230736412665899522789604,-0.001140897291970520672889156368106
24,-0.001066154237103791315752767069027,-0.001066154425152065510246333702952,-0.001066154492119283685464013936322
25,-0.000998911490406599274724547678624,-0.000998911695276872256065924569589,-0.000998911768234638871287109292826
26,-0.000938172319864752944236738300208,-0.000938172542279984473159913952398,-0.000938172621485746253861692447109
27,-0.000883102815245390705802263622816,-0.000883103055928565226070230256800,-0.000883103141639776525418334523833
28,-0.000833000535742701019262740544205,-0.000833000795416825883933916504102,-0.000833000887890948004391567697836
29,-0.000787270167263476605177340226988,-0.000787270446651580635543987062313,-0.000787270546146081268949917916633
30,-0.000745404313502240070716460402760,-0.000745404613327372384614618900519,-0.000745404720099725148187657969851
31,-0.000706968214267735708535840685114,-0.000706968535252964768581133359190,-0.000706968649560648819242715697922
32,-0.000671587495407055983728484896194,-0.000671587838275468826490267899696,-0.000671587960375968539620604444639
33,-0.000638938278831988419622352109311,-0.000638938644306690034725404982141,-0.000638938774457494736309674643537
34,-0.000608739144518522782519063944500,-0.000608739533322635616805270185349,-0.000608739671781239360113958716989
35,-0.000580744556611868609732124697994,-0.000580744969468532176388893465157,-0.000580745116492433556036615112126
36,-0.000554739455137735617581852184456,-0.000554739892770106193885741154857,-0.000554740048616808191445392778587
37,-0.000530534781822071382012037645830,-0.000530535244953321782292189205218,-0.000530535409880331638693989442372
38,-0.000507963759176409816827330242282,-0.000507964248529729229605963577541,-0.000507964422794558340388803003185
39,-0.000486878780604356810959600760327,-0.000486879296902950691112534058266,-0.000486879480763114521266567664674
40,-0.000467148798916778883278255035189,-0.000467149342883868891579845599164,-0.000467149536596886907261052052985
41,-0.000448657123552982926617738263021,-0.000448657695911806910269754646107,-0.000448657899735202525107133921635
42,-0.000431299554635816906019357813682,-0.000431300156109628914772035174504,-0.000431300370300929448847166126544
43,-0.000414982795955320928302548433668,-0.000414983427267391261604461868795,-0.000414983652084127911478362131578
