Eigenstate,Energy,Kinetic Energy,Potential Energy
1,0.500000002329923172542627766470276799,0.0,0.500000002329923172542627766470276799
2,1.84623095286047882914279923386680221,1.2,0.64623095286047882914279923386680221
3,3.93633765438508713532368739225966414,3.2,0.73633765438508713532368739225966414
4,6.79966537088874495566377288524000593,6.0,0.79966537088874495566377288524000593
5,10.4480467365339208361878146068433235,9.6,0.8480467365339208361878146068433235
6,14.8870662464330383453997242353339091,14.0,0.8870662464330383453997242353339091
7,20.1197211822044427879893728119912603,19.2,0.9197211822044427879893728119912603
8,26.1477843303335439576590505866754390,25.2,0.9477843303335439576590505866754390
9,32.9723841899039006232384092198341014,32.0,0.9723841899039006232384092198341014
10,40.5942810151275358972629653884080474,39.6,0.9942810151275358972629653884080474
11,49.0140103762032930803407927978861583,48.0,1.0140103762032930803407927978861583
12,58.2319633684921402050758739439014001,57.2,1.0319633684921402050758739439014001
13,68.2484341221170452143573491763727346,67.2,1.0484341221170452143573491763727346
14,79.0636493348204635313962399404792723,78.0,1.0636493348204635313962399404792723
15,90.6777873877793351619900909578838932,89.6,1.0777873877793351619900909578838932
16,103.090991150476052523117829973186646,102.0,1.090991150476052523117829973186646
17,116.303376814160317665995613673473621,115.2,1.103376814160317665995613673473621
18,130.315040142855591434854500780816549,129.2,1.115040142855591434854500780816549
19,145.126060996463256308817939914636479,144.0,1.126060996463256308817939914636479
20,160.736506668396696891370626283436619,159.6,1.136506668396696891370626283436619
21,177.146434391663114427085472034933810,176.0,1.146434391663114427085472034933810
22,194.355893250022366812573403266264814,193.2,1.155893250022366812573403266264814
23,212.364925655923581734579008221924650,211.2,1.164925655923581734579008221924650
24,231.173568507905659991731277565816315,230.0,1.173568507905659991731277565816315
25,250.781854107393278527029950176145592,249.6,1.181854107393278527029950176145592
26,271.189810892504552260942483684788703,270.0,1.189810892504552260942483684788703
27,292.397464031013682857031419744148763,291.2,1.197464031013682857031419744148763
28,314.404835903710071365129293572469137,313.2,1.204835903710071365129293572469137
29,337.211946501600343605268582613230137,336.0,1.211946501600343605268582613230137
30,360.818813754750249404456802010081335,359.6,1.218813754750249404456802010081335
31,385.225453806417458169810023658901006,384.0,1.225453806417458169810023658901006
32,410.431881243048373605114443838243605,409.2,1.231881243048373605114443838243605
33,436.438109288402442507792953801800046,435.2,1.238109288402442507792953801800046
34,463.244149968316886269409887730664071,462.0,1.244149968316886269409887730664071
35,490.850014251285588602606189427187925,489.6,1.250014251285588602606189427187925
36,519.255712168992394113830600571329627,518.0,1.255712168992394113830600571329627
37,548.461252920134987774803031946129551,547.2,1.261252920134987774803031946129551
38,578.466644960245106589842934591896473,577.2,1.266644960245106589842934591896473
39,609.271896079712986098006496583907696,608.0,1.271896079712986098006496583907696
40,640.877013471828123559786763161604165,639.6,1.277013471828123559786763161604165
41,673.282003792331689401142809425381028,672.0,1.282003792331689401142809425381028
42,706.486873211720925884702739912642555,705.2,1.286873211720925884702739912642555
43,740.491627461339385633148880875526180,739.2,1.291627461339385633148880875526180
44,775.296271874118768615570283748947165,774.0,1.296271874118768615570283748947165
45,810.900811420700546640865836651319266,809.6,1.300811420700546640865836651319266
46,847.305250741552428122829864294596136,846.0,1.305250741552428122829864294596136
47,884.509594175601239273089850749697375,883.2,1.309594175601239273089850749697375
48,922.513845785826211518343900565243189,921.2,1.313845785826211518343900565243189
49,961.318009382192002399547740756551527,960.0,1.318009382192002399547740756551527
50,1000.92208854224665450268856037910726,999.6,1.32208854224665450268856037910726
51,1041.32608662966423001446217930154145,1040.0,1.32608662966423001446217930154145
52,1082.53000681097351328848576598380003,1081.2,1.33000681097351328848576598380003
53,1124.53385207068172369623894929314032,1123.2,1.33385207068172369623894929314032
54,1167.33762522497461991302543895469410,1166.0,1.33762522497461991302543895469410
55,1210.94132893415090130475937021273427,1209.6,1.34132893415090130475937021273427
